Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,120.0,120.0,120.0,120.0
150.0,120.0,121.04,120.17,121.04166666666667
300.0,120.0,122.08,120.4,122.08333333333333
450.0,120.0,123.13,120.67,123.125
600.0,120.0,124.17,120.96,124.16666666666667
750.0,120.01,125.21,121.27,125.20833333333333
900.0,120.03,126.25,121.61,126.25
1050.0,120.06,127.29,121.96,127.29166666666667
1200.0,120.11,128.33,122.33,128.33333333333334
1350.0,120.17,129.38,122.71,129.375
1500.0,120.25,130.42,123.11,130.41666666666666
1650.0,120.34,131.46,123.53,131.45833333333334
1800.0,120.45,132.5,123.95,132.5
1950.0,120.58,133.54,124.39,133.54166666666666
2100.0,120.73,134.58,124.84,134.58333333333334
2250.0,120.9,135.63,125.31,135.625
2400.0,121.08,136.67,125.78,136.66666666666666
2550.0,121.28,137.71,126.27,137.70833333333334
2700.0,121.49,138.75,126.77,138.75
2850.0,121.73,139.79,127.28,139.79166666666666
3000.0,121.97,140.83,127.8,140.83333333333334
3150.0,122.24,141.88,128.33,141.875
3300.0,122.52,142.92,128.87,142.91666666666666
3450.0,122.82,143.96,129.42,143.95833333333334
3600.0,123.13,145.0,129.99,145.0
3750.0,123.45,146.04,130.56,146.04166666666666
3900.0,123.79,147.08,131.14,147.08333333333334
4050.0,124.15,148.13,131.73,148.125
4200.0,124.51,149.17,132.33,149.16666666666666
4350.0,124.9,150.21,132.94,150.20833333333334
4500.0,125.29,151.25,133.55,151.25
4650.0,125.7,152.29,134.18,152.29166666666666
4800.0,126.12,153.33,134.81,153.33333333333331
4950.0,126.56,154.38,135.46,154.375
5100.0,127.0,155.42,136.11,155.41666666666666
5250.0,127.46,156.46,136.76,156.45833333333331
5400.0,127.93,157.5,137.43,157.5
5550.0,128.41,158.54,138.11,158.54166666666666
5700.0,128.9,159.58,138.79,159.58333333333331
5850.0,129.41,160.63,139.48,160.625
6000.0,129.92,161.67,140.17,161.66666666666666
6150.0,130.45,162.71,140.87,162.70833333333331
6300.0,130.99,163.75,141.58,163.75
6450.0,131.53,164.79,142.3,164.79166666666666
6600.0,132.08,165.83,143.01,165.83333333333331
6750.0,132.64,166.88,143.71,166.875
6900.0,133.2,167.92,144.43,167.91666666666666
7050.0,133.77,168.96,145.15,168.95833333333331
7200.0,134.34,170.0,145.88,170.0
7350.0,134.93,171.04,146.61,171.04166666666666
7500.0,135.52,172.08,147.35,172.08333333333331
7650.0,136.12,173.13,148.1,173.125
7800.0,136.73,174.17,148.86,174.16666666666666
7950.0,137.34,175.21,149.62,175.20833333333331
8100.0,137.97,176.25,150.38,176.25
8250.0,138.6,177.29,151.15,177.29166666666666
8400.0,139.24,178.33,151.93,178.33333333333331
8550.0,139.89,179.38,152.71,179.375
8700.0,140.54,180.42,153.5,180.41666666666666
8850.0,141.2,181.46,154.29,181.45833333333331
9000.0,141.87,182.5,155.09,182.5
9150.0,142.55,183.54,155.89,183.54166666666666
9300.0,143.24,184.58,156.69,184.58333333333331
9450.0,143.93,185.63,157.51,185.625
9600.0,144.62,186.67,158.32,186.66666666666666
9750.0,145.33,187.71,159.14,187.70833333333331
9900.0,146.04,188.75,159.97,188.75
10050.0,146.76,189.79,160.79,189.79166666666666
10200.0,147.48,190.83,161.63,190.83333333333331
10350.0,148.21,191.88,162.46,191.875
10500.0,148.95,192.92,163.3,192.91666666666666
10650.0,149.69,193.96,164.15,193.95833333333331
10800.0,150.44,195.0,165.0,195.0
10950.0,151.2,196.04,165.85,196.04166666666666
11100.0,151.95,197.08,166.71,197.08333333333331
11250.0,152.72,198.13,167.57,198.125
11400.0,153.49,199.17,168.43,199.16666666666666
11550.0,154.27,200.21,169.3,200.20833333333331
11700.0,155.05,201.25,170.17,201.25
11850.0,155.83,202.29,171.04,202.29166666666666
12000.0,156.63,203.33,171.92,203.33333333333331
12150.0,157.42,204.38,172.8,204.375
12300.0,158.22,205.42,173.68,205.41666666666666
12450.0,159.03,206.46,174.57,206.45833333333331
12600.0,159.84,207.5,175.46,207.5
12750.0,160.65,208.54,176.35,208.54166666666666
12900.0,161.47,209.58,177.24,209.58333333333331
13050.0,162.3,210.63,178.14,210.625
13200.0,163.08,211.67,179.0,211.66666666666666
13350.0,163.87,212.71,179.86,212.70833333333331
13500.0,164.66,213.75,180.72,213.75
13650.0,165.45,214.79,181.59,214.79166666666666
13800.0,166.25,215.83,182.47,215.83333333333331
13950.0,167.05,216.88,183.35,216.875
14100.0,167.85,217.92,184.23,217.91666666666666
14250.0,168.66,218.96,185.11,218.95833333333331
14400.0,169.47,220.0,186.0,220.0
