Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,212.0,212.0,212.0,212.0
150.0,212.0,212.82,212.14,212.82291666666666
300.0,212.0,213.64,212.31,213.64583333333334
450.0,212.0,214.47,212.52,214.46875
600.0,212.0,215.29,212.74,215.29166666666666
750.0,212.01,216.11,212.98,216.11458333333334
900.0,212.02,216.94,213.24,216.9375
1050.0,212.03,217.76,213.51,217.76041666666666
1200.0,212.06,218.58,213.79,218.58333333333334
1350.0,212.09,219.4,214.08,219.40625
1500.0,212.13,220.23,214.38,220.22916666666666
1650.0,212.19,221.05,214.69,221.05208333333334
1800.0,212.26,221.87,215.01,221.875
1950.0,212.34,222.69,215.35,222.69791666666666
2100.0,212.43,223.52,215.69,223.52083333333334
2250.0,212.53,224.34,216.04,224.34375
2400.0,212.64,225.16,216.39,225.16666666666666
2550.0,212.77,225.99,216.76,225.98958333333334
2700.0,212.91,226.81,217.13,226.8125
2850.0,213.06,227.63,217.52,227.63541666666666
3000.0,213.22,228.45,217.91,228.45833333333334
3150.0,213.4,229.28,218.31,229.28125
3300.0,213.58,230.1,218.71,230.10416666666666
3450.0,213.78,230.92,219.12,230.92708333333334
3600.0,213.99,231.74,219.54,231.75
3750.0,214.2,232.57,219.97,232.57291666666666
3900.0,214.43,233.39,220.41,233.39583333333334
4050.0,214.67,234.21,220.85,234.21875
4200.0,214.92,235.04,221.29,235.04166666666666
4350.0,215.18,235.86,221.75,235.86458333333334
4500.0,215.45,236.68,222.21,236.6875
4650.0,215.73,237.5,222.68,237.51041666666666
4800.0,216.02,238.33,223.15,238.33333333333334
4950.0,216.31,239.15,223.63,239.15625
5100.0,216.62,239.97,224.12,239.97916666666666
5250.0,216.94,240.8,224.61,240.80208333333334
5400.0,217.26,241.62,225.11,241.625
5550.0,217.6,242.44,225.61,242.44791666666666
5700.0,217.94,243.26,226.12,243.27083333333334
5850.0,218.29,244.09,226.63,244.09375
6000.0,218.65,244.91,227.15,244.91666666666666
6150.0,219.02,245.73,227.68,245.73958333333331
6300.0,219.39,246.56,228.21,246.5625
6450.0,219.78,247.38,228.74,247.38541666666666
6600.0,220.17,248.2,229.28,248.20833333333331
6750.0,220.57,249.02,229.83,249.03125
6900.0,220.97,249.85,230.38,249.85416666666666
7050.0,221.38,250.67,230.93,250.67708333333331
7200.0,221.81,251.49,231.49,251.5
7350.0,222.23,252.32,232.06,252.32291666666666
7500.0,222.67,253.14,232.63,253.14583333333331
7650.0,223.11,253.96,233.2,253.96875
7800.0,223.56,254.78,233.78,254.79166666666666
7950.0,224.01,255.61,234.36,255.61458333333331
8100.0,224.47,256.43,234.95,256.4375
8250.0,224.94,257.25,235.54,257.2604166666667
8400.0,225.41,258.08,236.11,258.0833333333333
8550.0,225.88,258.9,236.69,258.90625
8700.0,226.36,259.72,237.28,259.7291666666667
8850.0,226.84,260.54,237.87,260.5520833333333
9000.0,227.32,261.37,238.47,261.375
9150.0,227.81,262.19,239.07,262.1979166666667
9300.0,228.31,263.01,239.68,263.0208333333333
9450.0,228.81,263.83,240.29,263.84375
9600.0,229.32,264.66,240.9,264.6666666666667
9750.0,229.83,265.48,241.52,265.4895833333333
9900.0,230.34,266.3,242.14,266.3125
10050.0,230.86,267.13,242.76,267.1354166666667
10200.0,231.39,267.95,243.39,267.9583333333333
10350.0,231.92,268.77,244.02,268.78125
10500.0,232.45,269.59,244.65,269.6041666666667
10650.0,232.99,270.42,245.29,270.4270833333333
10800.0,233.54,271.24,245.93,271.25
10950.0,234.09,272.06,246.58,272.0729166666667
11100.0,234.64,272.89,247.22,272.8958333333333
11250.0,235.2,273.71,247.87,273.71875
11400.0,235.77,274.53,248.53,274.5416666666667
11550.0,236.33,275.35,249.18,275.3645833333333
11700.0,236.91,276.18,249.84,276.1875
11850.0,237.48,277.0,250.5,277.01041666666663
12000.0,238.06,277.82,251.17,277.8333333333333
12150.0,238.65,278.65,251.83,278.65625
12300.0,239.24,279.47,252.5,279.47916666666663
12450.0,239.83,280.29,253.17,280.3020833333333
12600.0,240.43,281.12,253.85,281.125
12750.0,241.03,281.94,254.53,281.94791666666663
12900.0,241.63,282.76,255.21,282.7708333333333
13050.0,242.24,283.58,255.89,283.59375
13200.0,242.85,284.41,256.57,284.41666666666663
13350.0,243.47,285.23,257.26,285.2395833333333
13500.0,244.09,286.05,257.95,286.0625
13650.0,244.71,286.88,258.64,286.88541666666663
13800.0,245.34,287.7,259.33,287.7083333333333
13950.0,245.97,288.52,260.03,288.53125
14100.0,246.6,289.34,260.73,289.35416666666663
14250.0,247.23,290.17,261.43,290.1770833333333
14400.0,247.87,290.99,262.13,291.0
