Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,300.0,300.0,300.0,300.0
150.0,295.83,300.0,298.58,295.8333333333333
300.0,291.67,299.97,296.9,291.6666666666667
450.0,287.5,299.84,295.07,287.5
600.0,283.33,299.57,293.13,283.3333333333333
750.0,279.17,299.15,291.09,279.1666666666667
900.0,275.0,298.58,288.96,275.0
1050.0,270.83,297.87,286.75,270.8333333333333
1200.0,266.67,297.0,284.45,266.6666666666667
1350.0,262.5,296.0,282.07,262.5
1500.0,258.33,294.87,279.62,258.3333333333333
1650.0,254.17,293.61,277.1,254.16666666666669
1800.0,250.0,292.22,274.5,250.0
1950.0,245.83,290.72,271.84,245.83333333333334
2100.0,241.67,289.11,269.12,241.66666666666669
2250.0,237.5,287.39,266.34,237.5
2400.0,233.33,285.57,263.5,233.33333333333334
2550.0,229.17,283.65,260.6,229.16666666666669
2700.0,225.0,281.63,257.65,225.0
2850.0,220.83,279.53,254.65,220.83333333333334
3000.0,216.67,277.34,251.6,216.66666666666669
3150.0,212.5,275.06,248.5,212.5
3300.0,208.33,272.71,245.36,208.33333333333334
3450.0,204.17,270.28,242.17,204.16666666666669
3600.0,200.0,267.77,238.95,200.0
3750.0,195.83,265.2,235.68,195.83333333333334
3900.0,191.67,262.56,232.38,191.66666666666669
4050.0,187.5,259.85,229.04,187.5
4200.0,183.33,257.09,225.66,183.33333333333334
4350.0,179.17,254.26,222.25,179.16666666666669
4500.0,175.0,251.38,218.81,175.0
4650.0,170.83,248.45,215.34,170.83333333333334
4800.0,166.67,245.46,211.84,166.66666666666669
4950.0,162.5,242.42,208.31,162.5
5100.0,158.33,239.34,204.76,158.33333333333334
5250.0,154.17,236.21,201.18,154.16666666666669
5400.0,150.0,233.04,197.57,150.0
5550.0,145.83,229.82,193.95,145.83333333333334
5700.0,141.67,226.57,190.29,141.66666666666669
5850.0,137.5,223.27,186.62,137.5
6000.0,133.33,219.94,182.93,133.33333333333334
6150.0,129.17,216.58,179.21,129.16666666666669
6300.0,125.0,213.18,175.48,125.0
6450.0,120.83,209.75,171.73,120.83333333333334
6600.0,116.67,206.29,167.96,116.66666666666669
6750.0,112.5,202.79,164.18,112.5
6900.0,108.33,199.27,160.38,108.33333333333334
7050.0,104.17,195.73,156.56,104.16666666666669
7200.0,100.0,192.15,152.73,100.0
7350.0,100.0,188.56,150.3,100.0
7500.0,100.0,184.97,148.13,100.0
7650.0,100.0,181.45,146.08,100.0
7800.0,100.0,178.05,144.14,100.0
7950.0,100.0,174.78,142.28,100.0
8100.0,100.0,171.64,140.5,100.0
8250.0,100.0,168.63,138.8,100.0
8400.0,100.0,165.75,137.17,100.0
8550.0,100.0,162.99,135.61,100.0
8700.0,100.0,160.34,134.11,100.0
8850.0,100.0,157.81,132.68,100.0
9000.0,100.0,155.38,131.3,100.0
9150.0,100.0,153.05,129.99,100.0
9300.0,100.0,150.82,128.73,100.0
9450.0,100.0,148.69,127.52,100.0
9600.0,100.0,146.64,126.37,100.0
9750.0,100.0,144.68,125.26,100.0
9900.0,100.0,142.8,124.2,100.0
10050.0,100.0,141.01,123.18,100.0
10200.0,100.0,139.28,122.21,100.0
10350.0,100.0,137.63,121.27,100.0
10500.0,100.0,136.05,120.38,100.0
10650.0,100.0,134.54,119.52,100.0
10800.0,100.0,133.09,118.7,100.0
10950.0,100.0,131.7,117.92,100.0
11100.0,100.0,130.36,117.16,100.0
11250.0,100.0,129.09,116.44,100.0
11400.0,100.0,127.87,115.75,100.0
11550.0,100.0,126.69,115.09,100.0
11700.0,100.0,125.57,114.46,100.0
11850.0,100.0,124.5,113.85,100.0
12000.0,100.0,123.47,113.27,100.0
12150.0,100.0,122.48,112.71,100.0
12300.0,100.0,121.54,112.18,100.0
12450.0,100.0,120.63,111.66,100.0
12600.0,100.0,119.77,111.17,100.0
12750.0,100.0,118.94,110.7,100.0
12900.0,100.0,118.14,110.25,100.0
13050.0,100.0,117.38,109.82,100.0
13200.0,100.0,116.65,109.41,100.0
13350.0,100.0,115.95,109.02,100.0
13500.0,100.0,115.28,108.64,100.0
13650.0,100.0,114.64,108.27,100.0
13800.0,100.0,114.02,107.93,100.0
13950.0,100.0,113.43,107.59,100.0
14100.0,100.0,112.87,107.27,100.0
14250.0,100.0,112.33,106.97,100.0
14400.0,100.0,111.81,106.68,100.0
