Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,100.0,100.0,100.0,100.0
150.0,100.0,229.29,113.54,231.7298508
300.0,100.01,252.23,122.08,254.35818943333334
450.0,100.14,269.82,128.97,271.90302438333333
600.0,100.59,282.25,135.28,284.18563898
750.0,101.5,291.93,140.95,293.8371434
900.0,102.91,301.63,146.17,303.48864782
1050.0,104.76,310.25,151.2,312.06847667
1200.0,106.99,316.7,155.93,318.50495438
1350.0,109.53,323.14,160.54,324.94143209
1500.0,112.34,329.57,165.08,331.3779098
1650.0,115.36,334.42,169.45,336.18730600454546
1800.0,118.55,339.3,173.69,340.9967022090909
1950.0,121.79,344.11,177.67,345.80609841363633
2100.0,125.12,348.91,181.64,350.6154946181818
2250.0,128.53,353.11,185.57,354.7957869375
2400.0,132.0,356.88,189.42,358.55667666666665
2550.0,135.52,360.65,193.23,362.31756639583335
2700.0,139.09,364.41,197.03,366.078456125
2850.0,142.68,368.17,200.8,369.83934585416665
3000.0,146.31,371.42,204.53,373.07259725
3150.0,149.96,374.54,208.21,376.1739390625
3300.0,153.62,377.64,211.86,379.275280875
3450.0,157.29,380.75,215.48,382.3766226875
3600.0,160.76,383.91,218.89,385.4779645
3750.0,164.19,386.59,222.23,388.1381811875
3900.0,167.62,389.26,225.53,390.798397875
4050.0,171.05,391.92,228.82,393.45861456250003
4200.0,174.47,394.59,232.09,396.11883125
4350.0,177.89,397.2,235.34,398.7153647291667
4500.0,181.3,399.55,238.56,401.057165375
4650.0,184.71,401.9,241.74,403.39896602083337
4800.0,188.1,404.25,244.91,405.7407666666667
4950.0,191.49,406.6,248.06,408.08256731250003
5100.0,194.86,408.86,251.19,410.3275607166667
5250.0,198.22,410.97,254.28,412.42734325833334
5400.0,201.57,413.07,257.35,414.5271258
5550.0,204.75,415.22,260.29,416.6269083416667
5700.0,207.83,417.33,263.17,418.72669088333333
5850.0,210.91,419.33,266.01,420.7119009625
6000.0,213.98,421.25,268.83,422.6207294
6150.0,217.04,423.16,271.63,424.5295578375
6300.0,220.09,425.08,274.41,426.438386275
6450.0,223.12,427.0,277.17,428.34721471250003
6600.0,226.14,428.79,279.91,430.1320471833333
6750.0,229.15,430.56,282.62,431.8858806625
6900.0,232.14,432.32,285.32,433.6397141416667
7050.0,235.12,434.08,287.99,435.3935476208334
7200.0,238.08,435.84,290.65,437.1473811
7350.0,241.03,437.48,293.28,438.77257682916667
7500.0,243.96,439.11,295.9,440.3977725583333
7650.0,246.88,440.75,298.49,442.0229682875
7800.0,249.67,442.39,301.04,443.64816401666667
7950.0,252.4,444.01,303.52,445.25162072916663
8100.0,255.12,445.53,305.97,446.76812137499996
8250.0,257.82,447.06,308.4,448.28462202083335
8400.0,260.5,448.58,310.81,449.8011226666667
8550.0,263.18,450.11,313.2,451.3176233125
8700.0,265.84,451.6,315.57,452.79683943333333
8850.0,268.49,453.03,317.92,454.2201287666667
9000.0,271.12,454.46,320.25,455.64341809999996
9150.0,273.74,455.89,322.57,457.0667074333333
9300.0,276.34,457.32,324.87,458.48999676666665
9450.0,278.93,458.71,327.15,459.864728525
9600.0,281.51,460.06,329.42,461.20708856666664
9750.0,284.07,461.41,331.66,462.5494486083333
9900.0,286.61,462.76,333.89,463.89180865
10050.0,289.13,464.11,336.11,465.23416869166664
10200.0,291.65,465.4,338.31,466.5197210833333
10350.0,294.09,466.69,340.5,467.79107156249995
10500.0,296.43,467.97,342.63,469.06242204166665
10650.0,298.76,469.25,344.74,470.33377252083335
10800.0,301.08,470.53,346.82,471.605123
10950.0,303.39,471.75,348.88,472.81360029166666
11100.0,305.69,472.97,350.92,474.0220775833333
11250.0,307.98,474.18,352.94,475.230554875
11400.0,310.25,475.4,354.95,476.43903216666666
11550.0,312.52,476.6,356.95,477.63628746666666
11700.0,314.77,477.76,358.92,478.7886548
11850.0,317.01,478.92,360.89,479.9410221333334
12000.0,319.23,480.08,362.83,481.0933894666667
12150.0,321.45,481.24,364.77,482.2457568
12300.0,323.65,482.38,366.69,483.377955225
12450.0,325.84,483.49,368.6,484.4799002875
12600.0,328.01,484.6,370.49,485.58184535
12750.0,330.17,485.7,372.37,486.6837904125
12900.0,332.31,486.81,374.24,487.785735475
13050.0,334.45,487.9,376.09,488.8603266875
13200.0,336.57,488.96,377.93,489.916682
13350.0,338.65,490.02,379.76,490.97303731249997
13500.0,340.63,491.09,381.57,492.029392625
13650.0,342.6,492.15,383.36,493.0857479375
13800.0,344.55,493.18,385.12,494.1089463166667
13950.0,346.5,494.21,386.86,495.1238554625
14100.0,348.44,495.23,388.59,496.1387646083333
14250.0,350.37,496.25,390.3,497.1536737541667
14400.0,352.29,497.27,392.0,498.1685829
