Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,50.0,50.0,50.0,50.0
150.0,50.0,54.006,50.437,54.166666666666664
300.0,50.0,58.106,51.119,58.33333333333333
450.0,50.004,62.217,51.949,62.5
600.0,50.02,66.334,52.894,66.66666666666666
750.0,50.064,70.454,53.936,70.83333333333333
900.0,50.149,74.578,55.064,75.0
1050.0,50.286,78.703,56.27,79.16666666666666
1200.0,50.484,82.83,57.547,83.33333333333333
1350.0,50.747,86.959,58.892,87.5
1500.0,51.08,91.089,60.302,91.66666666666666
1650.0,51.484,95.219,61.772,95.83333333333333
1800.0,51.962,99.351,63.302,100.0
1950.0,52.512,99.478,64.451,100.0
2100.0,53.135,99.511,65.412,100.0
2250.0,53.826,99.534,66.278,100.0
2400.0,54.576,99.552,67.082,100.0
2550.0,55.368,99.567,67.839,100.0
2700.0,56.189,99.58,68.561,100.0
2850.0,57.026,99.591,69.254,100.0
3000.0,57.868,99.602,69.923,100.0
3150.0,58.711,99.612,70.57,100.0
3300.0,59.547,99.621,71.2,100.0
3450.0,60.375,99.629,71.813,100.0
3600.0,61.192,99.638,72.41,100.0
3750.0,61.995,99.646,72.993,100.0
3900.0,62.786,99.653,73.563,100.0
4050.0,63.561,99.661,74.12,100.0
4200.0,64.322,99.668,74.665,100.0
4350.0,65.068,99.675,75.198,100.0
4500.0,65.8,99.682,75.719,100.0
4650.0,66.516,99.689,76.229,100.0
4800.0,67.218,99.695,76.729,100.0
4950.0,67.905,99.702,77.217,100.0
5100.0,68.578,99.708,77.696,100.0
5250.0,69.238,99.714,78.164,100.0
5400.0,69.883,99.72,78.622,100.0
5550.0,70.515,99.726,79.071,100.0
5700.0,71.134,99.732,79.51,100.0
5850.0,71.74,99.737,79.941,100.0
6000.0,72.333,99.743,80.362,100.0
6150.0,72.913,99.748,80.774,100.0
6300.0,73.482,99.753,81.177,100.0
6450.0,74.038,99.759,81.572,100.0
6600.0,74.583,99.764,81.959,100.0
6750.0,75.117,99.769,82.338,100.0
6900.0,75.639,99.774,82.709,100.0
7050.0,76.15,99.778,83.072,100.0
7200.0,76.651,99.783,83.427,100.0
7350.0,77.141,95.782,83.337,95.83333333333333
7500.0,77.621,91.687,82.996,91.66666666666667
7650.0,78.087,87.58,82.5,87.5
7800.0,78.53,83.468,81.881,83.33333333333334
7950.0,78.936,79.351,81.159,79.16666666666667
8100.0,79.292,75.232,80.344,75.0
8250.0,79.587,71.111,79.444,70.83333333333334
8400.0,79.812,66.988,78.466,66.66666666666667
8550.0,79.962,62.863,77.415,62.5
8700.0,80.034,58.738,76.293,58.333333333333336
8850.0,80.026,54.611,75.104,54.16666666666667
9000.0,79.937,50.483,73.849,50.0
9150.0,79.766,50.359,72.97,50.0
9300.0,79.516,50.329,72.273,50.0
9450.0,79.188,50.309,71.665,50.0
9600.0,78.795,50.294,71.115,50.0
9750.0,78.352,50.282,70.605,50.0
9900.0,77.873,50.273,70.126,50.0
10050.0,77.371,50.264,69.67,50.0
10200.0,76.855,50.257,69.234,50.0
10350.0,76.334,50.25,68.814,50.0
10500.0,75.811,50.244,68.407,50.0
10650.0,75.291,50.238,68.013,50.0
10800.0,74.775,50.233,67.629,50.0
10950.0,74.266,50.227,67.255,50.0
11100.0,73.764,50.222,66.89,50.0
11250.0,73.27,50.218,66.533,50.0
11400.0,72.786,50.213,66.184,50.0
11550.0,72.31,50.208,65.844,50.0
11700.0,71.844,50.204,65.51,50.0
11850.0,71.387,50.2,65.184,50.0
12000.0,70.939,50.195,64.865,50.0
12150.0,70.5,50.191,64.553,50.0
12300.0,70.07,50.187,64.247,50.0
12450.0,69.649,50.183,63.948,50.0
12600.0,69.237,50.179,63.655,50.0
12750.0,68.834,50.176,63.369,50.0
12900.0,68.438,50.172,63.088,50.0
13050.0,68.051,50.168,62.813,50.0
13200.0,67.673,50.165,62.544,50.0
13350.0,67.302,50.161,62.281,50.0
13500.0,66.939,50.158,62.023,50.0
13650.0,66.583,50.155,61.771,50.0
13800.0,66.235,50.151,61.524,50.0
13950.0,65.894,50.148,61.282,50.0
14100.0,65.561,50.145,61.045,50.0
14250.0,65.234,50.142,60.813,50.0
14400.0,64.914,50.139,60.586,50.0
