Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,300.0,300.0,300.0,300.0
150.0,300.0,320.83,303.26,320.8333333333333
300.0,300.0,341.67,307.58,341.6666666666667
450.0,300.0,362.5,312.47,362.5
600.0,300.02,383.33,317.84,383.33333333333337
750.0,300.09,404.17,323.55,404.1666666666667
900.0,300.23,425.0,329.61,425.0
1050.0,300.5,445.83,335.93,445.83333333333337
1200.0,300.93,466.67,342.52,466.6666666666667
1350.0,301.53,487.5,349.38,487.5
1500.0,302.34,508.33,356.46,508.33333333333337
1650.0,303.36,529.17,363.78,529.1666666666667
1800.0,304.59,550.0,371.31,550.0
1950.0,306.06,550.0,375.86,550.0
2100.0,307.77,550.0,379.63,550.0
2250.0,309.71,550.0,383.0,550.0
2400.0,311.89,550.0,386.1,550.0
2550.0,314.27,550.0,389.0,550.0
2700.0,316.79,550.0,391.75,550.0
2850.0,319.45,550.0,394.35,550.0
3000.0,322.2,550.0,396.84,550.0
3150.0,325.02,550.0,399.24,550.0
3300.0,327.9,550.0,401.57,550.0
3450.0,330.81,550.0,403.83,550.0
3600.0,333.75,550.0,406.03,550.0
3750.0,336.69,550.0,408.18,550.0
3900.0,339.62,550.0,410.28,550.0
4050.0,342.54,550.0,412.34,550.0
4200.0,345.45,550.0,414.37,550.0
4350.0,348.33,550.0,416.35,550.0
4500.0,351.19,550.0,418.3,550.0
4650.0,354.01,550.0,420.22,550.0
4800.0,356.81,550.0,422.11,550.0
4950.0,359.46,550.0,423.96,550.0
5100.0,362.04,550.0,425.78,550.0
5250.0,364.6,550.0,427.57,550.0
5400.0,367.13,550.0,429.32,550.0
5550.0,369.64,550.0,431.04,550.0
5700.0,372.12,550.0,432.73,550.0
5850.0,374.58,550.0,434.39,550.0
6000.0,377.01,550.0,436.03,550.0
6150.0,379.41,550.0,437.64,550.0
6300.0,381.78,550.0,439.22,550.0
6450.0,384.13,550.0,440.78,550.0
6600.0,386.44,550.0,442.32,550.0
6750.0,388.73,550.0,443.83,550.0
6900.0,390.99,550.0,445.33,550.0
7050.0,393.21,550.0,446.8,550.0
7200.0,395.41,550.0,448.25,550.0
7350.0,397.57,529.17,446.49,529.1666666666666
7500.0,399.71,508.33,443.71,508.3333333333333
7650.0,401.73,487.5,440.32,487.5
7800.0,403.71,466.67,436.44,466.66666666666663
7950.0,405.65,445.83,432.15,445.8333333333333
8100.0,407.52,425.0,427.51,425.0
8250.0,409.29,404.17,422.54,404.16666666666663
8400.0,410.92,383.33,417.28,383.3333333333333
8550.0,412.39,362.5,411.72,362.5
8700.0,413.66,341.67,405.91,341.66666666666663
8850.0,414.72,320.83,399.81,320.8333333333333
9000.0,415.56,300.0,393.43,300.0
9150.0,416.15,300.0,390.07,300.0
9300.0,416.5,300.0,387.51,300.0
9450.0,416.59,300.0,385.34,300.0
9600.0,416.43,300.0,383.43,300.0
9750.0,416.03,300.0,381.71,300.0
9900.0,415.42,300.0,380.13,300.0
10050.0,414.63,300.0,378.61,300.0
10200.0,413.7,300.0,377.19,300.0
10350.0,412.64,300.0,375.85,300.0
10500.0,411.49,300.0,374.58,300.0
10650.0,410.26,300.0,373.37,300.0
10800.0,408.97,300.0,372.21,300.0
10950.0,407.65,300.0,371.08,300.0
11100.0,406.29,300.0,369.99,300.0
11250.0,404.92,300.0,368.93,300.0
11400.0,403.54,300.0,367.9,300.0
11550.0,402.15,300.0,366.89,300.0
11700.0,400.76,300.0,365.91,300.0
11850.0,399.38,300.0,364.94,300.0
12000.0,398.01,300.0,363.99,300.0
12150.0,396.64,300.0,363.06,300.0
12300.0,395.29,300.0,362.15,300.0
12450.0,393.95,300.0,361.25,300.0
12600.0,392.62,300.0,360.37,300.0
12750.0,391.31,300.0,359.5,300.0
12900.0,390.02,300.0,358.64,300.0
13050.0,388.74,300.0,357.8,300.0
13200.0,387.48,300.0,356.97,300.0
13350.0,386.23,300.0,356.15,300.0
13500.0,385.0,300.0,355.35,300.0
13650.0,383.79,300.0,354.56,300.0
13800.0,382.59,300.0,353.77,300.0
13950.0,381.41,300.0,353.0,300.0
14100.0,380.25,300.0,352.24,300.0
14250.0,379.1,300.0,351.5,300.0
14400.0,377.97,300.0,350.76,300.0
