Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,300.0,300.0,300.0,300.0
150.0,300.0,302.67,300.32,302.77777777777777
300.0,300.0,305.41,300.8,305.55555555555554
450.0,300.0,308.15,301.36,308.3333333333333
600.0,300.0,310.9,301.99,311.1111111111111
750.0,300.01,313.65,302.67,313.8888888888889
900.0,300.03,316.4,303.39,316.6666666666667
1050.0,300.07,319.15,304.16,319.44444444444446
1200.0,300.13,321.9,304.97,322.22222222222223
1350.0,300.21,324.66,305.82,325.0
1500.0,300.32,327.41,306.7,327.77777777777777
1650.0,300.47,330.17,307.61,330.55555555555554
1800.0,300.65,332.92,308.55,333.3333333333333
1950.0,300.86,335.68,309.53,336.1111111111111
2100.0,301.1,338.43,310.53,338.8888888888889
2250.0,301.39,341.19,311.57,341.6666666666667
2400.0,301.71,343.95,312.63,344.44444444444446
2550.0,302.06,346.72,313.7,347.22222222222223
2700.0,302.45,349.48,314.79,350.0
2850.0,302.88,352.23,315.91,352.77777777777777
3000.0,303.33,354.99,317.06,355.55555555555554
3150.0,303.83,357.75,318.24,358.3333333333333
3300.0,304.35,360.51,319.44,361.1111111111111
3450.0,304.91,363.27,320.67,363.8888888888889
3600.0,305.5,366.03,321.92,366.66666666666663
3750.0,306.13,368.79,323.2,369.44444444444446
3900.0,306.78,371.55,324.49,372.22222222222223
4050.0,307.47,374.31,325.82,375.0
4200.0,308.19,377.08,327.16,377.77777777777777
4350.0,308.94,379.84,328.53,380.55555555555554
4500.0,309.72,382.6,329.91,383.3333333333333
4650.0,310.53,385.36,331.32,386.1111111111111
4800.0,311.37,388.12,332.76,388.8888888888889
4950.0,312.24,390.89,334.21,391.66666666666663
5100.0,313.13,393.67,335.63,394.44444444444446
5250.0,314.05,396.43,337.07,397.22222222222223
5400.0,314.99,399.19,338.55,400.0
5550.0,315.95,401.96,340.04,402.77777777777777
5700.0,316.94,404.72,341.56,405.55555555555554
5850.0,317.95,407.48,343.09,408.3333333333333
6000.0,318.99,410.25,344.65,411.1111111111111
6150.0,320.05,413.01,346.22,413.8888888888889
6300.0,321.14,415.77,347.82,416.66666666666663
6450.0,322.25,418.54,349.43,419.44444444444446
6600.0,323.38,421.3,351.05,422.22222222222223
6750.0,324.54,424.07,352.7,425.0
6900.0,325.72,426.84,354.36,427.77777777777777
7050.0,326.92,429.6,356.04,430.55555555555554
7200.0,328.15,432.37,357.74,433.3333333333333
7350.0,329.4,435.13,359.45,436.1111111111111
7500.0,330.66,437.92,361.17,438.8888888888889
7650.0,331.93,440.68,362.87,441.66666666666663
7800.0,333.21,443.45,364.59,444.44444444444446
7950.0,334.51,446.22,366.33,447.2222222222222
8100.0,335.84,448.98,368.08,450.0
8250.0,337.18,451.75,369.84,452.77777777777777
8400.0,338.54,454.51,371.63,455.55555555555554
8550.0,339.92,457.28,373.42,458.3333333333333
8700.0,341.31,460.05,375.23,461.1111111111111
8850.0,342.73,462.82,377.06,463.8888888888889
9000.0,344.17,465.58,378.9,466.66666666666663
9150.0,345.62,468.35,380.75,469.44444444444446
9300.0,347.1,471.12,382.62,472.2222222222222
9450.0,348.59,473.89,384.5,475.0
9600.0,350.1,476.66,386.39,477.77777777777777
9750.0,351.63,479.42,388.3,480.55555555555554
9900.0,353.17,482.19,390.22,483.3333333333333
10050.0,354.7,484.96,392.16,486.1111111111111
10200.0,356.23,487.74,394.09,488.8888888888889
10350.0,357.78,490.51,396.03,491.66666666666663
10500.0,359.34,493.28,397.98,494.44444444444446
10650.0,360.92,496.04,399.93,497.2222222222222
10800.0,362.52,498.81,401.9,500.0
10950.0,364.14,498.91,403.56,500.0
11100.0,365.77,498.94,405.09,500.0
11250.0,367.42,498.97,406.55,500.0
11400.0,369.09,498.99,407.96,500.0
11550.0,370.77,499.01,409.33,500.0
11700.0,372.45,499.03,410.66,500.0
11850.0,374.14,499.04,411.96,500.0
12000.0,375.83,499.06,413.23,500.0
12150.0,377.51,499.07,414.48,500.0
12300.0,379.19,499.09,415.71,500.0
12450.0,380.85,499.1,416.92,500.0
12600.0,382.5,499.12,418.1,500.0
12750.0,384.13,499.13,419.27,500.0
12900.0,385.74,499.14,420.42,500.0
13050.0,387.34,499.16,421.55,500.0
13200.0,388.92,499.17,422.67,500.0
13350.0,390.48,499.18,423.76,500.0
13500.0,392.02,499.19,424.84,500.0
13650.0,393.54,499.2,425.91,500.0
13800.0,395.04,499.21,426.96,500.0
13950.0,396.52,499.23,427.99,500.0
14100.0,397.98,499.24,429.01,500.0
14250.0,399.42,499.25,430.02,500.0
14400.0,400.76,499.26,431.0,500.0
