Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,500.0,500.0,500.0,500.0
150.0,500.0,506.0,500.36,506.0
300.0,500.0,507.67,500.63,507.6666666666667
450.0,500.0,508.67,500.86,508.6666666666667
600.0,500.0,509.4,501.06,509.4
750.0,500.0,510.0,501.24,510.0
900.0,500.0,510.6,501.41,510.6
1050.0,500.0,511.2,501.58,511.2
1200.0,500.0,511.8,501.75,511.8
1350.0,500.0,512.4,501.92,512.4
1500.0,500.0,513.0,502.09,513.0
1650.0,500.0,513.6,502.26,513.6
1800.0,500.01,514.2,502.44,514.2
1950.0,500.01,514.8,502.61,514.8
2100.0,500.02,515.2,502.78,515.2
2250.0,500.03,515.5,502.93,515.5
2400.0,500.04,515.8,503.08,515.8
2550.0,500.05,516.1,503.23,516.1
2700.0,500.07,516.4,503.37,516.4
2850.0,500.09,516.7,503.51,516.7
3000.0,500.11,517.0,503.65,517.0
3150.0,500.13,517.75,503.81,517.75
3300.0,500.16,518.5,503.99,518.5
3450.0,500.19,519.25,504.18,519.25
3600.0,500.22,520.0,504.37,520.0
3750.0,500.26,520.75,504.57,520.75
3900.0,500.3,521.5,504.78,521.5
4050.0,500.34,522.25,504.98,522.25
4200.0,500.38,523.0,505.2,523.0
4350.0,500.42,523.75,505.42,523.75
4500.0,500.47,524.5,505.64,524.5
4650.0,500.52,525.25,505.86,525.25
4800.0,500.58,526.0,506.09,526.0
4950.0,500.63,526.75,506.32,526.75
5100.0,500.69,527.5,506.56,527.5
5250.0,500.75,528.25,506.8,528.25
5400.0,500.81,529.0,507.04,529.0
5550.0,500.88,529.75,507.29,529.75
5700.0,500.95,530.5,507.54,530.5
5850.0,501.02,531.25,507.79,531.25
6000.0,501.09,532.0,508.04,532.0
6150.0,501.17,532.75,508.3,532.75
6300.0,501.25,533.5,508.56,533.5
6450.0,501.33,534.25,508.82,534.25
6600.0,501.41,535.0,509.09,535.0
6750.0,501.5,535.75,509.36,535.75
6900.0,501.59,536.5,509.63,536.5
7050.0,501.68,539.5,509.98,539.5
7200.0,501.78,547.0,510.72,547.0
7350.0,501.88,598.5,514.61,598.5
7500.0,501.98,599.0,516.45,599.0
7650.0,502.09,597.5,517.69,597.5
7800.0,502.2,595.57,518.64,595.5714285714286
7950.0,502.31,593.43,519.39,593.4285714285714
8100.0,502.42,591.29,520.01,591.2857142857143
8250.0,502.54,589.14,520.53,589.1428571428571
8400.0,502.66,587.0,520.96,587.0
8550.0,502.8,585.5,521.36,585.5
8700.0,502.93,584.0,521.72,584.0
8850.0,503.08,582.5,522.04,582.5
9000.0,503.25,581.0,522.32,581.0
9150.0,503.42,579.5,522.58,579.5
9300.0,503.61,578.0,522.8,578.0
9450.0,503.81,576.0,522.97,576.0
9600.0,504.03,573.0,523.04,573.0
9750.0,504.26,570.0,523.04,570.0
9900.0,504.5,567.0,523.0,567.0
10050.0,504.75,564.0,522.91,564.0
10200.0,505.02,561.0,522.78,561.0
10350.0,505.29,558.0,522.62,558.0
10500.0,505.57,556.0,522.47,556.0
10650.0,505.86,554.5,522.36,554.5
10800.0,506.16,553.0,522.26,553.0
10950.0,506.46,551.5,522.15,551.5
11100.0,506.76,550.0,522.04,550.0
11250.0,507.07,548.5,521.93,548.5
11400.0,507.38,547.0,521.81,547.0
11550.0,507.68,545.5,521.68,545.5
11700.0,507.99,544.0,521.54,544.0
11850.0,508.3,542.5,521.4,542.5
12000.0,508.6,541.0,521.25,541.0
12150.0,508.9,539.5,521.09,539.5
12300.0,509.19,538.0,520.92,538.0
12450.0,509.48,536.5,520.75,536.5
12600.0,509.77,535.0,520.56,535.0
12750.0,510.05,533.5,520.37,533.5
12900.0,510.32,532.0,520.18,532.0
13050.0,510.59,530.5,519.97,530.5
13200.0,510.85,529.0,519.76,529.0
13350.0,511.1,527.5,519.54,527.5
13500.0,511.35,525.6,519.29,525.6
13650.0,511.59,523.5,519.01,523.5
13800.0,511.82,521.4,518.71,521.4
13950.0,512.04,519.44,518.39,519.4444444444445
14100.0,512.26,517.78,518.09,517.7777777777778
14250.0,512.47,516.11,517.78,516.1111111111111
14400.0,512.67,505.0,517.13,505.0
