Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,400.0,400.0,400.0,400.0
150.0,400.0,407.5,400.48,407.5
300.0,400.0,408.33,400.74,408.3333333333333
450.0,400.0,408.83,400.93,408.8333333333333
600.0,400.0,411.2,401.19,411.2
750.0,400.0,414.5,401.57,414.5
900.0,400.0,417.8,402.01,417.8
1050.0,400.0,421.5,402.51,421.5
1200.0,400.0,426.0,403.12,426.0
1350.0,400.0,430.5,403.79,430.5
1500.0,400.0,435.0,404.51,435.0
1650.0,400.01,450.0,405.84,450.0
1800.0,400.01,465.0,407.55,465.0
1950.0,400.02,480.0,409.52,480.0
2100.0,400.03,486.5,411.3,486.5
2250.0,400.04,488.75,412.66,488.75
2400.0,400.05,491.0,413.88,491.0
2550.0,400.08,493.25,415.02,493.25
2700.0,400.1,495.5,416.11,495.5
2850.0,400.14,497.75,417.17,497.75
3000.0,400.18,500.0,418.2,500.0
3150.0,400.23,500.3,419.11,500.3
3300.0,400.3,500.6,419.93,500.6
3450.0,400.38,500.9,420.71,500.9
3600.0,400.48,501.2,421.45,501.2
3750.0,400.59,501.5,422.15,501.5
3900.0,400.72,501.8,422.83,501.8
4050.0,400.87,502.15,423.49,502.15
4200.0,401.04,502.6,424.13,502.6
4350.0,401.23,503.05,424.76,503.05
4500.0,401.43,503.5,425.38,503.5
4650.0,401.66,503.95,425.98,503.95
4800.0,401.9,504.4,426.57,504.4
4950.0,402.16,504.85,427.15,504.85
5100.0,402.43,505.5,427.74,505.5
5250.0,402.72,506.25,428.33,506.25
5400.0,403.02,507.0,428.91,507.0
5550.0,403.34,507.75,429.5,507.75
5700.0,403.67,508.5,430.08,508.5
5850.0,404.01,509.25,430.66,509.25
6000.0,404.37,510.0,431.24,510.0
6150.0,404.73,511.5,431.86,511.5
6300.0,405.1,513.0,432.5,513.0
6450.0,405.48,514.5,433.16,514.5
6600.0,405.87,516.0,433.82,516.0
6750.0,406.27,517.5,434.5,517.5
6900.0,406.67,519.0,435.18,519.0
7050.0,407.08,522.5,435.94,522.5
7200.0,407.5,530.0,437.04,530.0
7350.0,407.92,544.0,438.79,544.0
7500.0,408.35,540.0,439.76,540.0
7650.0,408.78,532.5,440.14,532.5
7800.0,409.22,525.71,440.3,525.7142857142857
7950.0,409.66,519.29,440.31,519.2857142857143
8100.0,410.11,512.86,440.19,512.8571428571429
8250.0,410.56,506.43,439.96,506.42857142857144
8400.0,411.02,500.0,439.64,500.0
8550.0,411.48,492.5,439.17,492.5
8700.0,411.95,485.0,438.59,485.0
8850.0,412.43,477.5,437.92,477.5
9000.0,412.91,470.0,437.16,470.0
9150.0,413.39,462.5,436.33,462.5
9300.0,413.88,455.0,435.43,455.0
9450.0,414.38,448.6,434.5,448.6
9600.0,414.87,444.4,433.69,444.4
9750.0,415.37,440.2,432.91,440.2
9900.0,415.86,436.0,432.14,436.0
10050.0,416.35,431.8,431.37,431.8
10200.0,416.83,427.6,430.58,427.6
10350.0,417.3,423.4,429.78,423.4
10500.0,417.76,421.8,429.09,421.8
10650.0,418.21,421.5,428.57,421.5
10800.0,418.65,421.2,428.12,421.2
10950.0,419.07,420.9,427.72,420.9
11100.0,419.47,420.6,427.37,420.6
11250.0,419.86,420.3,427.04,420.3
11400.0,420.23,420.0,426.74,420.0
11550.0,420.58,419.4,426.44,419.4
11700.0,420.91,418.8,426.16,418.8
11850.0,421.22,418.2,425.88,418.2
12000.0,421.51,417.6,425.61,417.6
12150.0,421.79,417.0,425.35,417.0
12300.0,422.04,416.4,425.1,416.4
12450.0,422.27,415.4,424.84,415.4
12600.0,422.49,413.6,424.53,413.6
12750.0,422.69,411.8,424.18,411.8
12900.0,422.88,410.0,423.81,410.0
13050.0,423.05,409.4,423.5,409.4
13200.0,423.2,408.8,423.21,408.8
13350.0,423.34,408.2,422.94,408.2
13500.0,423.47,407.6,422.68,407.6
13650.0,423.58,407.0,422.42,407.0
13800.0,423.69,406.4,422.17,406.4
13950.0,423.78,405.89,421.92,405.8888888888889
14100.0,423.86,405.56,421.7,405.55555555555554
14250.0,423.93,405.22,421.48,405.22222222222223
14400.0,423.99,400.0,421.1,400.0
