Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,400.0,400.0,400.0,400.0
150.0,400.0,483.5,405.04,483.5
300.0,400.0,488.0,407.76,488.0
450.0,400.0,489.5,409.6,489.5
600.0,400.0,494.4,411.27,494.4
750.0,400.0,501.0,413.0,501.0
900.0,400.0,507.6,414.72,507.6
1050.0,400.0,512.3,416.38,512.3
1200.0,400.01,513.2,417.73,513.2
1350.0,400.01,514.1,418.95,514.1
1500.0,400.03,515.0,420.08,515.0
1650.0,400.06,516.5,421.18,516.5
1800.0,400.1,518.0,422.24,518.0
1950.0,400.16,519.5,423.27,519.5
2100.0,400.23,520.4,424.26,520.4
2250.0,400.33,521.0,425.17,521.0
2400.0,400.45,521.6,426.05,521.6
2550.0,400.59,522.2,426.9,522.2
2700.0,400.76,522.8,427.72,522.8
2850.0,400.95,523.4,428.52,523.4
3000.0,401.16,524.0,429.29,524.0
3150.0,401.4,524.15,430.03,524.15
3300.0,401.66,524.3,430.74,524.3
3450.0,401.94,524.45,431.42,524.45
3600.0,402.24,524.6,432.08,524.6
3750.0,402.57,524.75,432.73,524.75
3900.0,402.91,524.9,433.36,524.9
4050.0,403.27,526.35,434.02,526.35
4200.0,403.64,530.4,434.89,530.4
4350.0,404.03,534.45,435.85,534.45
4500.0,404.44,538.5,436.87,538.5
4650.0,404.86,542.55,437.94,542.55
4800.0,405.29,546.6,439.05,546.6
4950.0,405.73,550.65,440.19,550.65
5100.0,406.18,552.5,441.27,552.5
5250.0,406.65,553.25,442.22,553.25
5400.0,407.12,554.0,443.12,554.0
5550.0,407.6,554.75,443.99,554.75
5700.0,408.09,555.5,444.84,555.5
5850.0,408.59,556.25,445.67,556.25
6000.0,409.1,557.0,446.49,557.0
6150.0,409.61,557.45,447.27,557.45
6300.0,410.14,557.9,448.04,557.9
6450.0,410.67,558.35,448.79,558.35
6600.0,411.21,558.8,449.53,558.8
6750.0,411.76,559.25,450.26,559.25
6900.0,412.32,559.7,450.98,559.7
7050.0,412.89,560.75,451.71,560.75
7200.0,413.47,563.0,452.54,563.0
7350.0,414.05,586.0,454.77,586.0
7500.0,414.64,591.33,456.37,591.3333333333334
7650.0,415.24,597.83,458.01,597.8333333333334
7800.0,415.84,598.57,459.42,598.5714285714286
7950.0,416.46,596.43,460.47,596.4285714285714
8100.0,417.07,594.29,461.36,594.2857142857143
8250.0,417.69,592.14,462.15,592.1428571428571
8400.0,418.32,590.0,462.85,590.0
8550.0,418.95,588.95,463.54,588.95
8700.0,419.6,587.9,464.22,587.9
8850.0,420.24,586.85,464.86,586.85
9000.0,420.9,585.8,465.48,585.8
9150.0,421.57,584.75,466.07,584.75
9300.0,422.24,583.7,466.64,583.7
9450.0,422.92,582.85,467.19,582.85
9600.0,423.61,582.4,467.76,582.4
9750.0,424.31,581.95,468.32,581.95
9900.0,425.02,581.5,468.88,581.5
10050.0,425.73,581.05,469.43,581.05
10200.0,426.45,580.6,469.97,580.6
10350.0,427.18,580.15,470.5,580.15
10500.0,427.91,579.8,471.03,579.8
10650.0,428.64,579.5,471.55,579.5
10800.0,429.37,579.2,472.08,579.2
10950.0,430.11,578.9,472.59,578.9
11100.0,430.85,578.6,473.11,578.6
11250.0,431.59,578.3,473.61,578.3
11400.0,432.33,578.0,474.11,578.0
11550.0,433.06,576.8,474.56,576.8
11700.0,433.8,575.6,474.97,575.6
11850.0,434.54,574.4,475.36,574.4
12000.0,435.27,573.2,475.73,573.2
12150.0,436.0,572.0,476.09,572.0
12300.0,436.73,570.8,476.42,570.8
12450.0,437.46,569.5,476.74,569.5
12600.0,438.18,568.0,477.03,568.0
12750.0,438.9,566.5,477.3,566.5
12900.0,439.62,565.0,477.55,565.0
13050.0,440.33,563.5,477.79,563.5
13200.0,441.04,562.0,478.01,562.0
13350.0,441.74,560.5,478.21,560.5
13500.0,442.44,558.0,478.36,558.0
13650.0,443.14,555.0,478.42,555.0
13800.0,443.83,552.0,478.44,552.0
13950.0,444.51,544.44,478.25,544.4444444444445
14100.0,445.19,527.78,477.28,527.7777777777778
14250.0,445.86,511.11,475.91,511.1111111111111
14400.0,446.53,400.0,470.87,400.0
