Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,320.0,320.0,320.0,320.0
150.0,319.12,320.0,319.88,319.1145833333333
300.0,318.16,319.99,319.68,318.2291666666667
450.0,317.17,319.96,319.42,317.34375
600.0,316.18,319.88,319.12,316.4583333333333
750.0,315.18,319.77,318.79,315.5729166666667
900.0,314.18,319.61,318.42,314.6875
1050.0,313.17,319.42,318.02,313.8020833333333
1200.0,312.15,319.18,317.59,312.9166666666667
1350.0,311.13,318.91,317.13,312.03125
1500.0,310.1,318.6,316.64,311.1458333333333
1650.0,309.07,318.26,316.12,310.2604166666667
1800.0,308.03,317.88,315.58,309.375
1950.0,306.99,317.47,315.01,308.4895833333333
2100.0,305.95,317.03,314.42,307.6041666666667
2250.0,304.9,316.56,313.8,306.71875
2400.0,303.85,316.07,313.16,305.8333333333333
2550.0,302.79,315.54,312.51,304.9479166666667
2700.0,301.74,315.0,311.83,304.0625
2850.0,300.67,314.42,311.13,303.1770833333333
3000.0,299.61,313.82,310.42,302.2916666666667
3150.0,298.54,313.2,309.68,301.40625
3300.0,297.47,312.56,308.93,300.5208333333333
3450.0,296.4,311.9,308.17,299.6354166666667
3600.0,295.32,311.22,307.39,298.75
3750.0,294.24,310.52,306.59,297.8645833333333
3900.0,293.16,309.8,305.78,296.9791666666667
4050.0,292.08,309.06,304.96,296.09375
4200.0,291.0,308.31,304.12,295.2083333333333
4350.0,289.91,307.54,303.27,294.3229166666667
4500.0,288.82,306.75,302.41,293.4375
4650.0,287.73,305.95,301.53,292.5520833333333
4800.0,286.63,305.14,300.65,291.6666666666667
4950.0,285.54,304.31,299.75,290.78125
5100.0,284.44,303.47,298.85,289.8958333333333
5250.0,283.34,302.62,297.93,289.0104166666667
5400.0,282.24,301.75,297.01,288.125
5550.0,281.14,300.88,296.08,287.2395833333333
5700.0,280.04,299.99,295.14,286.3541666666667
5850.0,278.94,299.09,294.19,285.46875
6000.0,277.83,298.18,293.23,284.5833333333333
6150.0,276.72,297.27,292.26,283.6979166666667
6300.0,275.62,296.34,291.29,282.8125
6450.0,274.51,295.41,290.31,281.9270833333333
6600.0,273.4,294.46,289.33,281.0416666666667
6750.0,272.29,293.51,288.34,280.15625
6900.0,271.17,292.55,287.34,279.2708333333333
7050.0,270.06,291.59,286.33,278.3854166666667
7200.0,268.95,290.61,285.33,277.5
7350.0,267.83,289.63,284.31,276.6145833333333
7500.0,266.72,288.64,283.29,275.7291666666667
7650.0,265.6,287.65,282.27,274.84375
7800.0,264.48,286.65,281.24,273.9583333333333
7950.0,263.36,285.65,280.2,273.0729166666667
8100.0,262.24,284.64,279.17,272.1875
8250.0,261.12,283.62,278.12,271.3020833333333
8400.0,260.0,282.6,277.08,270.4166666666667
8550.0,258.88,281.57,276.03,269.53125
8700.0,257.76,280.54,274.98,268.6458333333333
8850.0,256.64,279.51,273.92,267.7604166666667
9000.0,255.52,278.47,272.86,266.875
9150.0,254.39,277.43,271.8,265.9895833333333
9300.0,253.27,276.38,270.73,265.1041666666667
9450.0,252.15,275.33,269.66,264.21875
9600.0,251.02,274.28,268.59,263.3333333333333
9750.0,249.9,273.22,267.51,262.4479166666667
9900.0,248.77,272.16,266.44,261.5625
10050.0,247.64,271.1,265.36,260.6770833333333
10200.0,246.52,270.03,264.28,259.7916666666667
10350.0,245.39,268.96,263.19,258.90625
10500.0,244.26,267.89,262.11,258.0208333333333
10650.0,243.14,266.81,261.02,257.1354166666667
10800.0,242.01,265.73,259.93,256.25
10950.0,240.88,264.65,258.83,255.36458333333331
11100.0,239.75,263.57,257.74,254.47916666666669
11250.0,238.62,262.49,256.65,253.59375
11400.0,237.49,261.4,255.55,252.70833333333331
11550.0,236.36,260.31,254.45,251.82291666666669
11700.0,235.23,259.22,253.35,250.9375
11850.0,234.11,258.13,252.25,250.05208333333331
12000.0,232.98,257.03,251.14,249.16666666666669
12150.0,231.84,255.94,250.04,248.28125
12300.0,230.71,254.84,248.93,247.39583333333331
12450.0,229.58,253.74,247.82,246.51041666666669
12600.0,228.45,252.64,246.72,245.625
12750.0,227.32,251.54,245.61,244.73958333333331
12900.0,226.19,250.43,244.5,243.85416666666669
13050.0,225.06,249.33,243.38,242.96875
13200.0,223.93,248.22,242.27,242.08333333333331
13350.0,222.8,247.11,241.16,241.19791666666669
13500.0,221.66,246.0,240.04,240.3125
13650.0,220.53,244.89,238.93,239.42708333333331
13800.0,219.4,243.78,237.81,238.54166666666669
13950.0,218.27,242.67,236.69,237.65625
14100.0,217.13,241.56,235.58,236.77083333333331
14250.0,216.0,240.44,234.46,235.88541666666669
14400.0,214.87,239.33,233.34,235.0
