Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,490.0,490.0,490.0,490.0
150.0,490.0,485.83,489.36,485.8333333333333
300.0,490.0,481.67,488.52,481.6666666666667
450.0,490.0,477.5,487.57,477.5
600.0,490.0,473.33,486.52,473.3333333333333
750.0,489.99,469.17,485.4,469.1666666666667
900.0,489.97,465.0,484.2,465.0
1050.0,489.94,460.83,482.95,460.8333333333333
1200.0,489.88,456.67,481.64,456.6666666666667
1350.0,489.79,452.5,480.28,452.5
1500.0,489.67,448.33,478.87,448.3333333333333
1650.0,489.51,444.17,477.42,444.1666666666667
1800.0,489.32,440.0,475.92,440.0
1950.0,489.07,435.83,474.38,435.8333333333333
2100.0,488.79,431.67,472.8,431.6666666666667
2250.0,488.46,427.5,471.19,427.5
2400.0,488.08,423.33,469.53,423.3333333333333
2550.0,487.65,419.17,467.84,419.1666666666667
2700.0,487.17,415.0,466.11,415.0
2850.0,486.65,410.83,464.35,410.8333333333333
3000.0,486.08,406.67,462.55,406.6666666666667
3150.0,485.46,402.5,460.72,402.5
3300.0,484.8,398.33,458.86,398.3333333333333
3450.0,484.08,394.17,456.96,394.1666666666667
3600.0,483.33,390.0,455.04,390.0
3750.0,482.52,385.83,453.08,385.8333333333333
3900.0,481.67,381.67,451.09,381.6666666666667
4050.0,480.77,377.5,449.07,377.5
4200.0,479.83,373.33,447.02,373.3333333333333
4350.0,478.84,369.17,444.94,369.1666666666667
4500.0,477.81,365.0,442.83,365.0
4650.0,476.74,360.83,440.7,360.8333333333333
4800.0,475.62,356.67,438.53,356.6666666666667
4950.0,474.47,352.5,436.31,352.5
5100.0,473.27,348.33,434.06,348.3333333333333
5250.0,472.03,344.17,431.79,344.1666666666667
5400.0,470.75,340.0,429.49,340.0
5550.0,469.43,335.83,427.18,335.8333333333333
5700.0,468.06,331.67,424.84,331.6666666666667
5850.0,466.66,327.5,422.47,327.5
6000.0,465.22,323.33,420.08,323.3333333333333
6150.0,463.74,319.17,417.67,319.1666666666667
6300.0,462.22,315.0,415.23,315.0
6450.0,460.67,310.83,412.77,310.8333333333333
6600.0,459.07,306.67,410.23,306.6666666666667
6750.0,457.44,302.5,407.64,302.5
6900.0,455.78,298.33,405.05,298.3333333333333
7050.0,454.08,294.17,402.45,294.1666666666667
7200.0,452.34,290.0,399.82,290.0
7350.0,450.56,285.83,397.19,285.8333333333333
7500.0,448.74,281.67,394.53,281.6666666666667
7650.0,446.89,277.5,391.85,277.5
7800.0,445.01,273.33,389.16,273.3333333333333
7950.0,443.08,269.17,386.44,269.1666666666667
8100.0,441.13,265.0,383.71,265.0
8250.0,439.14,260.83,380.88,260.8333333333333
8400.0,437.12,256.67,378.01,256.6666666666667
8550.0,435.06,252.5,375.14,252.5
8700.0,432.97,248.33,372.26,248.33333333333334
8850.0,430.84,244.17,369.36,244.16666666666666
9000.0,428.68,240.0,366.46,240.0
9150.0,426.48,237.92,363.86,237.91666666666666
9300.0,424.25,235.83,361.35,235.83333333333334
9450.0,421.98,233.75,358.89,233.75
9600.0,419.68,231.67,356.46,231.66666666666666
9750.0,417.36,229.58,354.05,229.58333333333334
9900.0,415.01,227.5,351.66,227.5
10050.0,412.65,225.42,349.29,225.41666666666666
10200.0,410.27,223.33,346.93,223.33333333333334
10350.0,407.88,221.25,344.58,221.25
10500.0,405.48,219.17,342.23,219.16666666666666
10650.0,403.08,217.08,339.81,217.08333333333334
10800.0,400.65,215.0,337.39,215.0
10950.0,398.21,212.92,334.98,212.91666666666666
11100.0,395.75,210.83,332.59,210.83333333333334
11250.0,393.29,209.5,330.31,209.5
11400.0,390.82,208.67,328.17,208.66666666666666
11550.0,388.34,207.83,326.09,207.83333333333334
11700.0,385.87,207.0,324.04,207.0
11850.0,383.4,206.17,322.03,206.16666666666666
12000.0,380.93,205.33,320.04,205.33333333333334
12150.0,378.47,204.5,318.08,204.5
12300.0,376.02,203.67,316.14,203.66666666666666
12450.0,373.59,202.83,314.23,202.83333333333334
12600.0,371.17,202.0,312.33,202.0
12750.0,368.76,201.58,310.52,201.58333333333334
12900.0,366.38,201.17,308.74,201.16666666666666
13050.0,364.01,200.75,307.0,200.75
13200.0,361.67,200.33,305.28,200.33333333333334
13350.0,359.29,199.92,303.58,199.91666666666666
13500.0,356.86,199.5,301.86,199.5
13650.0,354.45,199.08,300.16,199.08333333333334
13800.0,352.07,198.67,298.47,198.66666666666666
13950.0,349.72,198.25,296.8,198.25
14100.0,347.4,198.83,295.29,198.83333333333334
14250.0,345.11,200.92,294.12,200.91666666666666
14400.0,342.84,203.0,293.07,203.0
