Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,180.0,180.0,180.0,180.0
180,179.952,180.61,180.042,180.63333333333333
330,180.0,184.074,180.37,184.2083333333333
480,180.0,189.138,181.02,189.33333333333331
630,180.002,192.966,181.784,193.14166666666668
780,180.01399999999998,194.222,182.326,194.48333333333332
930,180.038,200.536,183.346,200.825
1080,180.08599999999998,203.238,184.28,203.5
1230,180.174,205.312,185.08,205.625
1380,180.304,208.084,186.014,208.35
1530,180.482,209.5,186.748,209.83333333333331
1680,180.702,212.056,187.68,212.33333333333331
1830,180.972,213.896,188.458,214.25
1980,181.29,219.246,189.582,219.7
2130,181.648,221.516,190.764,221.85
2280,182.044,223.956,191.716,224.4
2430,182.474,229.168,193.004,229.65833333333333
2580,182.952,231.942,194.272,232.38333333333333
2730,183.47,233.4,195.372,233.8333333333333
2880,184.028,238.052,196.648,238.6
3030,184.626,240.386,197.968,240.86666666666665
3180,185.266,243.618,199.262,244.15
3330,185.954,247.674,200.69,248.25
3480,186.682,247.346,201.872,247.8
3630,187.448,253.74,203.376,254.39166666666665
3780,188.248,255.76,204.836,256.3333333333333
3930,189.096,257.62,206.196,258.19166666666666
4080,189.982,260.298,207.576,260.93333333333334
4230,190.9,265.376,209.254,265.975
4380,191.858,265.492,210.576,266.1166666666667
4530,192.85,269.894,212.138,270.56666666666666
4680,193.856,273.572,213.766,274.20000000000005
4830,194.892,276.136,215.246,276.8583333333333
4980,195.958,281.394,217.082,282.1
5130,197.054,283.8,218.742,284.5083333333333
5280,198.18,286.424,220.4,287.1333333333333
5430,199.338,289.148,222.052,289.875
5580,200.534,291.13,223.688,291.81666666666666
5730,201.76,293.17,225.242,293.89166666666665
5880,203.016,295.33,226.864,296.0333333333333
6030,204.302,299.17600000000004,228.55,299.96666666666664
6180,205.616,301.558,230.312,302.2833333333333
6330,206.95,306.12,232.126,306.9666666666667
6480,208.306,307.54,233.92,308.2666666666667
6630,209.692,310.156,235.62,310.95
6780,211.098,314.736,237.53,315.5833333333333
6930,212.492,318.326,239.442,319.15000000000003
7080,213.908,320.66,241.266,321.46666666666664
7230,215.35,325.502,243.246,326.4
7380,216.806,323.898,244.85,324.65
7530,218.292,327.574,246.618,328.425
7680,219.804,332.886,248.66,333.76666666666665
7830,221.33,335.442,250.638,336.26666666666665
7980,222.884,335.812,252.358,336.65
8130,224.456,339.4,254.238,340.2916666666667
8280,226.042,344.79200000000003,256.35,345.7666666666667
8430,227.656,350.216,258.688,351.15
8580,229.29,350.84000000000003,260.696,351.68333333333334
8730,230.944,351.322,262.44,352.225
8880,232.62,355.332,264.464,356.26666666666665
9030,234.318,359.144,266.572,360.09166666666664
9180,236.008,362.064,268.612,362.9666666666666
9330,237.7,364.438,270.568,365.35
9480,239.404,366.954,272.54,367.8666666666667
9630,241.128,372.234,274.68800000000005,373.26666666666665
9780,242.872,376.032,276.964,377.0
9930,244.634,376.66,278.972,377.5583333333333
10080,246.406,379.462,280.962,380.4333333333333
10230,248.192,382.968,283.096,383.95
10380,250.006,386.842,285.294,387.85
10530,251.84,388.612,287.412,389.56666666666666
10680,253.692,394.384,289.728,395.4666666666666
10830,255.556,397.742,292.07,398.78333333333336
10980,257.44,401.092,294.384,402.1333333333333
11130,259.344,402.488,296.558,403.5
11280,261.268,404.42,298.692,405.4
11430,263.204,404.774,300.62600000000003,405.76666666666665
11580,265.122,408.978,302.722,410.01666666666665
11730,267.034,414.342,305.05400000000003,415.375
11880,268.956,417.692,307.312,418.76666666666665
12030,270.888,421.418,309.666,422.4416666666667
12180,272.83,422.11,311.76800000000003,423.1
12330,274.784,423.762,313.796,424.78333333333336
12480,276.75600000000003,427.954,316.022,429.03333333333336
12630,278.738,432.964,318.436,434.075
12780,280.732,435.658,320.814,436.7
12930,282.744,437.168,322.98,438.225
13080,284.766,438.616,325.122,439.6333333333333
13230,286.8,441.812,327.296,442.8999999999999
13380,288.852,447.068,329.72,448.2166666666666
13530,290.908,449.45,332.104,450.51666666666665
13680,292.942,452.978,334.426,454.1
13830,294.956,455.314,336.72,456.3833333333333
13980,296.986,457.284,338.912,458.35
14130,299.01800000000003,461.868,341.25600000000003,463.01666666666665
14280,301.06199999999995,463.79,343.544,464.8666666666667
