Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,154.0,154.0,154.0,154.0
180,154.0,154.778,154.272,154.775
330,154.002,155.42,154.536,155.42083333333332
480,154.012,156.068,154.82,156.06666666666666
630,154.02800000000002,156.71,155.124,156.7125
780,154.07,157.36,155.446,157.35833333333332
930,154.12400000000002,158.008,155.77800000000002,158.00416666666666
1080,154.198,158.65,156.122,158.65
1230,154.294,159.298,156.482,159.29583333333332
1380,154.416,159.94,156.846,159.94166666666666
1530,154.55,160.588,157.228,160.5875
1680,154.70399999999998,161.23,157.618,161.23333333333332
1830,154.878,161.88,158.012,161.87916666666666
1980,155.07,162.528,158.424,162.525
2130,155.274,163.17,158.844,163.17083333333332
2280,155.498,163.818,159.26600000000002,163.81666666666666
2430,155.74,164.46,159.698,164.4625
2580,155.994,165.11,160.14,165.10833333333332
2730,156.26600000000002,165.758,160.59,165.75416666666666
2880,156.55,166.4,161.04399999999998,166.4
3030,156.852,167.048,161.51399999999998,167.04583333333332
3180,157.164,167.69,161.98399999999998,167.69166666666666
3330,157.486,168.338,162.458,168.3375
3480,157.82,168.98,162.946,168.98333333333332
3630,158.17,169.63,163.43,169.62916666666666
3780,158.524,170.278,163.93,170.275
3930,158.896,170.92,164.43200000000002,170.92083333333332
4080,159.278,171.568,164.942,171.56666666666666
4230,159.668,172.21,165.452,172.2125
4380,160.06199999999998,172.86,165.964,172.85833333333332
4530,160.474,173.508,166.486,173.50416666666666
4680,160.894,174.15,167.016,174.15
4830,161.31799999999998,174.798,167.546,174.79583333333332
4980,161.75799999999998,175.44,168.078,175.44166666666666
5130,162.20000000000002,176.088,168.62,176.0875
5280,162.65,176.73,169.168,176.73333333333332
5430,163.10399999999998,177.38,169.71,177.37916666666666
5580,163.57399999999998,178.028,170.262,178.025
5730,164.04399999999998,178.67,170.822,178.67083333333332
5880,164.518,179.318,171.382,179.31666666666666
6030,165.008,179.96,171.942,179.9625
6180,165.498,180.61,172.504,180.6083333333333
6330,165.98999999999998,181.258,173.074,181.25416666666663
6480,166.492,181.9,173.644,181.9
6630,167.002,182.548,174.216,182.5458333333333
6780,167.514,183.19,174.794,183.19166666666663
6930,168.034,183.838,175.368,183.8375
7080,168.55599999999998,184.48,175.956,184.4833333333333
7230,169.08599999999998,185.13,176.536,185.12916666666663
7380,169.616,185.778,177.118,185.775
7530,170.148,186.42,177.708,186.4208333333333
7680,170.69,187.068,178.3,187.06666666666663
7830,171.238,187.71,178.898,187.7125
7980,171.78,188.36,179.49,188.3583333333333
8130,172.332,189.008,180.088,189.00416666666663
8280,172.892,189.65,180.68,189.65
8430,173.452,190.298,181.282,190.2958333333333
8580,174.012,190.94,181.89,190.94166666666663
8730,174.574,191.588,182.49,191.5875
8880,175.144,192.23,183.092,192.2333333333333
9030,175.714,192.88,183.702,192.87916666666663
9180,176.286,193.528,184.312,193.525
9330,176.866,194.17,184.922,194.1708333333333
9480,177.446,194.818,185.532,194.81666666666663
9630,178.026,195.46,186.142,195.4625
9780,178.608,196.11,186.754,196.1083333333333
9930,179.198,196.758,187.372,196.75416666666663
10080,179.78799999999998,197.4,187.984,197.4
10230,180.378,198.048,188.604,198.0458333333333
10380,180.97,198.69,189.224,198.69166666666663
10530,181.564,199.338,189.84,199.3375
10680,182.134,199.98,190.44,199.9833333333333
10830,182.704,200.63,191.04,200.62916666666663
10980,183.274,201.278,191.642,201.275
11130,183.844,201.92,192.25,201.9208333333333
11280,184.416,202.568,192.852,202.56666666666663
11430,184.994,203.21,193.462,203.2125
11580,185.566,203.86,194.072,203.8583333333333
11730,186.146,204.508,194.682,204.50416666666663
11880,186.728,205.15,195.292,205.15
12030,187.316,205.798,195.904,205.7958333333333
12180,187.898,206.44,196.522,206.44166666666663
12330,188.488,207.088,197.134,207.0875
12480,189.078,207.73,197.754,207.7333333333333
12630,189.668,208.38,198.374,208.37916666666663
12780,190.26,209.028,198.994,209.025
12930,190.86,209.67,199.614,209.6708333333333
13080,191.46,210.318,200.234,210.31666666666663
13230,192.06,210.96,200.854,210.9625
13380,192.66,211.61,201.474,211.6083333333333
13530,193.26,212.258,202.096,212.25416666666663
13680,193.862,212.9,202.724,212.9
13830,194.47,213.548,203.346,213.5458333333333
13980,195.072,214.19,203.974,214.19166666666663
14130,195.682,214.838,204.596,214.8375
14280,196.292,215.48,205.226,215.4833333333333
