Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,176.0,176.0,176.0,176.0
180,176.0,178.17000000000002,176.214,178.25
330,176.0,180.02,176.49800000000002,180.125
480,176.0,181.87,176.848,182.0
630,176.004,183.72,177.246,183.875
780,176.024,185.572,177.68200000000002,185.75
930,176.048,187.432,178.15,187.625
1080,176.09400000000002,189.29,178.656,189.5
1230,176.166,191.142,179.192,191.375
1380,176.254,193.002,179.75799999999998,193.25
1530,176.378,194.862,180.352,195.125
1680,176.52200000000002,196.722,180.968,197.0
1830,176.69,198.582,181.612,198.875
1980,176.896,200.442,182.278,200.75
2130,177.13000000000002,202.302,182.972,202.625
2280,177.38600000000002,204.162,183.686,204.5
2430,177.672,206.022,184.42,206.375
2580,177.988,207.882,185.174,208.25
2730,178.334,209.742,185.948,210.125
2880,178.708,211.604,186.744,212.0
3030,179.106,213.472,187.566,213.875
3180,179.53799999999998,215.332,188.4,215.75
3330,179.986,217.192,189.254,217.625
3480,180.47,219.054,190.128,219.5
3630,180.974,220.924,191.016,221.375
3780,181.498,222.792,191.898,223.25
3930,182.044,224.652,192.794,225.125
4080,182.616,226.514,193.718,227.0
4230,183.202,228.382,194.662,228.875
4380,183.816,230.242,195.624,230.75
4530,184.45,232.104,196.598,232.625
4680,185.104,233.972,197.59,234.5
4830,185.78,235.834,198.596,236.375
4980,186.482,237.702,199.626,238.25
5130,187.196,239.564,200.662,240.125
5280,187.932,241.432,201.724,242.0
5430,188.694,243.294,202.796,243.875
5580,189.468,245.162,203.878,245.75
5730,190.262,247.024,204.974,247.625
5880,191.078,248.892,206.094,249.5
6030,191.92,250.754,207.218,251.375
6180,192.772,252.624,208.36,253.25
6330,193.638,254.492,209.512,255.125
6480,194.53,256.354,210.676,257.0
6630,195.434,258.22400000000005,211.858,258.875
6780,196.358,260.09200000000004,213.05,260.75
6930,197.302,261.954,214.254,262.625
7080,198.264,263.824,215.474,264.5
7230,199.238,265.332,216.666,266.0
7380,200.23,265.384,217.726,266.0
7530,201.234,265.404,218.698,266.0
7680,202.256,265.42400000000004,219.628,266.0
7830,203.288,265.442,220.512,266.0
7980,204.328,265.452,221.366,266.0
8130,205.368,265.462,222.192,266.0
8280,206.408,265.47200000000004,222.998,266.0
8430,207.444,265.482,223.786,266.0
8580,208.464,265.492,224.56,266.0
8730,209.48,265.502,225.308,266.0
8880,210.478,265.512,226.046,266.0
9030,211.464,265.522,226.772,266.0
9180,212.432,265.532,227.48,266.0
9330,213.388,265.54200000000003,228.176,266.0
9480,214.326,265.552,228.854,266.0
9630,215.252,265.56,229.522,266.0
9780,216.16,265.562,230.18,266.0
9930,217.056,265.572,230.826,266.0
10080,217.932,265.582,231.454,266.0
10230,218.79,265.59,232.072,266.0
10380,219.638,265.592,232.68,266.0
10530,220.47,265.60400000000004,233.278,266.0
10680,221.262,265.622,233.858,266.0
10830,222.02,265.63,234.398,266.0
10980,222.766,265.632,234.934,266.0
11130,223.496,265.642,235.454,266.0
11280,224.222,265.65,235.972,266.0
11430,224.928,265.652,236.48,266.0
11580,225.618,265.66,236.978,266.0
11730,226.304,265.66200000000003,237.468,266.0
11880,226.972,265.672,237.954,266.0
12030,227.63,265.68,238.424,266.0
12180,228.278,265.682,238.892,266.0
12330,228.916,265.69,239.35,266.0
12480,229.544,265.692,239.8,266.0
12630,230.162,265.7,240.246,266.0
12780,230.77,265.702,240.676,266.0
12930,231.366,265.71,241.106,266.0
13080,231.946,265.712,241.532,266.0
13230,232.524,265.72,241.942,266.0
13380,233.092,265.72200000000004,242.35,266.0
13530,233.65,265.73,242.748,266.0
13680,234.198,265.732,243.138,266.0
13830,234.736,265.74,243.526,266.0
13980,235.264,265.74,243.906,266.0
14130,235.782,265.742,244.284,266.0
14280,236.29,265.75,244.652,266.0
