Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,450.0,450.0,450.0,450.0
190,450.0,455.106,450.5373333333333,455.27777777777777
340,450.0,459.216,451.1566666666667,459.44444444444446
490,450.0,463.32866666666666,451.886,463.6111111111112
640,450.0026666666666,467.45133333333337,452.7173333333333,467.77777777777777
790,450.0153333333333,471.57866666666666,453.626,471.94444444444446
940,450.038,475.70133333333337,454.602,476.1111111111112
1090,450.076,479.83133333333336,455.638,480.27777777777777
1240,450.144,483.964,456.734,484.44444444444446
1390,450.242,488.1013333333333,457.88466666666665,488.6111111111112
1540,450.37266666666665,492.2313333333333,459.0806666666667,492.77777777777777
1690,450.54066666666665,496.364,460.33133333333336,496.94444444444446
1840,450.7466666666666,499.432,461.5233333333333,500.0
1990,451.00466666666665,499.528,462.428,500.0
2140,451.298,499.558,463.1893333333333,500.0
2290,451.64133333333336,499.5826666666666,463.8806666666667,500.0
2440,452.032,499.5953333333333,464.5126666666667,500.0
2590,452.4626666666667,499.61266666666666,465.112,500.0
2740,452.9306666666667,499.62266666666665,465.674,500.0
2890,453.426,499.6326666666666,466.21133333333336,500.0
3040,453.9413333333333,499.64,466.73333333333335,500.0
3190,454.4766666666666,499.6426666666666,467.23066666666665,500.0
3340,455.0266666666666,499.6526666666667,467.718,500.0
3490,455.57933333333335,499.66,468.1926666666666,500.0
3640,456.13933333333335,499.66266666666667,468.65,500.0
3790,456.702,499.67266666666666,469.0973333333333,500.0
3940,457.26933333333335,499.68,469.5373333333333,500.0
4090,457.832,499.68266666666665,469.972,500.0
4240,458.39933333333335,499.69,470.392,500.0
4390,458.95666666666665,499.6926666666666,470.8093333333333,500.0
4540,459.50666666666666,499.7,471.2166666666667,500.0
4690,460.0566666666667,499.7,471.6166666666667,500.0
4840,460.604,499.7026666666666,472.014,500.0
4990,461.1413333333333,499.71,472.404,500.0
5140,461.6713333333333,499.7126666666667,472.7913333333333,500.0
5290,462.19866666666667,499.72,473.1686666666666,500.0
5440,462.716,499.72,473.5386666666666,500.0
5590,463.226,499.7226666666666,473.906,500.0
5740,463.73333333333335,499.73,474.266,500.0
5890,464.23066666666665,499.73266666666666,474.6233333333333,500.0
6040,464.72066666666666,499.74,474.97333333333336,500.0
6190,465.208,499.74,475.3206666666667,500.0
6340,465.688,499.74266666666665,475.66066666666666,500.0
6490,466.16533333333336,499.75,475.9980000000001,500.0
6640,466.6326666666667,499.75,476.328,500.0
6790,467.0926666666667,499.7526666666666,476.658,500.0
6940,467.55,499.76,476.9853333333333,500.0
7090,467.9973333333333,499.76,477.30266666666665,500.0
7240,468.4373333333333,498.6933333333333,477.5113333333333,498.88888888888886
7390,468.87466666666666,494.6666666666667,477.3853333333333,494.72222222222223
7540,469.30466666666666,490.5613333333334,477.0733333333333,490.55555555555554
7690,469.7293333333333,486.444,476.644,486.38888888888886
7840,470.1393333333333,482.32866666666666,476.11,482.22222222222223
7990,470.544,478.20133333333337,475.494,478.05555555555554
8140,470.9286666666666,474.07866666666666,474.8126666666666,473.88888888888886
8290,471.29066666666665,469.95133333333337,474.0566666666667,469.72222222222223
8440,471.62,465.82866666666666,473.2406666666667,465.55555555555554
8590,471.912,461.69866666666667,472.36733333333336,461.38888888888886
8740,472.1686666666667,457.5686666666667,471.4413333333333,457.22222222222223
8890,472.378,453.436,470.46066666666667,453.05555555555554
9040,472.5446666666666,450.368,469.536,450.0
9190,472.66133333333335,450.272,468.8913333333333,450.0
9340,472.72533333333337,450.24466666666666,468.39,450.0
9490,472.7346666666666,450.2273333333334,467.9533333333333,450.0
9640,472.70133333333337,450.2173333333333,467.56666666666666,450.0
9790,472.6206666666666,450.2073333333333,467.222,450.0
9940,472.5,450.19733333333335,466.9,450.0
10090,472.3446666666667,450.19,466.60266666666666,450.0
10240,472.1666666666667,450.18733333333336,466.318,450.0
10390,471.9613333333333,450.18,466.0533333333333,450.0
10540,471.7386666666667,450.17733333333337,465.8033333333333,450.0
10690,471.5033333333333,450.17,465.556,450.0
10840,471.2533333333333,450.1673333333334,465.3186666666667,450.0
10990,471.0033333333333,450.16,465.0913333333333,450.0
11140,470.7506666666667,450.16,464.8713333333333,450.0
11290,470.4906666666667,450.1573333333333,464.654,450.0
11440,470.228,450.15,464.444,450.0
11590,469.96066666666667,450.15,464.2366666666667,450.0
11740,469.7006666666667,450.15,464.0366666666666,450.0
11890,469.4406666666667,450.15,463.8366666666666,450.0
12040,469.1806666666667,450.1473333333333,463.63933333333335,450.0
12190,468.9206666666667,450.14,463.44933333333336,450.0
12340,468.66333333333336,450.14,463.262,450.0
12490,468.41333333333336,450.14,463.082,450.0
12640,468.16333333333336,450.1373333333333,462.902,450.0
12790,467.91333333333336,450.13,462.722,450.0
12940,467.666,450.13,462.542,450.0
13090,467.426,450.13,462.36466666666666,450.0
13240,467.186,450.13,462.19466666666665,450.0
13390,466.94866666666667,450.13,462.0246666666666,450.0
13540,466.71866666666665,450.12733333333335,461.8573333333333,450.0
13690,466.4886666666667,450.12,461.69733333333335,450.0
13840,466.2586666666666,450.12,461.5373333333333,450.0
13990,466.0313333333333,450.12,461.37733333333335,450.0
14140,465.8113333333333,450.12,461.2173333333333,450.0
14290,465.594,450.12,461.06,450.0
