Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,119.824674565858,119.824674565858,119.824674565858,119.824674565858
200,119.82,125.97333333333334,120.53666666666666,126.15648362428668
350,119.82333333333332,126.99666666666668,120.97,127.11782156546342
500,119.83666666666666,128.65,121.34333333333332,128.8532889374845
650,119.86333333333332,132.90333333333334,122.06333333333332,133.186616566617
800,119.91,138.35333333333335,123.05333333333334,138.74446698743867
950,119.98333333333332,145.32,124.37666666666668,145.83881645097424
1100,120.09666666666666,151.66666666666666,125.90333333333334,152.2220431184085
1250,120.25666666666666,158.85666666666663,127.61,159.53409194509123
1400,120.48,169.43333333333334,129.81333333333333,170.305457225381
1550,120.78333333333332,176.08666666666667,132.00666666666666,176.88910365852948
1700,121.18333333333334,178.15666666666667,133.77666666666667,178.821273750861
1850,121.68333333333332,180.42,135.31333333333333,181.13455653300323
2000,122.3,189.84666666666664,137.46666666666667,190.8463952993
2150,123.02333333333334,199.23666666666665,140.02333333333334,200.34139362625783
2300,123.84333333333332,207.6266666666667,142.70666666666668,208.769830794273
2450,124.75333333333334,213.45666666666668,145.22,214.580942885083
2600,125.76,215.81,147.40666666666667,216.828164815934
2750,126.87333333333332,218.89,149.44,219.9929544193325
2900,128.08666666666667,229.8766666666667,152.11,231.387674427001
3050,129.39666666666668,242.41333333333333,155.54,243.9677324145565
3200,130.79666666666668,241.52,158.05333333333334,242.682083878426
3350,132.28666666666666,244.84333333333333,160.38,246.158938746306
3500,133.86,255.9,163.38333333333333,257.555182876348
3650,135.50333333333333,269.9033333333333,167.12,271.6753815500518
3800,137.22,273.37,170.35,274.8463366632123
3950,139.02,271.36,172.77666666666667,272.6349449416912
4100,140.91,274.65,175.14,276.180781701087
4250,142.89,284.45,178.32333333333332,286.1021553677828
4400,144.95,291.8066666666667,181.58333333333331,293.47437784870834
4550,147.05666666666667,302.23,185.19333333333333,303.983830325567
4700,149.19333333333333,305.11333333333334,188.44666666666663,306.540883493694
4850,151.38666666666666,305.88666666666666,191.10333333333327,307.377563413502
5000,153.64666666666668,318.65666666666664,194.71,320.53705739882133
5150,155.97,321.7933333333333,198.03,323.4416454051804
5300,158.36333333333334,325.7966666666667,201.0533333333333,327.6003905784525
5450,160.82,334.05333333333334,204.56666666666663,335.9312010984375
5600,163.32666666666665,340.22,208.05666666666667,342.08162459271296
5750,165.86,348.18333333333334,211.6833333333333,350.07141179534625
5900,168.4,351.3333333333333,215.05,353.01692213368653
6050,170.99333333333334,351.96666666666664,217.93666666666667,353.64392484704047
6200,173.63333333333333,359.90333333333336,221.28666666666663,361.81612319243885
6350,176.32999999999998,367.3266666666667,224.86,369.3151145061524
6500,179.07333333333332,377.87,228.79,380.0818267076975
6650,181.83,389.4166666666666,233.09666666666664,391.6840124281765
6800,184.57333333333327,394.5133333333333,236.98666666666668,396.5915156333064
6950,187.36,399.1233333333333,240.68,401.2132049937719
7100,190.2,406.98,244.55666666666667,409.2422309444255
7250,193.10333333333327,413.5466666666666,248.54333333333332,415.7426689485607
7400,196.07666666666665,407.6166666666667,251.53,409.3307412285714
7550,199.11333333333332,397.0633333333333,253.5,398.4372660099078
7700,202.2,386.64,254.8,387.8810667152625
7850,205.33333333333331,378.79333333333335,255.94333333333333,379.9227276777288
8000,208.48666666666668,372.1233333333333,256.96,373.1889114318834
8150,211.61,366.9666666666666,257.95666666666665,367.9915942287519
8300,214.67666666666665,361.1766666666667,258.8566666666667,362.0831542295195
8450,217.65666666666667,356.21666666666664,259.6566666666667,357.103536389536
8600,220.5233333333333,354.6433333333333,260.68,355.583235003159
8750,223.27666666666667,349.13666666666666,261.50333333333333,349.8752147696408
8900,225.85,339.03666666666663,261.72666666666663,339.5157181953055
9050,228.21666666666667,329.14666666666665,261.5466666666667,329.537334310781
9200,230.4833333333333,326.41333333333336,261.7,326.95750641041093
9350,232.65,323.6366666666667,262.01,324.1608380707021
9500,234.70666666666668,319.84333333333336,262.27333333333337,320.29760857205054
9650,236.64,313.49,262.24333333333334,313.81705399619403
9800,238.46,303.6666666666667,261.74333333333334,303.7726092603787
9950,240.15666666666667,294.56333333333333,260.9266666666667,294.6457321971102
10100,241.7333333333333,293.37666666666667,260.55,293.748785538112
10250,243.20666666666668,293.73,260.7033333333333,294.03717685900125
10400,244.56666666666663,280.64666666666665,259.82666666666665,280.45986165620394
10550,245.81333333333333,271.78,258.62333333333333,271.64504985741723
10700,246.9533333333333,270.64,257.94,270.7496273207925
10850,247.98,272.44,257.87333333333333,272.5781593278295
11000,248.9,263.7166666666667,257.1666666666667,263.4574477743235
11150,249.70333333333332,249.5133333333333,255.5133333333333,248.954389386136
