Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,295.0,295.0,295.0,295.0
170,295.0,335.15066666666667,299.22266666666667,336.1482576332934
320,295.0013333333333,343.8193333333333,301.74466666666666,344.7003137505677
470,295.01533333333333,350.536,303.932,351.41687142469203
620,295.06466666666665,355.46733333333333,305.94533333333334,356.2967376451618
770,295.18800000000005,359.496,307.77733333333333,360.323854262149
920,295.41266666666667,363.4626666666667,309.55066666666664,364.2952965360325
1070,295.746,366.97066666666666,311.266,367.79350689353447
1220,296.1806666666667,369.7506666666667,312.8806666666667,370.56795079068814
1370,296.72133333333335,372.5293333333333,314.45666666666665,373.34239468784193
1520,297.3446666666667,375.214,315.9986666666667,376.0297731355142
1670,298.064,377.344,317.4833333333333,378.1512261615569
1820,298.85200000000003,379.47133333333335,318.9306666666667,380.2726791875997
1970,299.7,381.5826666666667,320.3606666666667,382.3941322136425
2120,300.60533333333336,383.67333333333335,321.78000000000003,384.48119868051424
2270,301.5506666666667,385.5453333333333,323.12466666666666,386.3218281399938
2420,302.536,387.2353333333333,324.43466666666666,388.0134491763991
2570,303.5586666666667,388.9253333333333,325.74333333333334,389.7050702128044
2720,304.6013333333333,390.6153333333333,327.0433333333333,391.3966912492096
2870,305.6653333333333,392.276,328.342,393.0589596634788
3020,306.75666666666666,393.7393333333333,329.6293333333333,394.52309787833
3170,307.8593333333333,395.1593333333333,330.89933333333335,395.9395380822102
3320,308.98066666666665,396.578,332.168,397.3559782860904
3470,310.112,397.9893333333333,333.428,398.7724184899706
3620,311.2546666666667,399.384,334.6853333333333,400.1639749079478
3770,312.4146666666667,400.6153333333333,335.9253333333333,401.3937867175566
3920,313.576,401.854,337.164,402.6235985271654
4070,314.7473333333333,403.084,338.3926666666667,403.8534103367741
4220,315.92866666666663,404.31,339.61266666666666,405.0795892506488
4370,317.1173333333333,405.4966666666666,340.83133333333336,406.267622759315
4520,318.3,406.5966666666666,342.04,407.3612009788936
4670,319.5,407.6953333333333,343.24,408.4547791984721
4820,320.69866666666667,408.7866666666666,344.4386666666666,409.5483574180506
4970,321.89133333333336,409.88,345.6273333333333,410.6363608829257
5120,323.1,410.922,346.8073333333333,411.679766310173
5270,324.3,411.9133333333333,347.986,412.6688178790616
5420,325.5,412.912,349.1546666666667,413.6578694479501
5570,326.70133333333337,413.902,350.3146666666667,414.6469210168386
5720,327.91,414.8853333333333,351.47333333333336,415.6293210052892
5870,329.11,415.8213333333333,352.622,416.5640513339338
6020,330.31,416.7313333333333,353.7606666666667,417.469958147347
6170,331.51000000000005,417.6413333333333,354.8906666666667,418.37586496076017
6320,332.70866666666666,418.5513333333333,356.02066666666667,419.2817717741733
6470,333.89866666666666,419.4533333333333,357.14933333333335,420.18042832806833
6620,335.08866666666665,420.3033333333333,358.26666666666665,421.0301456302163
6770,336.27866666666665,421.152,359.368,421.8680812606473
6920,337.46733333333333,421.992,360.4753333333333,422.7060168910783
7070,338.64733333333334,422.8320000000001,361.56666666666666,423.5439525215093
7220,339.82733333333334,423.664,362.664,424.374318380659
7370,341.00600000000003,424.4453333333333,363.744,425.15548072648016
7520,342.176,425.234,364.8226666666667,425.9366430723013
7670,343.33933333333334,426.018,365.88866666666667,426.7178054181224
7820,344.45533333333333,426.8226666666667,366.926,427.49768113053614
7970,345.5466666666666,427.58866666666665,367.94466666666665,428.2640471921723
8120,346.644,428.32866666666666,368.9533333333333,428.99696078521663
8270,347.7253333333333,429.06733333333335,369.9533333333333,429.729874378261
8420,348.814,429.7986666666666,370.952,430.4627879713053
8570,349.894,430.536,371.9406666666667,431.1934832469607
8720,350.97266666666667,431.252,372.9206666666667,431.9064319835046
8870,352.04266666666666,431.9433333333333,373.89933333333335,432.5977521255064
9020,353.11133333333333,432.642,374.8693333333333,433.2890722675081
9170,354.1713333333333,433.3333333333333,375.838,433.98039240951
9320,355.2313333333333,434.0293333333333,376.798,434.6688095460386
9470,356.29,434.698,377.75666666666666,435.3364218100101
9620,357.33866666666665,435.358,378.70666666666665,435.9914543835981
9770,358.38,436.01666666666665,379.6553333333333,436.6464869571861
9920,359.42733333333337,436.668,380.594,437.3015195307742
10070,360.45866666666666,437.3253333333333,381.524,437.95314067296994
