Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
160,200.0,206.37,201.152,206.37244444444443
310,200.0,209.37,201.9353333333333,209.37577777777776
460,200.0013333333333,212.31,202.76,212.31829629629632
610,200.022,214.37866666666667,203.50466666666668,214.379
760,200.0533333333333,216.00866666666667,204.174,216.014
910,200.106,217.63066666666663,204.8333333333333,217.6406
1060,200.19866666666667,219.124,205.48066666666668,219.1328
1210,200.33,220.384,206.09066666666664,220.3898
1360,200.48266666666663,221.64333333333332,206.70066666666668,221.6468
1510,200.674,222.88066666666663,207.3093333333333,222.8906
1660,200.88666666666668,223.94066666666663,207.89866666666668,223.9496
1810,201.13733333333332,225.00066666666663,208.47866666666667,225.0086
1960,201.3993333333333,226.0533333333333,209.05866666666668,226.06006666666667
2110,201.69066666666663,226.9993333333333,209.6373333333333,227.0023
2260,202.002,227.88933333333333,210.19666666666663,227.8918
2410,202.33333333333331,228.7793333333333,210.748,228.7813
2560,202.684,229.66866666666667,211.31733333333327,229.6708
2710,203.04466666666667,230.54933333333332,211.878,230.5603
2860,203.416,231.4393333333333,212.448,231.4498
3010,203.80666666666667,232.32,213.0173333333333,232.3299
3160,204.2073333333333,233.07,213.57666666666665,233.0784
3310,204.618,233.82,214.1266666666667,233.8269
3460,205.03866666666667,234.57,214.67666666666665,234.5754
3610,205.4693333333333,235.32,215.2273333333333,235.3239
3760,205.9093333333333,236.06933333333333,215.7873333333333,236.0724
3910,206.35,236.808,216.34733333333327,236.8189333333333
4060,206.80066666666667,237.524,216.906,237.534
4210,207.2613333333333,238.184,217.44666666666663,238.194
4360,207.7313333333333,238.844,217.99666666666667,238.854
4510,208.202,239.504,218.546,239.514
4660,208.682,240.164,219.08666666666667,240.174
4810,209.162,240.824,219.63666666666663,240.834
4960,209.64266666666668,241.4813333333333,220.18666666666667,241.49113333333327
5110,210.13333333333333,242.1,220.736,242.1067
5260,210.6326666666667,242.69933333333333,221.276,242.7022
5410,211.1233333333333,243.29,221.816,243.2977
5560,211.624,243.88933333333333,222.356,243.8932
5710,212.13333333333333,244.48,222.896,244.4887
5860,212.634,245.07933333333327,223.43533333333332,245.0842
6010,213.14333333333332,245.664,223.964,245.6736
6160,213.64333333333332,246.1733333333333,224.474,246.1776
6310,214.144,246.674,224.9833333333333,246.6816
6460,214.6533333333333,247.1833333333333,225.484,247.1856
6610,215.1533333333333,247.6833333333333,225.994,247.6896
6760,215.654,248.184,226.50333333333333,248.1936
6910,216.16333333333333,248.69866666666667,227.00466666666668,248.70306666666664
7060,216.664,249.29,227.52666666666667,249.3
7210,217.174,249.85333333333332,228.04666666666665,249.863
7360,217.6833333333333,247.81066666666663,228.13933333333333,247.81573333333333
7510,218.184,245.87466666666663,228.12466666666663,245.8806
7660,218.69333333333333,243.99466666666663,228.04066666666668,243.9996
7810,219.19333333333333,242.11466666666664,227.8973333333333,242.1186
7960,219.692,240.23466666666667,227.70533333333333,240.2376
8110,220.17066666666665,238.35466666666665,227.482,238.3566
8260,220.6293333333333,236.47466666666665,227.21,236.4756
8410,221.06733333333327,234.614,226.91133333333332,234.6139
8560,221.4753333333333,233.024,226.63,233.0224
8710,221.85333333333332,231.434,226.328,231.4309
8860,222.2013333333333,229.844,225.99733333333333,229.8394
9010,222.5193333333333,228.25333333333336,225.656,228.2479
9160,222.80666666666667,226.654,225.294,226.6564
9310,223.05466666666663,225.07066666666665,224.904,225.0713333333333
9460,223.27266666666665,223.59333333333333,224.51533333333333,223.5892
9610,223.46066666666667,222.2933333333333,224.14466666666667,222.2872
9760,223.61866666666668,220.99266666666668,223.764,220.9852
9910,223.746,219.6833333333333,223.37266666666667,219.6832
10060,223.8346666666667,218.38333333333333,222.962,218.3812
10210,223.9033333333333,217.0833333333333,222.5413333333333,217.0792
10360,223.95066666666665,215.796,222.112,215.79006666666663
10510,223.96,214.69266666666667,221.69333333333333,214.6875
10660,223.958,213.682,221.2933333333333,213.675
10810,223.926,212.66266666666667,220.892,212.6625
10960,223.86466666666664,211.65266666666668,220.472,211.65
11110,223.784,210.64266666666668,220.05133333333333,210.6375
11260,223.692,209.6326666666667,219.62133333333333,209.625
11410,223.5713333333333,208.6413333333333,219.19333333333333,208.6318
11560,223.44,207.912,218.794,207.9088
11710,223.28866666666667,207.192,218.4033333333333,207.1858
11860,223.118,206.47133333333332,218.004,206.4628
12010,222.93666666666667,205.742,217.6133333333333,205.7398
12160,222.736,205.022,217.2133333333333,205.0168
12310,222.5253333333333,204.30666666666667,216.81333333333333,204.2986
12460,222.304,203.666,216.4153333333333,203.6572
12610,222.064,203.156,216.04533333333333,203.1502
12760,221.82333333333327,202.64666666666668,215.676,202.6432
12910,221.572,202.156,215.31733333333327,202.146
13060,221.302,201.796,214.9773333333333,201.786
13210,221.032,201.436,214.638,201.426
13360,220.76066666666668,201.082,214.3093333333333,201.07226666666668
13510,220.47133333333332,200.8153333333333,214.0,200.8094
13660,220.19,200.59533333333331,213.7,200.5904
13810,219.89066666666668,200.37866666666665,213.40133333333333,200.3744888888889
13960,219.6,200.21466666666663,213.12266666666665,200.208
14110,219.3,200.13466666666665,212.8633333333333,200.128
14260,219.0,200.056,212.614,200.04977777777776
