Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,212.0,212.0,212.0,212.0
150.0,212.0,212.0,212.0,212.0
300.0,212.0,212.0,212.0,212.0
450.0,212.0,212.0,212.0,212.0
600.0,212.0,212.0,212.0,212.0
750.0,212.0,212.0,212.0,212.0
900.0,212.0,212.0,212.0,212.0
1050.0,212.0,212.0,212.0,212.0
1200.0,212.0,212.0,212.0,212.0
1350.0,212.0,212.0,212.0,212.0
1500.0,212.0,213.42,212.23,213.41666666666666
1650.0,212.0,214.83,212.54,214.83333333333334
1800.0,212.0,216.25,212.89,216.25
1950.0,212.0,217.66,213.28,217.66666666666666
2100.0,212.01,219.08,213.69,219.08333333333334
2250.0,212.03,220.5,214.13,220.5
2400.0,212.05,221.91,214.59,221.91666666666666
2550.0,212.1,223.33,215.07,223.33333333333334
2700.0,212.15,224.75,215.58,224.75
2850.0,212.23,226.16,216.1,226.16666666666666
3000.0,212.33,227.58,216.64,227.58333333333334
3150.0,212.44,228.99,217.19,229.0
3300.0,212.58,230.41,217.76,230.41666666666666
3450.0,212.73,231.83,218.35,231.83333333333334
3600.0,212.91,233.24,218.95,233.25
3750.0,213.11,234.66,219.57,234.66666666666666
3900.0,213.33,236.08,220.2,236.08333333333334
4050.0,213.57,237.49,220.84,237.5
4200.0,213.83,238.91,221.5,238.91666666666666
4350.0,214.11,240.33,222.17,240.33333333333334
4500.0,214.41,241.74,222.86,241.75
4650.0,214.72,243.16,223.56,243.16666666666666
4800.0,215.06,244.57,224.27,244.58333333333334
4950.0,215.42,245.99,224.99,246.0
5100.0,215.79,247.41,225.73,247.41666666666666
5250.0,216.19,248.82,226.47,248.83333333333334
5400.0,216.6,250.24,227.23,250.25
5550.0,217.03,251.66,228.0,251.66666666666666
5700.0,217.47,253.07,228.79,253.08333333333334
5850.0,217.94,254.49,229.58,254.5
6000.0,218.42,255.91,230.38,255.91666666666666
6150.0,218.91,257.32,231.2,257.3333333333333
6300.0,219.42,258.74,232.0,258.75
6450.0,219.95,260.16,232.81,260.1666666666667
6600.0,220.48,261.57,233.64,261.5833333333333
6750.0,221.03,262.99,234.48,263.0
6900.0,221.6,264.41,235.33,264.4166666666667
7050.0,222.17,265.82,236.19,265.8333333333333
7200.0,222.77,267.24,237.07,267.25
7350.0,223.37,268.65,237.95,268.6666666666667
7500.0,223.99,270.07,238.84,270.0833333333333
7650.0,224.62,271.49,239.74,271.5
7800.0,225.26,272.9,240.65,272.9166666666667
7950.0,225.92,274.32,241.56,274.3333333333333
8100.0,226.59,275.74,242.49,275.75
8250.0,227.27,277.15,243.42,277.1666666666667
8400.0,227.96,278.57,244.37,278.5833333333333
8550.0,228.67,279.99,245.32,280.0
8700.0,229.39,281.4,246.28,281.4166666666667
8850.0,230.12,282.82,247.24,282.8333333333333
9000.0,230.87,284.24,248.22,284.25
9150.0,231.62,285.65,249.2,285.6666666666667
9300.0,232.39,287.07,250.19,287.0833333333333
9450.0,233.16,288.49,251.19,288.5
9600.0,233.95,289.9,252.19,289.9166666666667
9750.0,234.75,291.32,253.2,291.3333333333333
9900.0,235.56,292.74,254.22,292.75
10050.0,236.38,294.15,255.25,294.1666666666667
10200.0,237.21,295.57,256.28,295.5833333333333
10350.0,238.05,296.99,257.32,297.0
10500.0,238.9,298.4,258.36,298.4166666666667
10650.0,239.76,299.82,259.42,299.8333333333333
10800.0,240.63,301.23,260.47,301.25
10950.0,241.51,302.65,261.54,302.6666666666667
11100.0,242.37,304.07,262.57,304.0833333333333
11250.0,243.24,305.48,263.61,305.5
11400.0,244.12,306.9,264.65,306.9166666666667
11550.0,245.0,308.32,265.71,308.3333333333333
11700.0,245.89,309.73,266.78,309.75
11850.0,246.79,311.15,267.85,311.1666666666667
12000.0,247.7,312.57,268.92,312.5833333333333
12150.0,248.61,313.98,270.0,314.0
12300.0,249.53,315.4,271.09,315.4166666666667
12450.0,250.46,316.82,272.19,316.8333333333333
12600.0,251.4,318.23,273.29,318.25
12750.0,252.34,319.65,274.39,319.6666666666667
12900.0,253.3,321.07,275.5,321.0833333333333
13050.0,254.25,322.48,276.62,322.5
13200.0,255.22,323.9,277.74,323.9166666666667
13350.0,256.2,325.32,278.86,325.3333333333333
13500.0,257.18,326.73,279.99,326.75
13650.0,258.16,328.15,281.13,328.1666666666667
13800.0,259.16,329.57,282.27,329.5833333333333
13950.0,260.16,330.98,283.41,331.0
14100.0,261.17,332.4,284.56,332.4166666666667
14250.0,262.19,333.82,285.72,333.8333333333333
14400.0,263.21,335.23,286.87,335.25
14550.0,264.24,336.65,288.04,336.6666666666667
14700.0,265.27,338.07,289.2,338.0833333333333
14850.0,266.32,339.48,290.37,339.5
15000.0,267.36,340.9,291.55,340.91666666666663
15150.0,268.42,342.32,292.72,342.33333333333337
15300.0,269.48,343.73,293.91,343.75
15450.0,270.54,345.15,295.09,345.16666666666663
15600.0,271.61,346.57,296.28,346.58333333333337
15750.0,272.69,347.98,297.48,348.0
