Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,167.0,167.0,167.0,167.0
150.0,167.0,167.0,167.0,167.0
300.0,167.0,167.0,167.0,167.0
450.0,167.0,167.0,167.0,167.0
600.0,167.0,167.0,167.0,167.0
750.0,167.0,167.0,167.0,167.0
900.0,167.0,167.0,167.0,167.0
1050.0,167.0,167.0,167.0,167.0
1200.0,167.0,167.0,167.0,167.0
1350.0,167.0,167.0,167.0,167.0
1500.0,167.0,169.08,167.35,169.55208333333334
1650.0,167.0,171.16,167.8,172.10416666666666
1800.0,167.0,173.25,168.33,174.65625
1950.0,167.0,175.33,168.91,177.20833333333334
2100.0,167.02,177.41,169.53,179.76041666666666
2250.0,167.05,179.49,170.19,182.3125
2400.0,167.1,181.58,170.88,184.86458333333334
2550.0,167.17,183.66,171.61,187.41666666666666
2700.0,167.27,185.74,172.36,189.96875
2850.0,167.4,187.83,173.15,192.52083333333334
3000.0,167.56,189.91,173.96,195.07291666666666
3150.0,167.76,191.99,174.79,197.625
3300.0,167.98,194.07,175.65,200.17708333333331
3450.0,168.24,196.16,176.54,202.72916666666666
3600.0,168.54,198.24,177.44,205.28125
3750.0,168.86,200.32,178.37,207.83333333333331
3900.0,169.22,202.41,179.33,210.38541666666666
4050.0,169.61,204.49,180.3,212.9375
4200.0,170.03,206.57,181.3,215.48958333333331
4350.0,170.48,208.66,182.31,218.04166666666666
4500.0,170.97,210.74,183.35,220.59375
4650.0,171.48,212.82,184.39,223.14583333333331
4800.0,172.01,214.9,185.44,225.69791666666666
4950.0,172.58,216.99,186.5,228.25
5100.0,173.17,219.07,187.59,230.80208333333331
5250.0,173.79,221.15,188.7,233.35416666666666
5400.0,174.43,223.24,189.83,235.90625
5550.0,175.09,225.32,190.98,238.45833333333331
5700.0,175.78,227.4,192.15,241.01041666666666
5850.0,176.5,229.49,193.33,243.5625
6000.0,177.24,231.57,194.53,246.11458333333331
6150.0,178.0,233.65,195.75,248.66666666666666
6300.0,178.79,235.73,196.98,251.21875
6450.0,179.6,237.82,198.23,253.77083333333331
6600.0,180.43,239.9,199.49,256.32291666666663
6750.0,181.29,241.98,200.77,258.875
6900.0,182.17,244.07,202.06,261.4270833333333
7050.0,183.07,246.15,203.37,263.97916666666663
7200.0,184.0,248.23,204.69,266.53125
7350.0,184.94,250.32,206.03,269.0833333333333
7500.0,185.91,252.4,207.38,271.63541666666663
7650.0,186.89,254.48,208.74,274.1875
7800.0,187.9,256.56,210.12,276.7395833333333
7950.0,188.91,258.65,211.48,279.29166666666663
8100.0,189.92,260.73,212.83,281.84375
8250.0,190.95,262.81,214.2,284.3958333333333
8400.0,192.0,264.9,215.58,286.94791666666663
8550.0,193.06,266.98,216.98,289.5
8700.0,194.13,269.06,218.39,292.0520833333333
8850.0,195.23,271.15,219.82,294.60416666666663
9000.0,196.33,273.23,221.25,297.15625
9150.0,197.46,275.31,222.7,299.7083333333333
9300.0,198.6,277.4,224.16,302.26041666666663
9450.0,199.75,279.48,225.63,304.8125
9600.0,200.92,281.56,227.12,307.3645833333333
9750.0,202.11,283.65,228.61,309.91666666666663
9900.0,203.31,285.73,230.11,312.46875
10050.0,204.53,287.81,231.63,315.0208333333333
10200.0,205.76,289.9,233.15,317.57291666666663
10350.0,207.01,291.98,234.68,320.125
10500.0,208.27,294.06,236.23,322.6770833333333
10650.0,209.55,296.14,237.78,325.22916666666663
10800.0,210.84,298.23,239.34,327.78125
10950.0,212.15,300.31,240.92,330.3333333333333
11100.0,213.47,302.39,242.5,332.88541666666663
11250.0,214.77,304.48,244.04,335.4375
11400.0,216.06,306.56,245.58,337.9895833333333
11550.0,217.37,308.64,247.13,340.54166666666663
11700.0,218.69,310.73,248.7,343.09375
11850.0,220.02,312.81,250.27,345.6458333333333
12000.0,221.35,314.89,251.86,348.19791666666663
12150.0,222.7,316.98,253.45,350.75
12300.0,224.06,319.06,255.05,353.3020833333333
12450.0,225.44,321.14,256.66,355.85416666666663
12600.0,226.82,323.23,258.28,358.40625
12750.0,228.21,325.31,259.91,360.9583333333333
12900.0,229.62,327.39,261.55,363.51041666666663
13050.0,231.03,329.48,263.19,366.0625
13200.0,232.46,331.56,264.84,368.6145833333333
13350.0,233.9,333.64,266.5,371.16666666666663
13500.0,235.35,335.73,268.16,373.71875
13650.0,236.81,337.81,269.83,376.2708333333333
13800.0,238.28,339.89,271.51,378.82291666666663
13950.0,239.76,341.97,273.2,381.375
14100.0,241.25,344.06,274.89,383.9270833333333
14250.0,242.75,346.14,276.59,386.47916666666663
14400.0,244.26,348.22,278.3,389.03125
14550.0,245.73,350.31,279.95,391.5833333333333
14700.0,247.2,352.39,281.6,394.13541666666663
14850.0,248.68,354.47,283.27,396.6875
15000.0,250.17,356.56,284.94,399.2395833333333
15150.0,251.66,358.64,286.62,401.79166666666663
15300.0,253.16,360.72,288.31,404.34375
15450.0,254.67,362.81,290.01,406.8958333333333
15600.0,256.18,364.89,291.71,409.44791666666663
15750.0,257.71,366.97,293.42,412.0
