Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,400.0,400.0,400.0,400.0
150.0,400.0,400.0,400.0,400.0
300.0,400.0,400.0,400.0,400.0
450.0,400.0,400.0,400.0,400.0
600.0,400.0,400.0,400.0,400.0
750.0,400.0,400.0,400.0,400.0
900.0,400.0,400.0,400.0,400.0
1050.0,400.0,400.0,400.0,400.0
1200.0,400.0,400.0,400.0,400.0
1350.0,400.0,400.0,400.0,400.0
1500.0,400.0,396.36,399.42,396.3541666666667
1650.0,400.0,392.71,398.68,392.7083333333333
1800.0,400.0,389.07,397.83,389.0625
1950.0,400.0,385.42,396.9,385.4166666666667
2100.0,399.99,381.78,395.91,381.7708333333333
2250.0,399.98,378.13,394.85,378.125
2400.0,399.94,374.49,393.74,374.4791666666667
2550.0,399.89,370.84,392.59,370.8333333333333
2700.0,399.81,367.2,391.39,367.1875
2850.0,399.71,363.55,390.14,363.5416666666667
3000.0,399.56,359.91,388.86,359.8958333333333
3150.0,399.39,356.26,387.54,356.25
3300.0,399.17,352.62,386.16,352.6041666666667
3450.0,398.92,348.97,384.74,348.9583333333333
3600.0,398.62,345.33,383.29,345.3125
3750.0,398.28,341.68,381.81,341.6666666666667
3900.0,397.9,338.04,380.29,338.0208333333333
4050.0,397.47,334.39,378.75,334.375
4200.0,397.0,330.75,377.18,330.7291666666667
4350.0,396.48,327.1,375.58,327.0833333333333
4500.0,395.93,323.46,373.95,323.4375
4650.0,395.32,319.81,372.29,319.7916666666667
4800.0,394.68,316.17,370.6,316.1458333333333
4950.0,393.99,312.52,368.88,312.5
5100.0,393.26,308.88,367.13,308.8541666666667
5250.0,392.49,305.23,365.3,305.2083333333333
5400.0,391.67,301.59,363.46,301.5625
5550.0,390.81,297.94,361.59,297.9166666666667
5700.0,389.9,294.3,359.71,294.2708333333333
5850.0,388.95,290.65,357.8,290.625
6000.0,387.97,287.0,355.86,286.9791666666667
6150.0,386.94,283.36,353.91,283.3333333333333
6300.0,385.87,279.71,351.92,279.6875
6450.0,384.76,276.07,349.92,276.0416666666667
6600.0,383.61,272.42,347.89,272.3958333333333
6750.0,382.42,268.78,345.84,268.75
6900.0,381.2,265.13,343.77,265.10416666666663
7050.0,379.93,261.49,341.6,261.45833333333337
7200.0,378.61,257.84,339.42,257.8125
7350.0,377.26,254.2,337.22,254.16666666666666
7500.0,375.86,250.55,335.01,250.52083333333334
7650.0,374.43,246.91,332.77,246.875
7800.0,372.96,243.26,330.52,243.22916666666666
7950.0,371.46,239.62,328.25,239.58333333333334
8100.0,369.92,235.97,325.95,235.9375
8250.0,368.35,232.32,323.64,232.29166666666666
8400.0,366.74,228.68,321.31,228.64583333333334
8550.0,365.1,225.03,318.96,225.0
8700.0,363.44,225.03,317.18,225.0
8850.0,361.74,225.03,315.57,225.0
9000.0,360.01,225.03,314.04,225.0
9150.0,358.25,225.03,312.57,225.0
9300.0,356.47,225.03,311.16,225.0
9450.0,354.68,225.03,309.79,225.0
9600.0,352.88,225.03,308.46,225.0
9750.0,351.07,225.03,307.16,225.0
9900.0,349.27,225.03,305.89,225.0
10050.0,347.47,225.03,304.65,225.0
10200.0,345.69,225.02,303.43,225.0
10350.0,343.92,225.02,302.24,225.0
10500.0,342.09,225.02,301.01,225.0
10650.0,340.27,225.02,299.8,225.0
10800.0,338.48,225.02,298.61,225.0
10950.0,336.7,225.02,297.44,225.0
11100.0,334.95,225.02,296.29,225.0
11250.0,333.22,225.02,295.16,225.0
11400.0,331.52,225.02,294.04,225.0
11550.0,329.84,225.02,292.95,225.0
11700.0,328.19,225.02,291.87,225.0
11850.0,326.56,225.02,290.82,225.0
12000.0,324.96,225.02,289.77,225.0
12150.0,323.38,225.02,288.75,225.0
12300.0,321.83,225.02,287.74,225.0
12450.0,320.3,225.02,286.75,225.0
12600.0,318.79,225.02,285.77,225.0
12750.0,317.31,225.02,284.81,225.0
12900.0,315.85,225.02,283.86,225.0
13050.0,314.42,225.02,282.93,225.0
13200.0,313.01,225.02,282.02,225.0
13350.0,311.61,225.02,281.12,225.0
13500.0,310.25,225.02,280.23,225.0
13650.0,308.9,225.02,279.36,225.0
13800.0,307.57,225.02,278.5,225.0
13950.0,306.27,225.02,277.65,225.0
14100.0,304.98,225.02,276.82,225.0
14250.0,303.72,225.02,276.0,225.0
14400.0,302.47,225.02,275.19,225.0
14550.0,301.25,225.02,274.4,225.0
14700.0,300.04,225.02,273.62,225.0
14850.0,298.86,225.02,272.85,225.0
15000.0,297.65,225.02,272.09,225.0
15150.0,296.43,225.02,271.34,225.0
15300.0,295.25,225.01,270.59,225.0
15450.0,294.08,225.01,269.85,225.0
15600.0,292.94,225.01,269.12,225.0
15750.0,291.81,225.01,268.4,225.0
