Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,150.7,150.7,150.7,150.7
150.0,150.7,150.7,150.7,150.7
300.0,150.7,150.7,150.7,150.7
450.0,150.7,150.7,150.7,150.7
600.0,150.7,150.7,150.7,150.7
750.0,150.7,150.7,150.7,150.7
900.0,150.7,150.7,150.7,150.7
1050.0,150.7,150.7,150.7,150.7
1200.0,150.7,150.7,150.7,150.7
1350.0,150.7,150.7,150.7,150.7
1500.0,150.7,150.82,150.71,150.825
1650.0,150.7,150.94,150.73,150.95
1800.0,150.7,151.07,150.75,151.075
1950.0,150.7,151.19,150.78,151.20000000000002
2100.0,150.7,151.33,150.8,151.34166666666667
2250.0,150.7,151.54,150.84,151.55
2400.0,150.71,151.74,150.89,151.75833333333335
2550.0,150.71,151.98,150.94,152.0
2700.0,150.72,152.23,151.0,152.25
2850.0,150.73,152.53,151.07,152.55
3000.0,150.74,152.9,151.16,152.925
3150.0,150.75,153.27,151.25,153.3
3300.0,150.77,153.72,151.36,153.75833333333335
3450.0,150.79,154.18,151.48,154.21666666666667
3600.0,150.81,154.75,151.62,154.8
3750.0,150.85,155.41,151.78,155.46666666666667
3900.0,150.88,156.1,151.96,156.16666666666666
4050.0,150.92,156.93,152.17,157.0
4200.0,150.97,157.75,152.4,157.83333333333334
4350.0,151.03,158.81,152.66,158.9
4500.0,151.1,159.92,152.96,160.02499999999998
4650.0,151.17,161.16,153.29,161.28333333333333
4800.0,151.26,162.61,153.67,162.74166666666665
4950.0,151.36,164.06,154.08,164.2
5100.0,151.48,166.03,154.57,166.2
5250.0,151.61,168.01,155.11,168.2
5400.0,151.76,170.28,155.71,170.5
5550.0,151.92,172.76,156.39,173.0
5700.0,152.11,175.37,157.13,175.64166666666665
5850.0,152.33,178.55,157.98,178.85
6000.0,152.57,181.73,158.91,182.05833333333334
6150.0,152.85,185.63,159.95,186.0
6300.0,153.16,189.72,161.11,190.125
6450.0,153.51,194.16,162.38,194.61666666666667
6600.0,153.9,199.16,163.76,199.65833333333333
6750.0,154.33,204.16,165.25,204.7
6900.0,154.82,210.22,166.92,210.825
7050.0,155.36,216.3,168.74,216.95
7200.0,155.95,223.0,170.71,223.725
7350.0,156.62,230.15,172.86,230.93333333333334
7500.0,157.35,237.48,175.17,238.33333333333331
7650.0,158.16,245.6,177.61,246.5
7800.0,159.04,253.71,180.19,254.66666666666669
7950.0,160.01,262.4,182.96,263.43333333333334
8100.0,161.07,271.25,185.9,272.35
8250.0,162.23,280.25,189.0,281.41666666666663
8400.0,163.48,289.51,192.19,290.7083333333333
8550.0,164.83,298.74,195.48,300.0
8700.0,166.29,307.97,198.9,309.2916666666667
8850.0,167.85,317.21,202.45,318.58333333333337
9000.0,169.53,326.23,206.1,327.65
9150.0,171.3,335.14,209.74,336.56666666666666
9300.0,173.18,343.86,213.44,345.3333333333333
9450.0,175.16,352.0,217.17,353.5
9600.0,177.26,360.12,220.97,361.6666666666667
9750.0,179.46,367.51,224.79,369.06666666666666
9900.0,181.77,374.69,228.61,376.27500000000003
10050.0,184.13,381.51,232.28,383.05
10200.0,186.58,387.62,235.93,389.175
10350.0,189.12,393.72,239.6,395.3
10500.0,191.74,398.78,243.22,400.34166666666664
10650.0,194.44,403.81,246.8,405.3833333333333
10800.0,197.21,408.32,250.35,409.875
10950.0,200.05,412.44,253.84,414.0
11100.0,202.95,416.4,257.3,417.94166666666666
11250.0,205.9,419.62,260.67,421.15
11400.0,208.8,422.88,263.86,424.35833333333335
11550.0,211.73,425.57,266.97,427.03333333333336
11700.0,214.68,428.13,270.03,429.57500000000005
11850.0,217.66,430.45,273.05,431.8833333333333
12000.0,220.66,432.42,276.0,433.8416666666667
12150.0,223.67,434.39,278.91,435.8
12300.0,226.69,435.88,281.75,437.2583333333333
12450.0,229.72,437.35,284.54,438.7166666666667
12600.0,232.74,438.63,287.28,439.975
12750.0,235.77,439.77,289.96,441.1
12900.0,238.79,440.86,292.59,442.1666666666667
13050.0,241.79,441.71,295.17,443.0
13200.0,244.79,442.56,297.71,443.8333333333333
13350.0,247.77,443.28,300.2,444.53333333333336
13500.0,250.73,443.96,302.64,445.20000000000005
13650.0,253.53,444.58,305.01,445.78333333333336
13800.0,256.29,445.06,307.29,446.2416666666667
13950.0,259.03,445.53,309.52,446.7
14100.0,261.75,445.93,311.71,447.075
14250.0,264.44,446.32,313.86,447.45000000000005
14400.0,267.11,446.64,315.96,447.75
14550.0,269.76,446.9,318.03,448.0
14700.0,272.38,447.18,320.07,448.26666666666665
14850.0,274.97,447.53,322.08,448.6
15000.0,277.53,447.88,324.06,448.93333333333334
15150.0,280.07,448.06,326.01,449.1
15300.0,282.57,448.2,327.91,449.225
15450.0,285.05,448.33,329.79,449.33333333333337
15600.0,287.5,448.43,331.63,449.4166666666667
15750.0,289.91,448.53,333.44,449.5
