Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,110.0,110.0,110.0,110.0
150.0,110.0,110.0,110.0,110.0
300.0,110.0,110.0,110.0,110.0
450.0,110.0,110.0,110.0,110.0
600.0,110.0,110.0,110.0,110.0
750.0,110.0,110.0,110.0,110.0
900.0,110.0,110.0,110.0,110.0
1050.0,110.0,110.0,110.0,110.0
1200.0,110.0,110.0,110.0,110.0
1350.0,110.0,110.0,110.0,110.0
1500.0,110.0,125.33,112.54,125.33333333333334
1650.0,110.0,133.53,114.81,133.53333333333333
1800.0,110.01,138.8,116.66,138.8
1950.0,110.06,143.3,118.36,143.3
2100.0,110.19,147.59,120.05,147.59166666666667
2250.0,110.41,151.05,121.62,151.05
2400.0,110.72,154.51,123.18,154.50833333333333
2550.0,111.13,157.53,124.66,157.53333333333333
2700.0,111.62,160.45,126.12,160.45
2850.0,112.2,163.22,127.57,163.21666666666667
3000.0,112.84,165.76,128.99,165.75833333333333
3150.0,113.55,168.3,130.42,168.3
3300.0,114.32,170.63,131.82,170.63333333333335
3450.0,115.13,172.97,133.23,172.96666666666667
3600.0,116.0,175.18,134.63,175.175
3750.0,116.9,177.3,136.02,177.3
3900.0,117.84,179.4,137.41,179.4
4050.0,118.82,181.4,138.79,181.4
4200.0,119.83,183.4,140.18,183.4
4350.0,120.87,185.3,141.56,185.3
4500.0,121.93,187.18,142.94,187.175
4650.0,123.02,189.0,144.31,189.0
4800.0,124.13,190.75,145.68,190.75
4950.0,125.26,192.5,147.05,192.5
5100.0,126.41,194.17,148.41,194.16666666666666
5250.0,127.57,195.83,149.77,195.83333333333334
5400.0,128.75,197.48,151.13,197.475
5550.0,129.94,199.1,152.49,199.1
5700.0,131.15,200.71,153.84,200.70833333333334
5850.0,132.32,202.25,155.13,202.25
6000.0,133.5,203.79,156.42,203.79166666666666
6150.0,134.68,205.27,157.71,205.26666666666665
6300.0,135.88,206.73,159.0,206.725
6450.0,137.07,208.17,160.29,208.16666666666666
6600.0,138.28,209.58,161.57,209.58333333333334
6750.0,139.49,211.0,162.86,211.0
6900.0,140.7,212.42,164.15,212.41666666666666
7050.0,141.92,213.83,165.44,213.83333333333334
7200.0,143.14,215.2,166.72,215.2
7350.0,144.37,216.53,168.0,216.53333333333333
7500.0,145.61,217.86,169.28,217.85833333333332
7650.0,146.84,219.15,170.55,219.14999999999998
7800.0,148.08,220.44,171.82,220.44166666666666
7950.0,149.32,221.7,173.08,221.7
8100.0,150.57,222.95,174.34,222.95
8250.0,151.82,224.2,175.59,224.2
8400.0,153.07,225.45,176.85,225.45
8550.0,154.32,226.7,178.1,226.7
8700.0,155.57,227.91,179.35,227.90833333333333
8850.0,156.82,229.12,180.6,229.11666666666667
9000.0,158.07,230.3,181.84,230.3
9150.0,159.33,231.47,183.07,231.46666666666667
9300.0,160.58,232.63,184.3,232.625
9450.0,161.83,233.75,185.52,233.75
9600.0,163.09,234.88,186.74,234.875
9750.0,164.34,236.0,187.95,236.0
9900.0,165.59,237.13,189.17,237.125
10050.0,166.84,238.23,190.38,238.23333333333335
10200.0,168.08,239.32,191.58,239.31666666666666
10350.0,169.33,240.4,192.77,240.4
10500.0,170.57,241.48,193.97,241.48333333333335
10650.0,171.82,242.57,195.16,242.56666666666666
10800.0,173.06,243.65,196.35,243.65
10950.0,174.29,244.73,197.54,244.73333333333332
11100.0,175.52,245.8,198.71,245.79999999999998
11250.0,176.66,246.8,199.8,246.8
11400.0,177.79,247.8,200.9,247.8
11550.0,178.93,248.83,201.99,248.83333333333334
11700.0,180.06,249.88,203.09,249.875
11850.0,181.19,250.9,204.18,250.9
12000.0,182.32,251.9,205.27,251.9
12150.0,183.45,252.9,206.36,252.9
12300.0,184.57,253.9,207.44,253.9
12450.0,185.7,254.9,208.52,254.9
12600.0,186.82,255.88,209.6,255.875
12750.0,187.94,256.83,210.67,256.83333333333337
12900.0,189.05,257.79,211.74,257.7916666666667
13050.0,190.17,258.75,212.81,258.75
13200.0,191.28,259.71,213.87,259.7083333333333
13350.0,192.39,260.63,214.93,260.6333333333333
13500.0,193.5,261.55,215.98,261.55
13650.0,194.61,262.47,217.02,262.4666666666667
13800.0,195.71,263.38,218.07,263.3833333333333
13950.0,196.81,264.3,219.11,264.3
14100.0,197.91,265.22,220.15,265.2166666666667
14250.0,199.01,266.13,221.19,266.1333333333333
14400.0,200.1,267.05,222.22,267.05
14550.0,201.19,267.97,223.25,267.96666666666664
14700.0,202.28,268.88,224.28,268.875
14850.0,203.36,269.75,225.3,269.75
15000.0,204.44,270.63,226.32,270.625
15150.0,205.52,271.5,227.33,271.5
15300.0,206.6,272.38,228.34,272.375
15450.0,207.67,273.25,229.35,273.25
15600.0,208.74,274.13,230.36,274.125
15750.0,209.81,275.0,231.36,275.0
