Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,250.0,250.0,250.0,250.0
150.0,250.0,250.0,250.0,250.0
300.0,250.0,250.0,250.0,250.0
450.0,250.0,250.0,250.0,250.0
600.0,250.0,250.0,250.0,250.0
750.0,250.0,250.0,250.0,250.0
900.0,250.0,250.0,250.0,250.0
1050.0,250.0,250.0,250.0,250.0
1200.0,250.0,250.0,250.0,250.0
1350.0,250.0,250.0,250.0,250.0
1500.0,250.0,268.75,252.97,268.75
1650.0,250.0,287.5,256.92,287.5
1800.0,250.0,306.25,261.4,306.25
1950.0,250.03,325.0,266.32,325.0
2100.0,250.11,343.75,271.59,343.75
2250.0,250.27,362.5,277.12,362.5
2400.0,250.57,381.25,282.97,381.25
2550.0,251.04,400.0,288.98,400.0
2700.0,251.68,418.75,295.24,418.75
2850.0,252.53,437.5,301.7,437.5
3000.0,253.59,456.25,308.32,456.25
3150.0,254.88,475.0,315.18,475.0
3300.0,256.38,475.0,319.31,475.0
3450.0,258.1,475.0,322.73,475.0
3600.0,260.05,475.0,325.8,475.0
3750.0,262.21,475.0,328.62,475.0
3900.0,264.56,475.0,331.28,475.0
4050.0,267.05,475.0,333.8,475.0
4200.0,269.67,475.0,336.2,475.0
4350.0,272.38,475.0,338.52,475.0
4500.0,275.14,475.0,340.76,475.0
4650.0,277.94,475.0,342.93,475.0
4800.0,280.76,475.0,345.04,475.0
4950.0,283.59,475.0,347.11,475.0
5100.0,286.32,475.0,349.13,475.0
5250.0,289.01,475.0,351.08,475.0
5400.0,291.68,475.0,352.97,475.0
5550.0,294.32,475.0,354.81,475.0
5700.0,296.93,475.0,356.63,475.0
5850.0,299.52,475.0,358.4,475.0
6000.0,302.08,475.0,360.15,475.0
6150.0,304.61,475.0,361.86,475.0
6300.0,307.11,475.0,363.55,475.0
6450.0,309.58,475.0,365.21,475.0
6600.0,312.02,475.0,366.85,475.0
6750.0,314.42,475.0,368.46,475.0
6900.0,316.8,475.0,370.04,475.0
7050.0,319.13,475.0,371.6,475.0
7200.0,321.44,475.0,373.13,475.0
7350.0,323.71,475.0,374.65,475.0
7500.0,325.95,475.0,376.14,475.0
7650.0,328.16,475.0,377.6,475.0
7800.0,330.28,475.0,379.05,475.0
7950.0,332.31,475.0,380.47,475.0
8100.0,334.31,475.0,381.85,475.0
8250.0,336.29,475.0,383.21,475.0
8400.0,338.25,475.0,384.54,475.0
8550.0,340.19,475.0,385.85,475.0
8700.0,342.1,456.25,384.27,456.25
8850.0,343.99,437.5,381.77,437.5
9000.0,345.84,418.75,378.72,418.75
9150.0,347.63,400.0,375.22,400.0
9300.0,349.38,381.25,371.36,381.25
9450.0,351.04,362.5,367.16,362.5
9600.0,352.6,343.75,362.67,343.75
9750.0,354.02,325.0,357.84,325.0
9900.0,355.28,306.25,352.77,306.25
10050.0,356.36,287.5,347.42,287.5
10200.0,357.23,268.75,341.8,268.75
10350.0,357.89,250.0,335.98,250.0
10500.0,358.31,250.0,332.78,250.0
10650.0,358.5,250.0,330.36,250.0
10800.0,358.44,250.0,328.31,250.0
10950.0,358.13,250.0,326.5,250.0
11100.0,357.6,250.0,324.87,250.0
11250.0,356.86,250.0,323.38,250.0
11400.0,355.97,250.0,322.0,250.0
11550.0,354.94,250.0,320.69,250.0
11700.0,353.81,250.0,319.46,250.0
11850.0,352.61,250.0,318.28,250.0
12000.0,351.35,250.0,317.15,250.0
12150.0,350.05,250.0,316.06,250.0
12300.0,348.72,250.0,315.01,250.0
12450.0,347.37,250.0,313.98,250.0
12600.0,346.02,250.0,312.98,250.0
12750.0,344.67,250.0,312.01,250.0
12900.0,343.31,250.0,311.05,250.0
13050.0,341.97,250.0,310.12,250.0
13200.0,340.63,250.0,309.2,250.0
13350.0,339.3,250.0,308.3,250.0
13500.0,337.99,250.0,307.42,250.0
13650.0,336.67,250.0,306.55,250.0
13800.0,335.34,250.0,305.68,250.0
13950.0,334.03,250.0,304.81,250.0
14100.0,332.73,250.0,303.96,250.0
14250.0,331.45,250.0,303.12,250.0
14400.0,330.19,250.0,302.29,250.0
14550.0,328.94,250.0,301.47,250.0
14700.0,327.72,250.0,300.67,250.0
14850.0,326.51,250.0,299.88,250.0
15000.0,325.32,250.0,299.11,250.0
15150.0,324.15,250.0,298.34,250.0
15300.0,323.0,250.0,297.59,250.0
15450.0,321.86,250.0,296.85,250.0
15600.0,320.74,250.0,296.12,250.0
15750.0,319.64,250.0,295.4,250.0
