Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,360.0,360.0,360.0,360.0
150.0,360.0,360.0,360.0,360.0
300.0,360.0,360.0,360.0,360.0
450.0,360.0,360.0,360.0,360.0
600.0,360.0,360.0,360.0,360.0
750.0,360.0,360.0,360.0,360.0
900.0,360.0,360.0,360.0,360.0
1050.0,360.0,360.0,360.0,360.0
1200.0,360.0,360.0,360.0,360.0
1350.0,360.0,360.0,360.0,360.0
1500.0,360.0,363.33,360.53,363.3333333333333
1650.0,360.0,366.66,361.22,366.6666666666667
1800.0,360.0,369.99,362.01,370.0
1950.0,360.0,373.33,362.87,373.3333333333333
2100.0,360.01,376.66,363.79,376.6666666666667
2250.0,360.03,379.99,364.77,380.0
2400.0,360.06,383.32,365.8,383.3333333333333
2550.0,360.12,386.66,366.87,386.6666666666667
2700.0,360.2,389.99,367.99,390.0
2850.0,360.32,393.32,369.14,393.3333333333333
3000.0,360.46,396.65,370.33,396.6666666666667
3150.0,360.64,399.99,371.56,400.0
3300.0,360.86,399.99,372.29,400.0
3450.0,361.12,399.99,372.9,400.0
3600.0,361.42,399.99,373.44,400.0
3750.0,361.76,399.99,373.93,400.0
3900.0,362.13,399.99,374.4,400.0
4050.0,362.53,399.99,374.84,400.0
4200.0,362.96,399.99,375.26,400.0
4350.0,363.4,399.99,375.66,400.0
4500.0,363.86,399.99,376.05,400.0
4650.0,364.33,399.99,376.42,400.0
4800.0,364.8,399.99,376.79,400.0
4950.0,365.28,399.99,377.14,400.0
5100.0,365.76,399.99,377.49,400.0
5250.0,366.24,399.99,377.83,400.0
5400.0,366.71,399.99,378.16,400.0
5550.0,367.19,399.99,378.48,400.0
5700.0,367.66,399.99,378.8,400.0
5850.0,368.12,399.99,379.12,400.0
6000.0,368.58,399.99,379.43,400.0
6150.0,369.04,399.99,379.73,400.0
6300.0,369.49,399.99,380.03,400.0
6450.0,369.93,399.99,380.32,400.0
6600.0,370.37,399.99,380.61,400.0
6750.0,370.8,399.99,380.9,400.0
6900.0,371.23,399.99,381.18,400.0
7050.0,371.65,399.99,381.46,400.0
7200.0,372.06,399.99,381.73,400.0
7350.0,372.47,399.99,382.0,400.0
7500.0,372.87,399.99,382.26,400.0
7650.0,373.27,399.99,382.52,400.0
7800.0,373.66,399.99,382.78,400.0
7950.0,374.05,399.99,383.03,400.0
8100.0,374.43,399.99,383.28,400.0
8250.0,374.8,399.99,383.52,400.0
8400.0,375.17,400.0,383.77,400.0
8550.0,375.54,400.0,384.0,400.0
8700.0,375.89,396.67,383.71,396.6666666666667
8850.0,376.25,393.33,383.25,393.3333333333333
9000.0,376.6,390.0,382.69,390.0
9150.0,376.94,386.67,382.05,386.6666666666667
9300.0,377.27,383.34,381.35,383.3333333333333
9450.0,377.58,380.0,380.59,380.0
9600.0,377.88,376.67,379.78,376.6666666666667
9750.0,378.14,373.34,378.92,373.3333333333333
9900.0,378.38,370.01,378.01,370.0
10050.0,378.58,366.67,377.06,366.6666666666667
10200.0,378.74,363.34,376.07,363.3333333333333
10350.0,378.86,360.01,375.04,360.0
10500.0,378.94,360.01,374.51,360.0
10650.0,378.98,360.01,374.1,360.0
10800.0,378.97,360.0,373.75,360.0
10950.0,378.93,360.0,373.44,360.0
11100.0,378.84,360.0,373.16,360.0
11250.0,378.71,360.0,372.9,360.0
11400.0,378.56,360.0,372.66,360.0
11550.0,378.39,360.0,372.44,360.0
11700.0,378.2,360.0,372.22,360.0
11850.0,377.99,360.0,372.02,360.0
12000.0,377.78,360.0,371.83,360.0
12150.0,377.56,360.0,371.64,360.0
12300.0,377.33,360.0,371.46,360.0
12450.0,377.1,360.0,371.28,360.0
12600.0,376.87,360.0,371.11,360.0
12750.0,376.63,360.0,370.94,360.0
12900.0,376.4,360.0,370.77,360.0
13050.0,376.17,360.0,370.61,360.0
13200.0,375.94,360.0,370.45,360.0
13350.0,375.71,360.0,370.3,360.0
13500.0,375.49,360.0,370.14,360.0
13650.0,375.26,360.0,369.99,360.0
13800.0,375.04,360.0,369.85,360.0
13950.0,374.82,360.0,369.7,360.0
14100.0,374.61,360.0,369.56,360.0
14250.0,374.4,360.0,369.42,360.0
14400.0,374.19,360.0,369.28,360.0
14550.0,373.98,360.0,369.14,360.0
14700.0,373.77,360.0,369.01,360.0
14850.0,373.57,360.0,368.88,360.0
15000.0,373.37,360.0,368.75,360.0
15150.0,373.18,360.0,368.62,360.0
15300.0,372.99,360.0,368.49,360.0
15450.0,372.8,360.0,368.37,360.0
15600.0,372.61,360.0,368.24,360.0
15750.0,372.42,360.0,368.12,360.0
