Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,1.0,1.0,1.0,1.0
150.0,1.0,1.0,1.0,1.0
300.0,1.0,1.0,1.0,1.0
450.0,1.0,1.0,1.0,1.0
600.0,1.0,1.0,1.0,1.0
750.0,1.0,1.0,1.0,1.0
900.0,1.0,1.0,1.0,1.0
1050.0,1.0,1.0,1.0,1.0
1200.0,1.0,1.0,1.0,1.0
1350.0,1.0,1.0,1.0,1.0
1500.0,1.0,139.0,10.603,139.0
1650.0,1.0,164.0,16.721,164.0
1800.0,1.0,185.0,21.776,185.0
1950.0,1.0005,207.6,26.585,207.6
2100.0,1.004,231.0,31.333,231.0
2250.0,1.0177,254.4,36.16,254.4
2400.0,1.0542,272.1,40.856,272.1
2550.0,1.1288,278.4,44.725,278.4
2700.0,1.2572,284.7,48.284,284.7
2850.0,1.4535,291.0,51.652,291.0
3000.0,1.729,306.9,55.377,306.9
3150.0,2.0924,322.8,59.319,322.8
3300.0,2.5492,338.7,63.385,338.7
3450.0,3.1022,346.6,67.17,346.6
3600.0,3.7516,350.5,70.481,350.5
3750.0,4.4957,354.4,73.598,354.4
3900.0,5.332,358.3,76.593,358.3
4050.0,6.2573,362.2,79.489,362.2
4200.0,7.2681,366.1,82.313,366.1
4350.0,8.361,370.0,85.068,370.0
4500.0,9.5319,379.0,88.066,379.0
4650.0,10.776,388.0,91.185,388.0
4800.0,12.09,397.0,94.366,397.0
4950.0,13.468,406.0,97.598,406.0
5100.0,14.904,415.0,100.87,415.0
5250.0,16.395,424.0,104.2,424.0
5400.0,17.935,436.5,107.68,436.5
5550.0,19.521,456.0,111.77,456.0
5700.0,21.15,475.5,116.18,475.5
5850.0,22.818,495.0,120.82,495.0
6000.0,24.524,514.5,125.64,514.5
6150.0,26.265,534.0,130.63,534.0
6300.0,28.04,553.5,135.77,553.5
6450.0,29.849,562.2,140.55,562.2
6600.0,31.691,565.5,144.69,565.5
6750.0,33.568,568.8,148.58,568.8
6900.0,35.481,572.1,152.31,572.1
7050.0,37.433,575.4,155.91,575.4
7200.0,39.424,578.7,159.43,578.7
7350.0,41.456,582.0,162.86,582.0
7500.0,43.531,583.2,166.13,583.2
7650.0,45.648,584.4,169.27,584.4
7800.0,47.805,585.6,172.33,585.6
7950.0,50.002,586.8,175.3,586.8
8100.0,52.236,588.0,178.23,588.0
8250.0,54.504,589.2,181.09,589.2
8400.0,56.802,591.25,183.93,591.25
8550.0,59.129,595.0,186.88,595.0
8700.0,61.481,419.0,178.18,419.0
8850.0,63.853,408.67,175.49,408.6666666666667
9000.0,66.24,402.17,174.11,402.1666666666667
9150.0,68.638,398.0,173.32,398.0
9300.0,71.044,395.0,172.95,395.0
9450.0,73.455,392.0,172.8,392.0
9600.0,75.864,389.0,172.79,389.0
9750.0,78.261,386.0,172.89,386.0
9900.0,80.639,382.25,173.03,382.25
10050.0,82.985,378.5,173.19,378.5
10200.0,85.295,374.75,173.37,374.75
10350.0,87.56,371.0,173.58,371.0
10500.0,89.774,367.25,173.79,367.25
10650.0,91.936,363.5,174.01,363.5
10800.0,94.043,359.95,174.24,359.95
10950.0,96.092,356.8,174.5,356.8
11100.0,98.09,353.65,174.77,353.65
11250.0,100.03,350.5,175.05,350.5
11400.0,101.91,347.35,175.32,347.35
11550.0,103.75,344.2,175.6,344.2
11700.0,105.53,341.05,175.87,341.05
11850.0,107.25,336.0,176.05,336.0
12000.0,108.93,330.0,176.08,330.0
12150.0,110.56,324.0,176.04,324.0
12300.0,112.16,318.0,175.94,318.0
12450.0,113.72,312.0,175.8,312.0
12600.0,115.23,306.0,175.6,306.0
12750.0,116.72,300.0,175.36,300.0
12900.0,118.17,297.45,175.26,297.45
13050.0,119.59,294.9,175.23,294.9
13200.0,120.98,292.35,175.24,292.35
13350.0,122.34,289.8,175.26,289.8
13500.0,123.67,287.25,175.29,287.25
13650.0,124.96,284.7,175.33,284.7
13800.0,126.22,279.8,175.28,279.8
13950.0,127.44,270.2,174.85,270.2
14100.0,128.64,260.6,174.22,260.6
14250.0,129.8,251.0,173.46,251.0
14400.0,130.93,238.4,172.43,238.4
14550.0,132.04,225.8,171.2,225.8
14700.0,133.12,213.2,169.82,213.2
14850.0,134.17,191.2,167.89,191.2
15000.0,135.19,164.5,165.12,164.5
15150.0,136.19,137.8,161.82,137.8
15300.0,137.16,116.22,158.24,116.22222222222223
15450.0,138.1,104.89,155.22,104.88888888888889
15600.0,139.02,93.556,152.33,93.55555555555556
15750.0,139.9,60.0,148.56,60.0
