Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,200.12909980822175,200.12909980822175,200.12909980822175,200.12909980822175
150.0,200.12909980822175,200.12909980822175,200.12909980822175,200.12909980822175
300.0,200.12909980822175,200.12909980822175,200.12909980822175,200.12909980822175
450.0,200.12909980822175,200.12909980822175,200.12909980822175,200.12909980822175
600.0,200.12909980822175,200.12909980822175,200.12909980822175,200.12909980822175
750.0,200.12909980822175,200.12909980822175,200.12909980822175,200.12909980822175
900.0,200.12909980822175,200.12909980822175,200.12909980822175,200.12909980822175
1050.0,200.12909980822175,200.12909980822175,200.12909980822175,200.12909980822175
1200.0,200.12909980822175,200.12909980822175,200.12909980822175,200.12909980822175
1350.0,200.12909980822175,200.12909980822175,200.12909980822175,200.12909980822175
1500.0,200.0,200.37,200.07,200.3679166453944
1650.0,200.0,200.65,200.13,200.6512237079193
1800.0,200.0,200.98,200.21,200.98510614048394
1950.0,200.0,201.38,200.31,201.37564908777563
2100.0,200.0,201.87,200.44,201.87418186905938
2250.0,200.01,202.46,200.59,202.46391911229716
2400.0,200.01,203.16,200.78,203.1568110978231
2550.0,200.02,203.96,201.0,203.96480810597126
2700.0,200.04,204.99,201.28,204.98965497434784
2850.0,200.06,206.19,201.62,206.19495064040208
3000.0,200.09,207.6,202.01,207.60220401595586
3150.0,200.13,209.23,202.48,209.23292401283103
3300.0,200.18,211.27,203.06,211.27460260984043
3450.0,200.24,213.65,203.74,213.6479100555299
3600.0,200.31,216.38,204.53,216.3845129182678
3750.0,200.41,219.51,205.46,219.51607776642257
3900.0,200.52,223.33,206.57,223.33887304557146
4050.0,200.66,227.68,207.86,227.68550627010376
4200.0,200.83,232.57,209.33,232.58211269797724
4350.0,201.04,238.04,211.02,238.05482758714965
4500.0,201.28,244.43,212.97,244.43863218116576
4650.0,201.58,251.41,215.11,251.42867689714535
4800.0,201.92,258.98,217.5,259.00296539786757
4950.0,202.33,267.12,220.14,267.1395013461114
5100.0,202.8,275.96,223.05,275.97992795679716
5250.0,203.35,285.13,226.17,285.14896521896776
5400.0,203.99,294.53,229.45,294.5577778145165
5550.0,204.72,304.09,232.87,304.11753042533684
5700.0,205.54,313.58,236.43,313.6101779481923
5850.0,206.48,322.83,240.08,322.8678143825068
6000.0,207.53,331.78,243.78,331.80903833374134
6150.0,208.69,340.32,247.43,340.35244840735675
6300.0,209.96,348.09,251.01,348.1194534720031
6450.0,211.35,355.27,254.55,355.2984279180864
6600.0,212.86,361.85,258.03,361.8776342079572
6750.0,214.49,367.82,261.41,367.8453348039658
6900.0,216.22,372.89,264.66,372.91823040419126
7050.0,218.06,377.4,267.79,377.4367721758409
7200.0,219.99,381.39,270.78,381.43010248419193
7350.0,221.99,384.9,273.57,384.927363694522
7500.0,224.06,387.75,276.24,387.7782154007718
7650.0,226.19,390.23,278.82,390.2633617681713
7800.0,228.38,392.38,281.3,392.4133210432749
7950.0,230.62,394.23,283.69,394.25861147263686
8100.0,232.9,395.7,285.98,395.72867520458414
8250.0,235.21,396.97,288.19,396.9956906736906
8400.0,237.54,398.05,290.33,398.079513674111
8550.0,239.89,398.97,292.4,399.0
8700.0,242.25,398.05,294.13,398.079513674111
8850.0,244.62,396.97,295.72,396.9956906736906
9000.0,246.98,395.71,297.18,395.72867520458414
9150.0,249.34,394.24,298.53,394.25861147263686
9300.0,251.68,392.39,299.75,392.4133210432749
9450.0,254.0,390.24,300.83,390.2633617681713
9600.0,256.29,387.76,301.78,387.7782154007718
9750.0,258.55,384.91,302.57,384.927363694522
9900.0,260.76,381.41,303.18,381.430102484192
10050.0,262.93,377.42,303.59,377.4367721758409
10200.0,265.01,372.91,303.82,372.91823040419126
10350.0,266.96,367.84,303.81,367.8453348039658
10500.0,268.86,361.87,303.52,361.8776342079572
10650.0,270.69,355.29,302.99,355.2984279180864
10800.0,272.45,348.11,302.2,348.1194534720031
10950.0,274.15,340.35,301.15,340.35244840735675
11100.0,275.77,331.81,299.81,331.80903833374134
11250.0,277.28,322.87,298.24,322.8678143825068
11400.0,278.7,313.61,296.45,313.6101779481923
11550.0,280.02,304.13,294.45,304.11753042533684
11700.0,281.24,294.57,292.28,294.5577778145165
11850.0,282.34,285.17,289.99,285.14896521896776
12000.0,283.31,276.0,287.57,275.97992795679716
12150.0,284.15,267.16,285.11,267.1395013461114
12300.0,284.86,259.02,282.66,259.00296539786757
12450.0,285.43,251.45,280.24,251.42867689714535
12600.0,285.86,244.46,277.86,244.43863218116576
12750.0,286.15,238.07,275.54,238.05482758714965
12900.0,286.29,232.61,273.31,232.58211269797724
13050.0,286.31,227.71,271.18,227.68550627010376
13200.0,286.19,223.36,269.15,223.33887304557146
13350.0,285.94,219.54,267.24,219.51607776642257
13500.0,285.57,216.41,265.45,216.3845129182678
13650.0,285.1,213.67,263.77,213.64791005552988
13800.0,284.52,211.3,262.18,211.27460260984043
13950.0,283.86,209.25,260.67,209.23292401283103
14100.0,283.11,207.63,259.27,207.60220401595586
14250.0,282.3,206.22,257.94,206.19495064040208
14400.0,281.43,205.01,256.67,204.98965497434784
14550.0,280.5,203.98,255.47,203.96480810597126
14700.0,279.54,203.18,254.33,203.1568110978231
14850.0,278.54,202.49,253.24,202.46391911229716
15000.0,277.51,201.9,252.2,201.87418186905938
15150.0,276.46,201.4,251.19,201.37564908777563
15300.0,275.39,201.0,250.23,200.98510614048394
15450.0,274.31,200.67,249.3,200.6512237079193
15600.0,273.23,200.39,248.39,200.3679166453944
15750.0,272.14,200.15,247.52,200.12909980822175
