Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,330.23,330.23,330.23,330.23
150.0,330.23,330.23,330.23,330.23
300.0,330.23,330.23,330.23,330.23
450.0,330.23,330.23,330.23,330.23
600.0,330.23,330.23,330.23,330.23
750.0,330.23,330.23,330.23,330.23
900.0,330.23,330.23,330.23,330.23
1050.0,330.23,330.23,330.23,330.23
1200.0,330.23,330.23,330.23,330.23
1350.0,330.23,330.23,330.23,330.23
1500.0,330.23,393.85,333.93,393.85
1650.0,330.23,406.21,336.7,406.21
1800.0,330.23,407.42,338.35,407.42499999999995
1950.0,330.23,410.33,339.76,410.332
2100.0,330.23,414.08,341.12,414.085
2250.0,330.23,417.84,342.42,417.83799999999997
2400.0,330.23,422.88,343.74,422.88399999999996
2550.0,330.23,430.52,345.25,430.51599999999996
2700.0,330.24,438.15,346.85,438.14799999999997
2850.0,330.26,445.78,348.52,445.78
3000.0,330.28,452.68,350.2,452.67999999999995
3150.0,330.31,459.58,351.91,459.58
3300.0,330.36,466.48,353.65,466.47999999999996
3450.0,330.42,471.15,355.32,471.152
3600.0,330.51,474.71,356.87,474.71
3750.0,330.61,478.27,358.37,478.268
3900.0,330.73,481.83,359.84,481.82599999999996
4050.0,330.87,485.38,361.3,485.384
4200.0,331.03,488.94,362.75,488.942
4350.0,331.22,492.5,364.19,492.5
4500.0,331.43,493.66,365.5,493.6595
4650.0,331.67,494.82,366.73,494.819
4800.0,331.93,495.98,367.9,495.9785
4950.0,332.22,497.14,369.05,497.13800000000003
5100.0,332.53,498.3,370.16,498.2975
5250.0,332.87,499.46,371.25,499.457
5400.0,333.24,499.73,372.28,499.73
5550.0,333.63,498.23,373.15,498.23
5700.0,334.04,496.73,373.94,496.73
5850.0,334.48,495.23,374.66,495.23
6000.0,334.94,493.73,375.32,493.73
6150.0,335.42,492.23,375.95,492.23
6300.0,335.92,490.73,376.53,490.73
6450.0,336.44,489.96,377.11,489.957
6600.0,336.98,489.55,377.71,489.5475
6750.0,337.54,489.14,378.31,489.13800000000003
6900.0,338.12,488.73,378.89,488.7285
7050.0,338.71,488.32,379.47,488.319
7200.0,339.31,487.91,380.03,487.9095
7350.0,339.93,487.5,380.59,487.5
7500.0,340.56,487.15,381.14,487.155
7650.0,341.2,486.81,381.68,486.81
7800.0,341.84,486.46,382.21,486.465
7950.0,342.5,486.12,382.73,486.12
8100.0,343.16,485.77,383.24,485.775
8250.0,343.82,485.43,383.75,485.43
8400.0,344.49,483.95,384.21,483.95
8550.0,345.16,480.2,384.47,480.2
8700.0,345.84,439.59,382.63,439.59000000000003
8850.0,346.51,422.37,380.56,422.37333333333333
9000.0,347.19,420.76,379.64,420.7583333333333
9150.0,347.87,418.8,378.96,418.8
9300.0,348.55,416.67,378.4,416.67
9450.0,349.22,414.54,377.91,414.54
9600.0,349.9,412.41,377.46,412.40999999999997
9750.0,350.58,410.28,377.05,410.28
9900.0,351.24,410.07,376.75,410.0655
10050.0,351.91,409.85,376.54,409.851
10200.0,352.56,409.64,376.37,409.6365
10350.0,353.2,409.42,376.25,409.422
10500.0,353.83,409.21,376.15,409.2075
10650.0,354.44,408.99,376.08,408.993
10800.0,355.04,408.53,376.01,408.52750000000003
10950.0,355.62,407.56,375.93,407.56
11100.0,356.18,406.59,375.84,406.59250000000003
11250.0,356.72,405.62,375.75,405.625
11400.0,357.25,404.66,375.66,404.65749999999997
11550.0,357.75,403.69,375.56,403.69
11700.0,358.24,402.72,375.47,402.72249999999997
11850.0,358.71,402.19,375.4,402.19399999999996
12000.0,359.17,401.89,375.36,401.885
12150.0,359.6,401.58,375.34,401.57599999999996
12300.0,360.03,401.27,375.32,401.267
12450.0,360.44,400.96,375.31,400.95799999999997
12600.0,360.83,400.65,375.31,400.649
12750.0,361.21,400.34,375.32,400.34
12900.0,361.58,398.68,375.25,398.681
13050.0,361.93,397.02,375.15,397.022
13200.0,362.27,395.36,375.02,395.363
13350.0,362.61,393.7,374.88,393.70399999999995
13500.0,362.93,392.05,374.72,392.04499999999996
13650.0,363.24,390.39,374.54,390.38599999999997
13800.0,363.54,388.19,374.33,388.19199999999995
13950.0,363.83,384.93,374.02,384.928
14100.0,364.11,381.66,373.66,381.664
14250.0,364.39,378.4,373.26,378.4
14400.0,364.65,376.0,372.87,376.0
14550.0,364.91,373.6,372.48,373.59999999999997
14700.0,365.16,371.2,372.07,371.2
14850.0,365.4,368.4,371.64,368.4
15000.0,365.63,365.4,371.17,365.4
15150.0,365.86,362.4,370.67,362.4
15300.0,366.07,359.33,370.15,359.3333333333333
15450.0,366.28,356.13,369.59,356.1333333333333
15600.0,366.48,352.93,369.01,352.93333333333334
15750.0,366.67,338.8,368.02,338.8
