Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,1.0,1.0,1.0,1.0
150.0,1.0,1.0,1.0,1.0
300.0,1.0,1.0,1.0,1.0
450.0,1.0,1.0,1.0,1.0
600.0,1.0,1.0,1.0,1.0
750.0,1.0,1.0,1.0,1.0
900.0,1.0,1.0,1.0,1.0
1050.0,1.0,1.0,1.0,1.0
1200.0,1.0,1.0,1.0,1.0
1350.0,1.0,1.0,1.0,1.0
1500.0,1.0,11.635,1.7963,11.635
1650.0,1.0,14.767,2.314,14.766666666666666
1800.0,1.0,18.692,2.9169,18.691666666666666
1950.0,1.0,20.246,3.4497,20.246
2100.0,1.0004,20.615,3.8354,20.615000000000002
2250.0,1.0016,20.984,4.1704,20.984
2400.0,1.0048,21.339,4.4749,21.339
2550.0,1.0114,21.666,4.7563,21.666
2700.0,1.023,21.993,5.0217,21.993000000000002
2850.0,1.041,22.32,5.2752,22.32
3000.0,1.0665,22.374,5.5026,22.374
3150.0,1.1004,22.428,5.712,22.428
3300.0,1.1428,22.482,5.9089,22.482
3450.0,1.194,27.835,6.3732,27.835
3600.0,1.2537,35.838,7.2662,35.8375
3750.0,1.3217,43.84,8.3647,43.839999999999996
3900.0,1.3975,51.842,9.6161,51.8425
4050.0,1.4805,59.845,10.993,59.845
4200.0,1.5707,67.848,12.479,67.8475
4350.0,1.6682,75.85,14.062,75.85
4500.0,1.7742,76.821,15.302,76.8205
4650.0,1.8902,77.791,16.351,77.791
4800.0,2.0188,78.761,17.308,78.7615
4950.0,2.1626,79.732,18.204,79.732
5100.0,2.3246,80.702,19.057,80.70249999999999
5250.0,2.5075,81.673,19.877,81.67299999999999
5400.0,2.7133,83.209,20.694,83.20899999999999
5550.0,2.9434,85.876,21.6,85.87599999999999
5700.0,3.1982,88.543,22.542,88.54299999999999
5850.0,3.4775,91.21,23.507,91.21
6000.0,3.7807,93.877,24.49,93.877
6150.0,4.1067,96.544,25.49,96.544
6300.0,4.4544,99.211,26.503,99.211
6450.0,4.8227,100.09,27.438,100.08999999999999
6600.0,5.2107,100.07,28.237,100.07499999999999
6750.0,5.6173,100.06,28.978,100.06
6900.0,6.0421,100.04,29.678,100.045
7050.0,6.4845,100.03,30.345,100.03
7200.0,6.9438,100.01,30.986,100.015
7350.0,7.4194,100.0,31.605,100.0
7500.0,7.9106,99.751,32.191,99.751
7650.0,8.4164,99.502,32.751,99.502
7800.0,8.9354,99.253,33.29,99.253
7950.0,9.4665,99.004,33.811,99.004
8100.0,10.008,98.755,34.317,98.755
8250.0,10.56,98.506,34.809,98.506
8400.0,11.119,98.062,35.28,98.0625
8550.0,11.685,97.23,35.701,97.23
8700.0,12.256,67.615,33.892,67.61500000000001
8850.0,12.832,64.667,33.195,64.66666666666667
9000.0,13.411,63.567,32.834,63.56666666666667
9150.0,13.992,62.7,32.601,62.7
9300.0,14.574,61.95,32.447,61.95
9450.0,15.154,61.2,32.34,61.2
9600.0,15.729,60.45,32.263,60.45
9750.0,16.294,59.7,32.206,59.7
9900.0,16.847,59.595,32.204,59.595
10050.0,17.384,59.49,32.237,59.49
10200.0,17.904,59.385,32.293,59.385000000000005
10350.0,18.407,59.28,32.367,59.28
10500.0,18.891,59.175,32.453,59.175
10650.0,19.356,59.07,32.551,59.07
10800.0,19.803,58.2,32.626,58.2
10950.0,20.233,55.8,32.561,55.8
11100.0,20.647,53.4,32.431,53.4
11250.0,21.045,51.0,32.256,51.0
11400.0,21.428,48.6,32.045,48.6
11550.0,21.798,46.2,31.803,46.2
11700.0,22.155,43.8,31.533,43.8
11850.0,22.501,42.9,31.317,42.9
12000.0,22.834,42.75,31.2,42.75
12150.0,23.155,42.6,31.122,42.6
12300.0,23.465,42.45,31.068,42.45
12450.0,23.762,42.3,31.032,42.3
12600.0,24.047,42.15,31.008,42.15
12750.0,24.319,42.0,30.995,42.0
12900.0,24.578,40.2,30.888,40.2
13050.0,24.825,38.4,30.725,38.4
13200.0,25.059,36.6,30.527,36.6
13350.0,25.282,34.8,30.303,34.8
13500.0,25.494,33.0,30.057,33.0
13650.0,25.695,31.2,29.791,31.2
13800.0,25.887,28.0,29.45,28.0
13950.0,26.068,22.0,28.824,22.0
14100.0,26.241,16.0,28.051,16.0
14250.0,26.403,10.0,27.173,10.0
14400.0,26.556,9.94,26.57,9.94
14550.0,26.699,9.88,26.122,9.88
14700.0,26.832,9.82,25.747,9.82
14850.0,26.953,8.9,25.375,8.9
15000.0,27.061,7.55,24.968,7.550000000000001
15150.0,27.155,6.2,24.552,6.2
15300.0,27.234,4.9444,24.137,4.944444444444445
15450.0,27.297,3.8778,23.736,3.8777777777777778
15600.0,27.344,2.8111,23.34,2.8111111111111113
15750.0,27.374,2.0,22.958,2.0
