Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,216.441156329641,216.441156329641,216.441156329641,216.441156329641
150.0,216.441156329641,216.441156329641,216.441156329641,216.441156329641
300.0,216.441156329641,216.441156329641,216.441156329641,216.441156329641
450.0,216.441156329641,216.441156329641,216.441156329641,216.441156329641
600.0,216.441156329641,216.441156329641,216.441156329641,216.441156329641
750.0,216.441156329641,216.441156329641,216.441156329641,216.441156329641
900.0,216.441156329641,216.441156329641,216.441156329641,216.441156329641
1050.0,216.441156329641,216.441156329641,216.441156329641,216.441156329641
1200.0,216.441156329641,216.441156329641,216.441156329641,216.441156329641
1350.0,216.441156329641,216.441156329641,216.441156329641,216.441156329641
1500.0,216.44,212.51,216.09,212.35042605922524
1650.0,216.44,214.09,215.94,214.1507137764195
1800.0,216.44,220.28,216.43,220.56154195190175
1950.0,216.43,229.84,217.61,230.30243305635
2100.0,216.42,234.17,218.7,234.5506955748945
2250.0,216.41,240.22,219.9,240.73049128441647
2400.0,216.42,243.59,221.16,243.8952502425525
2550.0,216.47,238.96,221.5,239.098402506939
2700.0,216.57,248.09,222.67,248.68032722384174
2850.0,216.72,253.66,224.1,254.2020012830535
3000.0,216.94,256.57,225.33,257.08315705710777
3150.0,217.21,258.25,226.39,258.743526918538
3300.0,217.53,259.79,227.39,260.28151804543523
3450.0,217.91,266.55,228.71,267.29198646054
3600.0,218.34,272.96,230.46,273.59628851411924
3750.0,218.83,272.47,231.6,273.01578055644
3900.0,219.37,279.59,233.17,280.39721204515126
4050.0,219.95,282.73,234.76,283.42615640310646
4200.0,220.59,287.22,236.23,288.1495517022918
4350.0,221.29,299.47,238.64,300.614336014693
4500.0,222.03,302.32,240.68,303.249177073441
4650.0,222.83,306.0,242.56,306.9350892653455
4800.0,223.69,310.74,244.45,311.742712465051
4950.0,224.61,316.67,246.55,317.742686547202
5100.0,225.6,312.62,247.91,313.3478361604397
5250.0,226.66,313.3,249.15,314.15421997889746
5400.0,227.77,318.13,250.79,319.147418646139
5550.0,228.94,326.17,252.95,327.313012805728
5700.0,230.15,329.07,254.93,330.10047322625496
5850.0,231.39,335.74,257.09,336.953054579798
6000.0,232.67,342.13,259.55,343.27222760617724
6150.0,233.98,343.38,261.56,344.459463045213
6300.0,235.34,349.79,263.85,351.0465230696377
6450.0,236.72,355.88,266.23,357.14533408846296
6600.0,238.15,360.86,268.63,362.109381738142
6750.0,239.63,364.05,270.88,365.292151655128
6900.0,241.15,362.12,272.67,363.15876804477705
7050.0,242.72,364.61,274.47,365.7944484760835
7200.0,244.34,370.72,276.7,372.0586139921793
7350.0,246.0,379.35,279.38,380.810685636196
7500.0,247.69,380.55,281.68,381.800703601861
7650.0,249.41,381.42,283.74,382.62392010432654
7800.0,251.16,385.63,285.86,387.0712616582733
7950.0,252.94,397.34,288.84,398.933654778382
8100.0,254.72,394.86,290.99,396.0501212213927
8250.0,256.52,400.89,293.28,402.4030042294665
8400.0,258.36,408.67,296.17,410.1133318366245
8550.0,260.22,409.93,298.57,411.302132076888
8700.0,262.12,401.77,300.03,402.732336662703
8850.0,264.05,396.53,301.11,397.484047109752
9000.0,266.01,394.55,302.26,395.56154195190123
9150.0,268.0,395.92,303.72,396.969099723017
9300.0,270.0,392.03,304.85,392.8840289082275
9450.0,271.98,389.86,305.87,390.7304912844165
9600.0,273.94,384.99,306.74,385.5619169092195
9750.0,275.87,372.12,306.6,372.431735840272
9900.0,277.76,373.01,307.06,373.6803272238415
10050.0,279.6,370.34,307.62,370.8686679497205
10200.0,281.39,365.01,307.85,365.41649039044177
10350.0,283.1,358.43,307.8,358.743526918538
10500.0,284.74,351.73,307.56,351.94818471210203
10650.0,286.25,350.23,307.54,350.62531979387353
10800.0,287.68,348.38,307.81,348.59628851411946
10950.0,289.04,339.63,307.36,339.682447223107
11100.0,290.31,338.5,307.22,338.730545378485
11250.0,291.5,333.39,306.97,333.42615640310646
11400.0,292.62,329.61,306.51,329.816218368958
11550.0,293.66,333.6,306.83,333.947669348026
11700.0,294.62,328.19,306.7,328.24917707344076
11850.0,295.5,323.58,306.32,323.601755932012
12000.0,296.31,320.06,305.92,320.07604579838426
12150.0,297.06,317.74,305.6,317.742686547202
12300.0,297.74,305.42,304.46,305.0145028271065
12450.0,298.36,297.82,303.09,297.487553312231
12600.0,298.92,294.39,302.04,294.1474186461393
12750.0,299.41,294.16,301.4,293.979679472395
12900.0,299.83,288.79,300.49,288.433806559588
13050.0,300.18,287.18,299.67,286.953054579798
13200.0,300.44,285.3,299.06,284.9388942728445
13350.0,300.63,278.28,297.92,277.792796378547
13500.0,300.74,276.41,296.97,276.0465230696385
13650.0,300.8,274.19,296.11,273.81200075513
13800.0,300.78,270.9,295.19,270.4427150714752
13950.0,300.71,265.82,294.03,265.292151655128
14100.0,300.59,255.62,292.28,254.82543471144373
14250.0,300.41,249.83,290.47,249.127781809417
14400.0,300.17,247.66,289.02,247.05861399217952
14550.0,299.88,248.01,287.96,247.477352302863
14700.0,299.51,240.92,286.44,240.13403693519473
14850.0,299.08,233.51,284.59,232.623920104327
15000.0,298.59,229.44,282.74,228.7379283249405
15150.0,298.03,232.82,281.73,232.266988111716
15300.0,297.41,222.07,279.85,221.05012122139274
15450.0,296.72,219.81,278.04,219.069670896133
15600.0,295.98,219.31,276.79,218.44666516995775
15750.0,295.17,212.31,274.9,211.302132076888
