Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,176.7772209,176.7772209,176.7772209,176.7772209
150.0,176.7772209,176.7772209,176.7772209,176.7772209
300.0,176.7772209,176.7772209,176.7772209,176.7772209
450.0,176.7772209,176.7772209,176.7772209,176.7772209
600.0,176.7772209,176.7772209,176.7772209,176.7772209
750.0,176.7772209,176.7772209,176.7772209,176.7772209
900.0,176.7772209,176.7772209,176.7772209,176.7772209
1050.0,176.7772209,176.7772209,176.7772209,176.7772209
1200.0,176.7772209,176.7772209,176.7772209,176.7772209
1350.0,176.7772209,176.7772209,176.7772209,176.7772209
1500.0,176.78,180.4,177.1,180.54703139999998
1650.0,176.78,185.08,177.72,185.3328818
1800.0,176.78,190.58,178.61,190.93540855
1950.0,176.79,196.72,179.75,197.1552481
2100.0,176.81,205.65,181.31,206.271102925
2250.0,176.87,212.2,182.99,212.8108188
2400.0,176.97,217.71,184.6,218.38591055
2550.0,177.14,223.89,186.31,224.607893
2700.0,177.39,232.4,188.31,233.28093845
2850.0,177.72,238.37,190.35,239.2108945
3000.0,178.15,243.4,192.27,244.286282075
3150.0,178.67,249.45,194.32,250.3956221
3300.0,179.28,251.64,196.11,252.48045417499998
3450.0,180.0,250.14,197.48,250.78323315
3600.0,180.8,248.47,198.45,249.141613275
3750.0,181.7,250.68,199.68,251.3932488
3900.0,182.66,250.95,200.83,251.60094442500002
4050.0,183.68,250.01,201.8,250.591373
4200.0,184.73,249.16,202.63,249.742262325
4350.0,185.8,249.84,203.56,250.4313402
4500.0,186.89,247.87,204.28,248.35906912500002
4650.0,187.98,247.18,204.95,247.68620325
4800.0,189.06,247.78,205.72,248.33050815000001
4950.0,190.13,249.63,206.67,250.2097494
5100.0,191.19,250.57,207.61,251.135818425
5250.0,192.22,252.68,208.64,253.30774530000002
5400.0,193.24,253.07,209.68,253.54479155
5550.0,194.25,248.32,210.1,248.6662187
5700.0,195.25,249.45,210.75,249.947551175
5850.0,196.25,249.64,211.48,250.10483655000002
6000.0,197.23,248.52,212.09,248.909746875
6150.0,198.19,245.81,212.45,246.1339542
6300.0,199.14,247.9,213.11,248.375039325
6450.0,200.07,247.4,213.75,247.766355
6600.0,200.97,247.26,214.26,247.7281695
6750.0,201.85,251.13,215.21,251.6807511
6900.0,202.71,248.73,215.8,249.088139625
7050.0,203.55,248.79,216.35,249.21206075
7200.0,204.37,249.49,217.04,249.8778748
7350.0,205.17,248.55,217.57,248.9109421
7500.0,205.97,249.76,218.21,250.183016725
7650.0,206.75,249.35,218.82,249.70319425
7800.0,207.52,248.96,219.3,249.34449282499997
7950.0,208.27,250.56,219.99,250.9799306
8100.0,209.02,250.96,220.64,251.3540273
8250.0,209.75,252.03,221.33,252.4512509
8400.0,210.47,252.14,222.01,252.470769925
8550.0,211.19,249.35,222.34,249.6117529
8700.0,211.89,240.48,221.96,240.4454053
8850.0,212.59,234.55,221.34,234.52205595
9000.0,213.28,230.7,220.82,230.66791402500002
9150.0,213.94,227.76,220.37,227.7091887
9300.0,214.56,218.17,219.32,217.81906425
9450.0,215.11,212.66,218.17,212.3887986
9600.0,215.6,208.13,217.2,207.753455725
9750.0,216.01,200.73,215.86,200.2480996
9900.0,216.33,196.41,214.61,195.96706982499998
10050.0,216.56,187.67,213.04,186.9757966
10200.0,216.7,178.87,211.04,178.20980085
10350.0,216.73,175.25,209.42,174.6046035
10500.0,216.68,173.65,208.09,173.08938262499998
10650.0,216.53,177.0,207.29,176.70016255000002
10800.0,216.27,180.15,207.0,179.77462152500001
10950.0,215.93,177.11,206.2,176.6504378
11100.0,215.51,177.83,205.58,177.48106745
11250.0,215.03,175.78,204.87,175.32079175
11400.0,214.51,173.59,203.95,173.178421825
11550.0,213.97,174.42,203.34,174.0627688
11700.0,213.41,174.71,202.79,174.3569881
11850.0,212.83,176.1,202.36,175.8259552
12000.0,212.24,176.84,202.03,176.508700925
12150.0,211.63,174.83,201.42,174.4442561
12300.0,211.03,176.19,200.99,175.9133762
12450.0,210.43,174.07,200.43,173.64972515
12600.0,209.83,172.08,199.62,171.74535055
12750.0,209.24,174.54,199.27,174.2923
12900.0,208.66,173.91,198.81,173.587695175
13050.0,208.08,172.94,198.27,172.59935645000002
13200.0,207.5,173.14,197.75,172.88840182500002
13350.0,206.92,176.19,197.59,176.0159493
13500.0,206.35,175.93,197.31,175.6769634
13650.0,205.78,175.58,196.94,175.31546395
13800.0,205.22,174.69,196.5,174.383380875
13950.0,204.68,172.68,195.91,172.3326441
14100.0,204.15,176.17,195.71,176.024399475
14250.0,203.63,176.71,195.56,176.4776717
14400.0,203.11,175.64,195.17,175.37573607500002
14550.0,202.61,174.68,194.72,174.4018679
14700.0,202.12,175.11,194.37,174.884801675
14850.0,201.65,175.0,194.02,174.76089435
15000.0,201.18,174.02,193.61,173.73190065
15150.0,200.72,171.83,193.01,171.4995753
15300.0,200.27,173.88,192.71,173.6964174
15450.0,199.82,174.12,192.45,173.88298255
15600.0,199.38,173.5,192.06,173.2633471
15750.0,198.94,173.28,191.69,173.0415874
