Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,600.0,600.0,600.0,600.0
150.0,600.0,600.0,600.0,600.0
300.0,600.0,600.0,600.0,600.0
450.0,600.0,600.0,600.0,600.0
600.0,600.0,600.0,600.0,600.0
750.0,600.0,600.0,600.0,600.0
900.0,600.0,600.0,600.0,600.0
1050.0,600.0,600.0,600.0,600.0
1200.0,600.0,600.0,600.0,600.0
1350.0,600.0,600.0,600.0,600.0
1500.0,600.0,598.23,599.91,598.2291666666666
1650.0,600.0,596.46,599.75,596.4583333333334
1800.0,600.0,594.69,599.56,594.6875
1950.0,600.0,592.92,599.35,592.9166666666666
2100.0,600.0,591.15,599.11,591.1458333333334
2250.0,600.0,589.38,598.84,589.375
2400.0,600.0,587.6,598.56,587.6041666666666
2550.0,600.0,585.83,598.26,585.8333333333334
2700.0,600.0,584.06,597.95,584.0625
2850.0,600.0,582.29,597.62,582.2916666666666
3000.0,600.0,580.52,597.28,580.5208333333334
3150.0,600.0,578.75,596.93,578.75
3300.0,599.99,576.98,596.56,576.9791666666666
3450.0,599.99,575.21,596.18,575.2083333333334
3600.0,599.98,573.44,595.79,573.4375
3750.0,599.97,571.67,595.39,571.6666666666666
3900.0,599.96,569.9,594.97,569.8958333333334
4050.0,599.95,568.12,594.55,568.125
4200.0,599.93,566.35,594.12,566.3541666666666
4350.0,599.91,564.58,593.68,564.5833333333334
4500.0,599.89,562.81,593.23,562.8125
4650.0,599.86,561.04,592.77,561.0416666666666
4800.0,599.82,559.27,592.3,559.2708333333334
4950.0,599.78,557.5,591.83,557.5
5100.0,599.74,555.73,591.34,555.7291666666666
5250.0,599.69,553.96,590.85,553.9583333333334
5400.0,599.64,552.19,590.35,552.1875
5550.0,599.57,550.42,589.84,550.4166666666666
5700.0,599.51,548.65,589.32,548.6458333333334
5850.0,599.43,546.88,588.8,546.875
6000.0,599.35,545.1,588.27,545.1041666666666
6150.0,599.27,543.33,587.73,543.3333333333334
6300.0,599.17,541.56,587.18,541.5625
6450.0,599.07,539.79,586.63,539.7916666666666
6600.0,598.97,538.02,586.07,538.0208333333334
6750.0,598.85,536.25,585.5,536.25
6900.0,598.73,534.48,584.93,534.4791666666666
7050.0,598.6,532.71,584.35,532.7083333333334
7200.0,598.47,530.94,583.76,530.9375
7350.0,598.33,529.17,583.17,529.1666666666666
7500.0,598.17,527.4,582.57,527.3958333333334
7650.0,598.02,525.62,581.97,525.625
7800.0,597.85,523.85,581.35,523.8541666666666
7950.0,597.68,522.08,580.73,522.0833333333334
8100.0,597.5,520.31,580.11,520.3125
8250.0,597.31,518.54,579.48,518.5416666666666
8400.0,597.12,516.77,578.84,516.7708333333334
8550.0,596.91,515.0,578.2,515.0
8700.0,596.7,513.23,577.55,513.2291666666666
8850.0,596.49,511.46,576.89,511.4583333333333
9000.0,596.26,509.69,576.23,509.6875
9150.0,596.03,507.92,575.57,507.9166666666667
9300.0,595.79,506.15,574.89,506.14583333333337
9450.0,595.54,504.38,574.21,504.375
9600.0,595.28,502.6,573.53,502.6041666666667
9750.0,595.02,500.83,572.84,500.83333333333337
9900.0,594.75,499.06,572.14,499.0625
10050.0,594.47,497.29,571.44,497.2916666666667
10200.0,594.19,495.52,570.74,495.52083333333337
10350.0,593.89,493.75,570.02,493.75
10500.0,593.59,491.98,569.3,491.9791666666667
10650.0,593.29,490.21,568.58,490.20833333333337
10800.0,592.97,488.44,567.85,488.4375
10950.0,592.65,486.67,567.12,486.6666666666667
11100.0,592.32,484.9,566.38,484.89583333333337
11250.0,591.98,483.12,565.63,483.125
11400.0,591.64,481.35,564.88,481.3541666666667
11550.0,591.29,479.58,564.13,479.58333333333337
11700.0,590.93,477.81,563.37,477.8125
11850.0,590.56,476.04,562.6,476.0416666666667
12000.0,590.19,474.27,561.83,474.27083333333337
12150.0,589.81,472.5,561.05,472.5
12300.0,589.42,470.73,560.27,470.72916666666663
12450.0,589.03,468.96,559.48,468.95833333333337
12600.0,588.63,467.19,558.69,467.1875
12750.0,588.22,465.42,557.89,465.41666666666663
12900.0,587.8,463.65,557.09,463.64583333333337
13050.0,587.38,461.88,556.28,461.875
13200.0,586.95,460.1,555.47,460.10416666666663
13350.0,586.52,458.33,554.66,458.33333333333337
13500.0,586.07,456.56,553.83,456.5625
13650.0,585.62,454.79,553.01,454.79166666666663
13800.0,585.17,453.02,552.18,453.02083333333337
13950.0,584.71,451.25,551.34,451.25
14100.0,584.24,449.48,550.5,449.47916666666663
14250.0,583.76,447.71,549.65,447.70833333333337
14400.0,583.28,445.94,548.8,445.9375
14550.0,582.79,444.17,547.95,444.16666666666663
14700.0,582.29,442.4,547.09,442.39583333333337
14850.0,581.79,440.62,546.22,440.625
15000.0,581.28,438.85,545.35,438.85416666666663
15150.0,580.76,437.08,544.48,437.08333333333337
15300.0,580.24,435.31,543.6,435.3125
15450.0,579.71,433.54,542.71,433.54166666666663
15600.0,579.18,431.77,541.83,431.77083333333337
15750.0,578.64,430.0,540.93,430.0
