Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,450.0,450.0,450.0,450.0
150.0,450.0,450.0,450.0,450.0
300.0,450.0,450.0,450.0,450.0
450.0,450.0,450.0,450.0,450.0
600.0,450.0,450.0,450.0,450.0
750.0,450.0,450.0,450.0,450.0
900.0,450.0,450.0,450.0,450.0
1050.0,450.0,450.0,450.0,450.0
1200.0,450.0,450.0,450.0,450.0
1350.0,450.0,450.0,450.0,450.0
1500.0,450.0,445.83,449.78,445.8333333333333
1650.0,450.0,441.67,449.42,441.6666666666667
1800.0,450.0,437.5,448.97,437.5
1950.0,450.0,433.33,448.46,433.3333333333333
2100.0,450.0,429.17,447.9,429.1666666666667
2250.0,450.0,425.0,447.28,425.0
2400.0,450.0,420.83,446.62,420.8333333333333
2550.0,450.0,416.67,445.92,416.6666666666667
2700.0,450.0,412.5,445.18,412.5
2850.0,450.0,408.33,444.41,408.3333333333333
3000.0,449.99,404.17,443.6,404.1666666666667
3150.0,449.99,400.0,442.77,400.0
3300.0,449.98,395.83,441.9,395.8333333333333
3450.0,449.97,391.67,441.01,391.6666666666667
3600.0,449.96,387.5,440.09,387.5
3750.0,449.94,383.33,439.15,383.33333333333337
3900.0,449.91,379.17,438.18,379.1666666666667
4050.0,449.88,375.0,437.18,375.0
4200.0,449.84,370.83,436.17,370.83333333333337
4350.0,449.79,366.67,435.13,366.6666666666667
4500.0,449.73,362.5,434.07,362.5
4650.0,449.66,358.33,432.99,358.33333333333337
4800.0,449.58,354.17,431.89,354.1666666666667
4950.0,449.49,350.0,430.77,350.0
5100.0,449.39,345.83,429.63,345.83333333333337
5250.0,449.27,341.67,428.47,341.6666666666667
5400.0,449.14,337.5,427.29,337.5
5550.0,449.0,333.33,426.09,333.33333333333337
5700.0,448.84,329.17,424.88,329.1666666666667
5850.0,448.67,325.0,423.64,325.0
6000.0,448.48,320.83,422.39,320.83333333333337
6150.0,448.28,316.67,421.13,316.6666666666667
6300.0,448.06,312.5,419.84,312.5
6450.0,447.82,308.33,418.54,308.33333333333337
6600.0,447.57,304.17,417.23,304.1666666666667
6750.0,447.3,300.0,415.89,300.0
6900.0,447.02,295.83,414.54,295.83333333333337
7050.0,446.71,291.67,413.18,291.6666666666667
7200.0,446.4,287.5,411.8,287.5
7350.0,446.06,283.33,410.4,283.33333333333337
7500.0,445.71,279.17,408.99,279.1666666666667
7650.0,445.33,275.0,407.57,275.0
7800.0,444.95,270.83,406.12,270.83333333333337
7950.0,444.54,266.67,404.67,266.6666666666667
8100.0,444.12,262.5,403.2,262.5
8250.0,443.67,258.33,401.71,258.33333333333337
8400.0,443.22,254.17,400.21,254.16666666666669
8550.0,442.74,250.0,398.7,250.0
8700.0,442.24,245.83,397.17,245.83333333333334
8850.0,441.73,241.67,395.63,241.66666666666669
9000.0,441.2,237.5,394.08,237.5
9150.0,440.65,233.33,392.51,233.33333333333334
9300.0,440.09,229.17,390.92,229.16666666666669
9450.0,439.5,225.0,389.33,225.0
9600.0,438.9,220.83,387.72,220.83333333333334
9750.0,438.28,216.67,386.09,216.66666666666669
9900.0,437.65,212.5,384.46,212.5
10050.0,436.99,208.33,382.81,208.33333333333334
10200.0,436.32,204.17,381.14,204.16666666666669
10350.0,435.63,200.0,379.47,200.0
10500.0,434.93,195.83,377.78,195.83333333333334
10650.0,434.2,191.67,376.07,191.66666666666669
10800.0,433.46,187.5,374.36,187.5
10950.0,432.7,183.33,372.63,183.33333333333337
11100.0,431.93,179.17,370.89,179.16666666666669
11250.0,431.14,175.0,369.1,175.0
11400.0,430.33,170.83,367.3,170.83333333333337
11550.0,429.5,166.67,365.5,166.66666666666669
11700.0,428.65,162.5,363.64,162.5
11850.0,427.79,158.33,361.8,158.33333333333337
12000.0,426.92,154.17,359.93,154.16666666666669
12150.0,426.02,150.0,357.99,150.0
12300.0,425.11,145.83,356.08,145.83333333333337
12450.0,424.18,141.67,354.12,141.66666666666669
12600.0,423.24,137.5,352.14,137.5
12750.0,422.28,133.33,350.17,133.33333333333337
12900.0,421.3,129.17,348.12,129.16666666666669
13050.0,420.31,125.0,346.08,125.0
13200.0,419.3,120.83,344.02,120.83333333333337
13350.0,418.27,116.67,341.9,116.66666666666669
13500.0,417.23,112.5,339.81,112.5
13650.0,416.16,108.33,337.65,108.33333333333337
13800.0,415.09,104.17,335.47,104.16666666666669
13950.0,413.99,100.0,333.32,100.0
14100.0,412.88,95.833,331.06,95.83333333333337
14250.0,411.75,91.667,328.84,91.66666666666669
14400.0,410.6,87.5,326.58,87.5
14550.0,409.44,83.333,324.27,83.33333333333337
14700.0,408.25,79.167,321.99,79.16666666666669
14850.0,407.05,75.0,319.66,75.0
15000.0,405.83,70.833,317.32,70.83333333333337
15150.0,404.6,66.667,314.99,66.66666666666669
15300.0,403.34,62.5,312.6,62.5
15450.0,402.06,58.333,310.21,58.33333333333337
15600.0,400.77,54.167,307.82,54.166666666666686
15750.0,399.46,50.0,305.39,50.0
