Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,450.0,450.0,450.0,450.0
150.0,450.0,450.0,450.0,450.0
300.0,450.0,450.0,450.0,450.0
450.0,450.0,450.0,450.0,450.0
600.0,450.0,450.0,450.0,450.0
750.0,450.0,450.0,450.0,450.0
900.0,450.0,450.0,450.0,450.0
1050.0,450.0,450.0,450.0,450.0
1200.0,450.0,450.0,450.0,450.0
1350.0,450.0,450.0,450.0,450.0
1500.0,446.66,446.66,449.71,446.5625
1650.0,443.26,443.26,449.24,443.125
1800.0,439.85,439.85,448.67,439.6875
1950.0,436.44,436.44,448.02,436.25
2100.0,433.03,433.03,447.3,432.8125
2250.0,429.61,429.61,446.52,429.375
2400.0,426.2,426.2,445.69,425.9375
2550.0,422.78,422.78,444.81,422.5
2700.0,419.36,419.36,443.88,419.0625
2850.0,415.94,415.94,442.92,415.625
3000.0,412.52,412.52,441.91,412.1875
3150.0,409.1,409.1,440.86,408.75
3300.0,405.68,405.68,439.77,405.3125
3450.0,402.26,402.26,438.65,401.875
3600.0,398.84,398.84,437.5,398.4375
3750.0,395.42,395.42,436.31,395.0
3900.0,392.0,392.0,435.09,391.5625
4050.0,388.58,388.58,433.83,388.125
4200.0,385.16,385.16,432.55,384.6875
4350.0,381.74,381.74,431.23,381.25
4500.0,378.31,378.31,429.89,377.8125
4650.0,374.89,374.89,428.51,374.375
4800.0,371.47,371.47,427.11,370.9375
4950.0,368.05,368.05,425.68,367.5
5100.0,364.62,364.62,424.22,364.0625
5250.0,361.2,361.2,422.73,360.625
5400.0,357.79,357.79,421.19,357.1875
5550.0,354.36,354.36,419.62,353.75
5700.0,350.94,350.94,418.03,350.3125
5850.0,347.51,347.51,416.42,346.875
6000.0,344.09,344.09,414.79,343.4375
6150.0,340.66,340.66,413.13,340.0
6300.0,337.24,337.24,411.45,336.5625
6450.0,333.81,333.81,409.74,333.125
6600.0,330.39,330.39,408.01,329.6875
6750.0,326.96,326.96,406.26,326.25
6900.0,323.54,323.54,404.48,322.8125
7050.0,320.11,320.11,402.68,319.375
7200.0,316.69,316.69,400.86,315.9375
7350.0,313.29,313.29,398.98,312.5
7500.0,309.86,309.86,397.05,309.0625
7650.0,306.43,306.43,395.1,305.625
7800.0,303.0,303.0,393.14,302.1875
7950.0,299.57,299.57,391.17,298.75
8100.0,296.15,296.15,389.18,295.3125
8250.0,292.72,292.72,387.17,291.875
8400.0,289.29,289.29,385.14,288.4375
8550.0,285.86,285.86,383.1,285.0
8700.0,282.44,282.44,381.03,281.5625
8850.0,279.01,279.01,378.95,278.125
9000.0,275.58,275.58,376.84,274.6875
9150.0,272.15,272.15,374.72,271.25
9300.0,268.76,268.76,372.57,267.8125
9450.0,265.33,265.33,370.33,264.375
9600.0,261.9,261.9,368.08,260.9375
9750.0,258.47,258.47,365.82,257.5
9900.0,255.04,255.04,363.55,254.0625
10050.0,251.61,251.61,361.26,250.625
10200.0,248.18,248.18,358.97,247.18750000000003
10350.0,244.75,244.75,356.65,243.75000000000003
10500.0,241.32,241.32,354.33,240.31250000000003
10650.0,237.89,237.89,351.98,236.87500000000003
10800.0,234.46,234.46,349.63,233.43750000000003
10950.0,231.03,231.03,347.25,230.00000000000003
11100.0,227.6,227.6,344.87,226.56250000000003
11250.0,224.17,224.17,342.47,223.12500000000003
11400.0,220.78,220.78,339.95,219.68750000000003
11550.0,217.35,217.35,337.43,216.25000000000003
11700.0,213.92,213.92,334.9,212.81250000000003
11850.0,210.48,210.48,332.36,209.37500000000003
12000.0,207.05,207.05,329.81,205.93750000000003
12150.0,203.62,203.62,327.25,202.50000000000003
12300.0,200.19,200.19,324.68,199.06250000000003
12450.0,196.76,196.76,322.1,195.62500000000003
12600.0,193.33,193.33,319.5,192.1875
12750.0,189.9,189.9,316.9,188.75
12900.0,186.47,186.47,314.28,185.3125
13050.0,183.04,183.04,311.65,181.875
13200.0,179.61,179.61,309.0,178.4375
13350.0,176.21,176.21,306.26,175.0
13500.0,172.78,172.78,303.49,171.5625
13650.0,169.35,169.35,300.71,168.125
13800.0,165.91,165.91,297.92,164.6875
13950.0,162.48,162.48,295.13,161.25
14100.0,159.05,159.05,292.33,157.8125
14250.0,155.62,155.62,289.52,154.375
14400.0,152.18,152.18,286.71,150.9375
14550.0,148.75,148.75,283.88,147.5
14700.0,145.32,145.32,281.05,144.0625
14850.0,141.89,141.89,278.2,140.625
15000.0,138.45,138.45,275.35,137.1875
15150.0,135.02,135.02,272.49,133.75
15300.0,131.63,131.63,269.54,130.3125
15450.0,128.19,128.19,266.54,126.875
15600.0,124.76,124.76,263.54,123.4375
15750.0,121.32,121.32,260.53,120.0
