Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,300.0,300.0,300.0,300.0
150.0,300.0,300.0,300.0,300.0
300.0,300.0,300.0,300.0,300.0
450.0,300.0,300.0,300.0,300.0
600.0,300.0,300.0,300.0,300.0
750.0,300.0,300.0,300.0,300.0
900.0,300.0,300.0,300.0,300.0
1050.0,300.0,300.0,300.0,300.0
1200.0,300.0,300.0,300.0,300.0
1350.0,300.0,300.0,300.0,300.0
1500.0,287.02,300.0,299.03,287.0
1650.0,286.12,300.0,298.73,286.0
1800.0,281.65,300.0,298.21,281.5
1950.0,280.09,300.0,297.74,280.0
2100.0,280.08,300.0,297.43,280.0
2250.0,280.07,300.0,297.17,280.0
2400.0,279.59,300.0,296.92,279.5
2550.0,278.09,300.0,296.61,278.0
2700.0,276.6,300.0,296.29,276.5
2850.0,275.1,299.99,295.95,275.0
3000.0,273.6,299.99,295.59,273.5
3150.0,272.11,299.98,295.23,272.0
3300.0,270.61,299.97,294.86,270.5
3450.0,269.6,299.95,294.5,269.5
3600.0,268.85,299.94,294.17,268.75
3750.0,268.1,299.91,293.85,268.0
3900.0,267.35,299.89,293.54,267.25
4050.0,266.6,299.85,293.23,266.5
4200.0,265.85,299.82,292.92,265.75
4350.0,265.1,299.77,292.61,265.0
4500.0,264.35,299.73,292.31,264.25
4650.0,263.6,299.67,292.0,263.5
4800.0,262.85,299.61,291.7,262.75
4950.0,262.1,299.55,291.39,262.0
5100.0,261.36,299.48,291.08,261.25
5250.0,260.61,299.41,290.78,260.5
5400.0,259.62,299.33,290.46,259.5
5550.0,258.12,299.24,290.1,258.0
5700.0,256.63,299.15,289.72,256.5
5850.0,255.13,299.05,289.32,255.0
6000.0,253.64,298.95,288.92,253.5
6150.0,252.14,298.85,288.5,252.0
6300.0,250.64,298.74,288.07,250.5
6450.0,249.15,298.62,287.63,249.0
6600.0,247.65,298.5,287.18,247.5
6750.0,246.15,298.38,286.73,246.0
6900.0,244.66,298.25,286.26,244.5
7050.0,243.16,298.12,285.79,243.0
7200.0,241.66,297.98,285.31,241.5
7350.0,240.17,297.84,284.83,240.0
7500.0,238.67,297.69,284.34,238.5
7650.0,237.17,297.54,283.84,237.0
7800.0,235.67,297.38,283.33,235.5
7950.0,234.18,297.22,282.82,234.0
8100.0,232.68,297.06,282.31,232.5
8250.0,231.18,296.89,281.78,231.0
8400.0,228.97,296.71,281.23,228.75
8550.0,225.24,296.53,280.54,225.0
8700.0,197.96,296.34,278.26,197.5
8850.0,193.7,296.15,276.76,193.33333333333334
9000.0,191.18,295.95,275.53,190.83333333333334
9150.0,188.91,295.75,274.41,188.57142857142858
9300.0,186.76,295.54,273.36,186.42857142857142
9450.0,184.61,295.33,272.34,184.28571428571428
9600.0,182.47,295.11,271.32,182.14285714285714
9750.0,180.33,294.88,270.33,180.0
9900.0,178.82,294.65,269.39,178.5
10050.0,177.31,294.4,268.48,177.0
10200.0,175.81,294.15,267.59,175.5
10350.0,174.32,293.88,266.7,174.0
10500.0,172.82,293.61,265.8,172.5
10650.0,171.32,293.32,264.92,171.0
10800.0,169.82,293.02,264.06,169.5
10950.0,168.32,292.7,263.2,168.0
11100.0,166.82,292.38,262.35,166.5
11250.0,165.32,292.03,261.5,165.0
11400.0,163.82,291.68,260.66,163.5
11550.0,162.33,291.31,259.77,162.0
11700.0,160.83,290.93,258.89,160.5
11850.0,159.33,290.54,258.03,159.0
12000.0,157.83,290.13,257.17,157.5
12150.0,156.33,289.71,256.32,156.0
12300.0,154.83,289.28,255.46,154.5
12450.0,153.33,288.84,254.61,153.0
12600.0,151.84,288.38,253.74,151.5
12750.0,150.34,287.92,252.83,150.0
12900.0,148.84,287.45,251.94,148.5
13050.0,147.34,286.96,251.06,147.0
13200.0,145.84,286.47,250.18,145.5
13350.0,144.34,285.97,249.3,144.0
13500.0,142.84,285.46,248.42,142.5
13650.0,141.35,284.93,247.55,141.0
13800.0,139.38,284.41,246.6,139.0
13950.0,136.39,283.87,245.57,136.0
14100.0,133.4,283.32,244.5,133.0
14250.0,130.41,282.77,243.4,130.0
14400.0,127.43,282.21,242.24,127.0
14550.0,124.43,281.64,241.06,124.0
14700.0,121.44,281.06,239.87,121.0
14850.0,118.44,280.48,238.67,118.0
15000.0,115.46,279.88,237.4,115.0
15150.0,112.47,279.29,236.12,112.0
15300.0,109.89,278.68,234.86,109.44444444444444
15450.0,108.22,278.06,233.67,107.77777777777777
15600.0,106.57,277.44,232.49,106.11111111111111
15750.0,100.66,276.81,231.12,100.0
