Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,559.42,559.42,559.42,559.42
150.0,559.42,559.42,559.42,559.42
300.0,559.42,559.42,559.42,559.42
450.0,559.42,559.42,559.42,559.42
600.0,559.42,559.42,559.42,559.42
750.0,559.42,559.42,559.42,559.42
900.0,559.42,559.42,559.42,559.42
1050.0,559.42,559.42,559.42,559.42
1200.0,559.42,559.42,559.42,559.42
1350.0,559.42,559.42,559.42,559.42
1500.0,559.42,549.67,557.93,549.67
1650.0,559.42,536.98,555.54,536.98
1800.0,559.42,527.64,553.16,527.635
1950.0,559.42,521.01,551.14,521.01
2100.0,559.4,514.29,549.08,514.2858333333334
2250.0,559.35,507.17,546.88,507.165
2400.0,559.27,500.04,544.59,500.0441666666667
2550.0,559.12,495.17,542.55,495.17333333333335
2700.0,558.92,490.86,540.65,490.865
2850.0,558.64,485.03,538.56,485.0333333333333
3000.0,558.29,476.92,535.99,476.9166666666667
3150.0,557.87,468.8,533.26,468.8
3300.0,557.37,458.66,530.12,458.6625
3450.0,556.8,448.52,526.77,448.52500000000003
3600.0,556.15,443.04,523.92,443.0425
3750.0,555.43,440.66,521.74,440.66333333333336
3900.0,554.62,437.37,519.59,437.37
4050.0,553.74,430.42,516.86,430.41999999999996
4200.0,552.76,423.47,513.99,423.46999999999997
4350.0,551.7,417.34,511.16,417.33666666666664
4500.0,550.57,411.41,508.33,411.4075
4650.0,549.37,406.59,505.61,406.5866666666667
4800.0,548.09,403.43,503.2,403.42833333333334
4950.0,546.75,400.27,500.85,400.27
5100.0,545.35,395.92,498.34,395.91999999999996
5250.0,543.87,391.57,495.8,391.57
5400.0,542.34,386.89,493.19,386.895
5550.0,540.76,382.0,490.5,382.00333333333333
5700.0,539.12,376.7,487.72,376.695
5850.0,537.44,369.72,484.6,369.72
6000.0,535.72,362.74,481.37,362.745
6150.0,533.95,358.62,478.47,358.6166666666667
6300.0,532.14,355.2,475.76,355.2
6450.0,530.29,351.93,473.12,351.9266666666666
6600.0,528.39,348.87,470.55,348.86833333333334
6750.0,526.44,345.81,468.0,345.81
6900.0,524.45,342.96,465.49,342.9558333333333
7050.0,522.42,340.1,463.0,340.10166666666663
7200.0,520.35,335.86,460.33,335.86249999999995
7350.0,518.25,330.7,457.36,330.7
7500.0,516.12,326.02,454.38,326.0233333333333
7650.0,513.96,323.29,451.71,323.28999999999996
7800.0,511.78,320.56,449.11,320.5566666666667
7950.0,509.58,316.96,446.4,316.95666666666665
8100.0,507.34,313.14,443.63,313.14
8250.0,505.09,309.81,440.91,309.81333333333333
8400.0,502.8,307.22,438.32,307.2216666666667
8550.0,500.5,304.63,435.76,304.63
8700.0,498.17,304.38,433.58,304.38
8850.0,495.82,304.13,431.52,304.13
9000.0,493.46,303.08,429.43,303.08
9150.0,491.08,301.5,427.25,301.49666666666667
9300.0,488.68,299.6,425.04,299.5975
9450.0,486.29,296.43,422.61,296.435
9600.0,483.89,293.27,420.12,293.2725
9750.0,481.49,292.07,417.9,292.06666666666666
9900.0,479.1,291.35,415.75,291.35
10050.0,476.71,290.13,413.59,290.12666666666667
10200.0,474.33,288.14,411.33,288.1433333333334
10350.0,471.94,286.16,409.06,286.16
10500.0,469.56,284.14,406.79,284.1391666666667
10650.0,467.18,282.12,404.53,282.11833333333334
10800.0,464.8,281.06,402.4,281.06
10950.0,462.42,280.64,400.45,280.6433333333333
11100.0,460.05,280.25,398.56,280.25083333333333
11250.0,457.68,279.95,396.72,279.95500000000004
11400.0,455.32,279.66,394.93,279.6591666666667
11550.0,452.96,278.08,392.98,278.07666666666665
11700.0,450.62,276.17,390.94,276.1725
11850.0,448.29,275.02,388.97,275.0233333333333
12000.0,445.97,275.01,387.23,275.00666666666666
12150.0,443.67,274.99,385.56,274.99
12300.0,441.39,272.14,383.49,272.1441666666667
12450.0,439.12,269.3,381.31,269.29833333333335
12600.0,436.86,268.64,379.4,268.64
12750.0,434.63,269.44,377.82,269.44
12900.0,432.41,269.87,376.25,269.8691666666667
13050.0,430.2,268.82,374.49,268.815
13200.0,428.01,267.76,372.7,267.7608333333333
13350.0,425.82,266.87,370.95,266.8666666666667
13500.0,423.64,266.01,369.21,266.0125
13650.0,421.48,265.26,367.5,265.26
13800.0,419.33,264.66,365.84,264.66
13950.0,417.2,264.06,364.2,264.06
14100.0,415.08,262.91,362.5,262.9141666666667
14250.0,412.98,261.77,360.78,261.7683333333333
14400.0,410.9,261.12,359.14,261.1175
14550.0,408.84,260.8,357.59,260.7966666666667
14700.0,406.79,260.42,356.06,260.41833333333335
14850.0,404.76,259.81,354.52,259.81
15000.0,402.75,259.2,352.99,259.20166666666665
15150.0,400.75,258.59,351.47,258.59
15300.0,398.77,257.98,349.97,257.9775
15450.0,396.81,257.33,348.47,257.33000000000004
15600.0,394.87,256.63,346.98,256.63
15750.0,392.95,255.93,345.49,255.93
