Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,100.0,100.0,100.0,100.0
150.0,100.0,101.56,100.26,101.5625
300.0,100.0,103.13,100.61,103.125
450.0,100.0,104.69,101.01,104.6875
600.0,100.01,106.25,101.45,106.25
750.0,100.02,107.81,101.93,107.8125
900.0,100.06,109.38,102.43,109.375
1050.0,100.11,110.94,102.97,110.9375
1200.0,100.18,112.5,103.53,112.5
1350.0,100.28,114.06,104.11,114.0625
1500.0,100.4,115.63,104.71,115.625
1650.0,100.55,117.19,105.34,117.1875
1800.0,100.73,118.75,105.99,118.75
1950.0,100.94,120.31,106.65,120.3125
2100.0,101.17,121.88,107.34,121.875
2250.0,101.43,123.44,108.04,123.4375
2400.0,101.71,125.0,108.77,125.0
2550.0,102.03,126.56,109.51,126.5625
2700.0,102.36,128.13,110.26,128.125
2850.0,102.73,129.69,111.04,129.6875
3000.0,103.12,131.25,111.83,131.25
3150.0,103.53,132.81,112.64,132.8125
3300.0,103.97,134.38,113.46,134.375
3450.0,104.43,135.94,114.3,135.9375
3600.0,104.91,137.5,115.15,137.5
3750.0,105.41,139.06,116.02,139.0625
3900.0,105.94,140.63,116.9,140.625
4050.0,106.49,142.19,117.8,142.1875
4200.0,107.06,143.75,118.71,143.75
4350.0,107.65,145.31,119.64,145.3125
4500.0,108.26,146.88,120.54,146.875
4650.0,108.88,148.44,121.47,148.4375
4800.0,109.52,150.0,122.41,150.0
4950.0,110.18,151.56,123.37,151.5625
5100.0,110.85,153.13,124.34,153.125
5250.0,111.54,154.69,125.32,154.6875
5400.0,112.25,156.25,126.32,156.25
5550.0,112.97,157.81,127.32,157.8125
5700.0,113.71,159.38,128.34,159.375
5850.0,114.47,160.94,129.37,160.9375
6000.0,115.24,162.5,130.41,162.5
6150.0,116.02,164.06,131.47,164.0625
6300.0,116.83,165.63,132.53,165.625
6450.0,117.65,167.19,133.6,167.1875
6600.0,118.48,168.75,134.68,168.75
6750.0,119.33,170.31,135.78,170.3125
6900.0,120.19,171.88,136.88,171.875
7050.0,121.07,173.44,137.99,173.4375
7200.0,121.96,175.0,139.11,175.0
7350.0,122.87,176.56,140.24,176.5625
7500.0,123.78,178.13,141.38,178.125
7650.0,124.72,179.69,142.52,179.6875
7800.0,125.66,181.25,143.68,181.25
7950.0,126.62,182.81,144.84,182.8125
8100.0,127.59,184.38,146.01,184.375
8250.0,128.57,185.94,147.19,185.9375
8400.0,129.56,187.5,148.38,187.5
8550.0,130.56,189.06,149.58,189.0625
8700.0,131.58,190.63,150.78,190.625
8850.0,132.57,192.19,151.93,192.1875
9000.0,133.56,193.75,153.1,193.75
9150.0,134.56,195.31,154.27,195.3125
9300.0,135.57,196.88,155.46,196.875
9450.0,136.58,198.44,156.66,198.4375
9600.0,137.61,200.0,157.86,200.0
9750.0,138.64,201.56,159.07,201.5625
9900.0,139.69,203.13,160.28,203.125
10050.0,140.74,204.69,161.51,204.6875
10200.0,141.8,206.25,162.74,206.25
10350.0,142.88,207.81,163.98,207.8125
10500.0,143.96,209.38,165.22,209.375
10650.0,145.05,210.94,166.47,210.9375
10800.0,146.15,212.5,167.73,212.5
10950.0,147.25,214.06,168.99,214.0625
11100.0,148.37,215.63,170.26,215.625
11250.0,149.5,217.19,171.53,217.1875
11400.0,150.63,218.75,172.81,218.75
11550.0,151.77,220.31,174.1,220.3125
11700.0,152.92,221.88,175.39,221.875
11850.0,154.08,223.44,176.68,223.4375
12000.0,155.24,225.0,177.98,225.0
12150.0,156.42,226.56,179.29,226.5625
12300.0,157.6,228.13,180.6,228.125
12450.0,158.79,229.69,181.92,229.6875
12600.0,159.98,231.25,183.24,231.25
12750.0,161.19,232.81,184.56,232.8125
12900.0,162.39,234.38,185.89,234.375
13050.0,163.61,235.94,187.23,235.9375
13200.0,164.77,237.5,188.49,237.5
13350.0,165.93,239.06,189.77,239.0625
13500.0,167.09,240.63,191.06,240.625
13650.0,168.26,242.19,192.35,242.1875
13800.0,169.44,243.75,193.65,243.75
13950.0,170.62,245.31,194.95,245.3125
14100.0,171.81,246.88,196.26,246.875
14250.0,173.0,248.44,197.58,248.4375
14400.0,174.2,250.0,198.9,250.0
