Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,149.0,149.0,149.0,149.0
150.0,149.0,150.7,149.29,150.69791666666666
300.0,149.0,152.39,149.66,152.39583333333334
450.0,149.0,154.09,150.1,154.09375
600.0,149.01,155.79,150.57,155.79166666666666
750.0,149.02,157.49,151.08,157.48958333333334
900.0,149.05,159.18,151.62,159.1875
1050.0,149.09,160.88,152.2,160.88541666666666
1200.0,149.16,162.58,152.79,162.58333333333334
1350.0,149.25,164.28,153.42,164.28125
1500.0,149.36,165.97,154.06,165.97916666666666
1650.0,149.5,167.67,154.73,167.67708333333334
1800.0,149.67,169.37,155.42,169.375
1950.0,149.87,171.07,156.13,171.07291666666666
2100.0,150.09,172.76,156.86,172.77083333333334
2250.0,150.35,174.46,157.6,174.46875
2400.0,150.62,176.16,158.37,176.16666666666666
2550.0,150.93,177.86,159.16,177.86458333333334
2700.0,151.26,179.55,159.96,179.5625
2850.0,151.62,181.25,160.78,181.26041666666666
3000.0,152.01,182.95,161.62,182.95833333333334
3150.0,152.42,184.65,162.48,184.65625
3300.0,152.85,186.34,163.35,186.35416666666666
3450.0,153.31,188.04,164.24,188.05208333333334
3600.0,153.79,189.74,165.14,189.75
3750.0,154.3,191.44,166.06,191.44791666666666
3900.0,154.83,193.13,166.99,193.14583333333334
4050.0,155.38,194.83,167.93,194.84375
4200.0,155.95,196.53,168.86,196.54166666666666
4350.0,156.54,198.23,169.82,198.23958333333334
4500.0,157.14,199.93,170.78,199.9375
4650.0,157.77,201.62,171.77,201.63541666666666
4800.0,158.41,203.32,172.77,203.33333333333334
4950.0,159.07,205.02,173.78,205.03125
5100.0,159.75,206.72,174.81,206.72916666666666
5250.0,160.45,208.41,175.85,208.42708333333334
5400.0,161.17,210.11,176.9,210.125
5550.0,161.91,211.81,177.97,211.82291666666666
5700.0,162.66,213.51,179.04,213.52083333333331
5850.0,163.43,215.2,180.13,215.21875
6000.0,164.22,216.9,181.23,216.91666666666669
6150.0,165.02,218.6,182.35,218.61458333333331
6300.0,165.84,220.3,183.47,220.3125
6450.0,166.68,222.0,184.6,222.01041666666669
6600.0,167.54,223.69,185.75,223.70833333333331
6750.0,168.41,225.39,186.9,225.40625
6900.0,169.29,227.09,188.07,227.10416666666669
7050.0,170.2,228.79,189.25,228.80208333333331
7200.0,171.11,230.48,190.43,230.5
7350.0,172.04,232.18,191.63,232.19791666666669
7500.0,172.99,233.88,192.83,233.89583333333331
7650.0,173.95,235.58,194.05,235.59375
7800.0,174.93,237.28,195.27,237.29166666666669
7950.0,175.91,238.97,196.5,238.98958333333331
8100.0,176.89,240.67,197.7,240.6875
8250.0,177.87,242.37,198.9,242.38541666666669
8400.0,178.85,244.07,200.11,244.08333333333331
8550.0,179.85,245.76,201.33,245.78125
8700.0,180.86,247.46,202.57,247.47916666666669
8850.0,181.87,249.16,203.81,249.17708333333331
9000.0,182.9,250.86,205.06,250.875
9150.0,183.94,252.56,206.32,252.57291666666669
9300.0,184.99,254.25,207.59,254.27083333333331
9450.0,186.05,255.95,208.86,255.96875
9600.0,187.12,257.65,210.15,257.6666666666667
9750.0,188.2,259.35,211.44,259.3645833333333
9900.0,189.29,261.04,212.74,261.0625
10050.0,190.39,262.74,214.05,262.7604166666667
10200.0,191.51,264.44,215.36,264.4583333333333
10350.0,192.63,266.14,216.68,266.15625
10500.0,193.77,267.84,218.01,267.8541666666667
10650.0,194.91,269.53,219.34,269.5520833333333
10800.0,196.07,271.23,220.68,271.25
10950.0,197.23,272.93,222.03,272.9479166666667
11100.0,198.4,274.63,223.38,274.6458333333333
11250.0,199.59,276.32,224.74,276.34375
11400.0,200.78,278.02,226.11,278.04166666666663
11550.0,201.98,279.72,227.48,279.73958333333337
11700.0,203.19,281.42,228.86,281.4375
11850.0,204.41,283.12,230.24,283.13541666666663
12000.0,205.64,284.81,231.63,284.83333333333337
12150.0,206.82,286.51,232.96,286.53125
12300.0,208.0,288.21,234.3,288.22916666666663
12450.0,209.2,289.91,235.66,289.92708333333337
12600.0,210.4,291.61,237.02,291.625
12750.0,211.6,293.3,238.38,293.32291666666663
12900.0,212.81,295.0,239.76,295.02083333333337
13050.0,214.03,296.7,241.13,296.71875
13200.0,215.26,298.4,242.52,298.41666666666663
13350.0,216.5,300.09,243.91,300.11458333333337
13500.0,217.74,301.79,245.31,301.8125
13650.0,218.99,303.49,246.71,303.51041666666663
13800.0,220.24,305.19,248.11,305.20833333333337
13950.0,221.51,306.89,249.53,306.90625
14100.0,222.78,308.58,250.94,308.60416666666663
14250.0,224.06,310.28,252.36,310.30208333333337
14400.0,225.34,311.98,253.79,312.0
