Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,400.0,400.0,400.0,400.0
150.0,395.83,400.0,398.58,395.8333333333333
300.0,391.67,399.97,396.9,391.6666666666667
450.0,387.5,399.84,395.07,387.5
600.0,383.33,399.57,393.13,383.3333333333333
750.0,379.17,399.15,391.09,379.1666666666667
900.0,375.0,398.58,388.96,375.0
1050.0,370.83,397.87,386.75,370.8333333333333
1200.0,366.67,397.0,384.45,366.6666666666667
1350.0,362.5,396.0,382.07,362.5
1500.0,358.33,394.87,379.62,358.3333333333333
1650.0,354.17,393.61,377.1,354.1666666666667
1800.0,350.0,392.22,374.5,350.0
1950.0,345.83,390.72,371.84,345.8333333333333
2100.0,341.67,389.11,369.12,341.6666666666667
2250.0,337.5,387.39,366.34,337.5
2400.0,333.33,385.57,363.5,333.33333333333337
2550.0,329.17,383.65,360.6,329.1666666666667
2700.0,325.0,381.63,357.65,325.0
2850.0,320.83,379.53,354.65,320.83333333333337
3000.0,316.67,377.34,351.6,316.6666666666667
3150.0,312.5,375.06,348.5,312.5
3300.0,308.33,372.71,345.36,308.33333333333337
3450.0,304.17,370.28,342.17,304.1666666666667
3600.0,300.0,367.77,338.95,300.0
3750.0,295.83,365.2,335.68,295.83333333333337
3900.0,291.67,362.56,332.38,291.6666666666667
4050.0,287.5,359.85,329.04,287.5
4200.0,283.33,357.09,325.66,283.33333333333337
4350.0,279.17,354.26,322.25,279.1666666666667
4500.0,275.0,351.38,318.81,275.0
4650.0,270.83,348.45,315.34,270.83333333333337
4800.0,266.67,345.46,311.84,266.6666666666667
4950.0,262.5,342.42,308.31,262.5
5100.0,258.33,339.34,304.76,258.33333333333337
5250.0,254.17,336.21,301.18,254.16666666666669
5400.0,250.0,333.04,297.57,250.0
5550.0,245.83,329.82,293.95,245.83333333333334
5700.0,241.67,326.57,290.29,241.66666666666669
5850.0,237.5,323.27,286.62,237.5
6000.0,233.33,319.94,282.93,233.33333333333334
6150.0,229.17,316.58,279.21,229.16666666666669
6300.0,225.0,313.18,275.48,225.0
6450.0,220.83,309.75,271.73,220.83333333333334
6600.0,216.67,306.29,267.96,216.66666666666669
6750.0,212.5,302.79,264.18,212.5
6900.0,208.33,299.27,260.38,208.33333333333334
7050.0,204.17,295.73,256.56,204.16666666666669
7200.0,200.0,292.15,252.73,200.0
7350.0,200.0,288.56,250.3,200.0
7500.0,200.0,284.97,248.13,200.0
7650.0,200.0,281.45,246.08,200.0
7800.0,200.0,278.05,244.14,200.0
7950.0,200.0,274.78,242.28,200.0
8100.0,200.0,271.64,240.5,200.0
8250.0,200.0,268.63,238.8,200.0
8400.0,200.0,265.75,237.17,200.0
8550.0,200.0,262.99,235.61,200.0
8700.0,200.0,260.34,234.11,200.0
8850.0,200.0,257.81,232.68,200.0
9000.0,200.0,255.38,231.3,200.0
9150.0,200.0,253.05,229.99,200.0
9300.0,200.0,250.82,228.73,200.0
9450.0,200.0,248.69,227.52,200.0
9600.0,200.0,246.64,226.37,200.0
9750.0,200.0,244.68,225.26,200.0
9900.0,200.0,242.8,224.2,200.0
10050.0,200.0,241.01,223.18,200.0
10200.0,200.0,239.28,222.21,200.0
10350.0,200.0,237.63,221.27,200.0
10500.0,200.0,236.05,220.38,200.0
10650.0,200.0,234.54,219.52,200.0
10800.0,200.0,233.09,218.7,200.0
10950.0,200.0,231.7,217.92,200.0
11100.0,200.0,230.36,217.16,200.0
11250.0,200.0,229.09,216.44,200.0
11400.0,200.0,227.87,215.75,200.0
11550.0,200.0,226.69,215.09,200.0
11700.0,200.0,225.57,214.46,200.0
11850.0,200.0,224.5,213.85,200.0
12000.0,200.0,223.47,213.27,200.0
12150.0,200.0,222.48,212.71,200.0
12300.0,200.0,221.54,212.18,200.0
12450.0,200.0,220.63,211.66,200.0
12600.0,200.0,219.77,211.17,200.0
12750.0,200.0,218.94,210.7,200.0
12900.0,200.0,218.14,210.25,200.0
13050.0,200.0,217.38,209.82,200.0
13200.0,200.0,216.65,209.41,200.0
13350.0,200.0,215.95,209.02,200.0
13500.0,200.0,215.28,208.64,200.0
13650.0,200.0,214.64,208.27,200.0
13800.0,200.0,214.02,207.93,200.0
13950.0,200.0,213.43,207.59,200.0
14100.0,200.0,212.87,207.27,200.0
14250.0,200.0,212.33,206.97,200.0
14400.0,200.0,211.81,206.68,200.0
