Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,160.0,160.0,160.0,160.0
150.0,160.0,174.25,162.32,174.25
300.0,160.0,188.5,165.41,188.5
450.0,160.01,197.35,168.17,197.35
600.0,160.04,202.6,170.28,202.6
750.0,160.14,207.57,172.3,207.57500000000002
900.0,160.34,211.45,174.11,211.45
1050.0,160.64,215.32,175.9,215.325
1200.0,161.05,218.7,177.62,218.7
1350.0,161.56,221.95,179.3,221.95
1500.0,162.17,225.02,180.96,225.01666666666668
1650.0,162.86,227.81,182.57,227.80833333333334
1800.0,163.63,230.6,184.18,230.6
1950.0,164.47,233.14,185.76,233.14166666666665
2100.0,165.36,235.68,187.33,235.68333333333334
2250.0,166.31,238.07,188.89,238.075
2400.0,167.31,240.37,190.42,240.36666666666665
2550.0,168.35,242.62,191.96,242.61666666666665
2700.0,169.43,244.7,193.47,244.7
2850.0,170.54,246.78,194.98,246.78333333333333
3000.0,171.69,248.8,196.48,248.79999999999998
3150.0,172.85,250.8,197.97,250.8
3300.0,174.02,252.75,199.41,252.75
3450.0,175.2,254.63,200.84,254.625
3600.0,176.4,256.5,202.28,256.5
3750.0,177.62,258.25,203.7,258.25
3900.0,178.85,260.0,205.13,260.0
4050.0,180.09,261.7,206.55,261.7
4200.0,181.34,263.37,207.97,263.3666666666667
4350.0,182.6,265.02,209.38,265.01666666666665
4500.0,183.87,266.6,210.79,266.6
4650.0,185.16,268.18,212.19,268.18333333333334
4800.0,186.45,269.73,213.6,269.73333333333335
4950.0,187.75,271.27,215.0,271.275
5100.0,189.06,272.8,216.39,272.8
5250.0,190.37,274.3,217.79,274.3
5400.0,191.7,275.8,219.18,275.8
5550.0,193.02,277.22,220.56,277.2166666666667
5700.0,194.35,278.63,221.94,278.6333333333333
5850.0,195.69,280.02,223.31,280.025
6000.0,197.03,281.4,224.68,281.4
6150.0,198.37,282.77,226.05,282.76666666666665
6300.0,199.72,284.1,227.41,284.1
6450.0,201.07,285.43,228.76,285.43333333333334
6600.0,202.42,286.73,230.11,286.73333333333335
6750.0,203.77,288.02,231.45,288.025
6900.0,205.12,289.3,232.79,289.3
7050.0,206.48,290.55,234.12,290.55
7200.0,207.83,291.8,235.45,291.8
7350.0,209.18,293.01,236.77,293.0083333333333
7500.0,210.54,294.22,238.09,294.21666666666664
7650.0,211.89,295.4,239.4,295.4
7800.0,213.18,296.57,240.65,296.56666666666666
7950.0,214.45,297.73,241.88,297.73333333333335
8100.0,215.72,298.9,243.12,298.9
8250.0,216.99,300.07,244.35,300.06666666666666
8400.0,218.25,301.2,245.57,301.2
8550.0,219.52,302.33,246.8,302.325
8700.0,220.78,303.45,248.01,303.45
8850.0,222.04,304.58,249.23,304.575
9000.0,223.3,305.7,250.45,305.7
9150.0,224.55,306.78,251.65,306.7833333333333
9300.0,225.81,307.87,252.86,307.8666666666667
9450.0,227.06,308.92,254.05,308.925
9600.0,228.31,309.97,255.24,309.9666666666667
9750.0,229.56,311.01,256.43,311.0083333333333
9900.0,230.8,312.05,257.61,312.05
10050.0,232.05,313.09,258.79,313.0916666666667
10200.0,233.29,314.1,259.96,314.1
10350.0,234.53,315.1,261.13,315.1
10500.0,235.76,316.1,262.29,316.1
10650.0,237.0,317.1,263.45,317.1
10800.0,238.23,318.1,264.61,318.1
10950.0,239.45,319.1,265.76,319.1
11100.0,240.68,320.1,266.91,320.1
11250.0,241.9,321.08,268.05,321.075
11400.0,243.12,322.03,269.19,322.03333333333336
11550.0,244.33,322.99,270.32,322.9916666666667
11700.0,245.54,323.95,271.45,323.95000000000005
11850.0,246.75,324.91,272.58,324.90833333333336
12000.0,247.95,325.83,273.69,325.83333333333337
12150.0,249.15,326.75,274.81,326.75
12300.0,250.35,327.67,275.91,327.6666666666667
12450.0,251.54,328.58,277.02,328.5833333333333
12600.0,252.73,329.5,278.12,329.5
12750.0,253.91,330.42,279.21,330.4166666666667
12900.0,255.09,331.33,280.3,331.3333333333333
13050.0,256.27,332.23,281.39,332.225
13200.0,257.44,333.1,282.47,333.1
13350.0,258.55,333.98,283.51,333.975
13500.0,259.66,334.85,284.53,334.85
13650.0,260.76,335.73,285.56,335.72499999999997
13800.0,261.85,336.6,286.58,336.59999999999997
13950.0,262.94,337.48,287.6,337.475
14100.0,264.03,338.33,288.61,338.3333333333333
14250.0,265.12,339.17,289.62,339.1666666666667
14400.0,266.2,340.0,290.62,340.0
