Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,130.0,130.0,130.0,130.0
150.0,130.0,135.79,130.51,135.94125
300.0,130.0,137.47,130.99,137.6075
450.0,130.0,140.68,131.58,140.86875
600.0,130.02,144.44,132.31,144.68333333333334
750.0,130.05,149.25,133.26,149.53958333333333
900.0,130.12,152.9,134.25,153.195
1050.0,130.22,156.16,135.22,156.49583333333334
1200.0,130.37,159.9,136.33,160.22333333333333
1350.0,130.58,162.79,137.34,163.185
1500.0,130.84,167.23,138.6,167.62666666666667
1650.0,131.16,169.47,139.73,169.85
1800.0,131.54,172.81,140.87,173.27499999999998
1950.0,131.97,177.61,142.24,178.08666666666664
2100.0,132.47,180.68,143.57,181.145
2250.0,133.01,182.98,144.81,183.44500000000002
2400.0,133.61,186.28,146.11,186.79333333333332
2550.0,134.26,191.57,147.64,192.1625
2700.0,134.96,195.68,149.27,196.26
2850.0,135.72,199.02,150.84,199.60916666666668
3000.0,136.52,202.18,152.41,202.78
3150.0,137.38,204.11,153.89,204.68875
3300.0,138.29,207.11,155.4,207.7225
3450.0,139.25,210.62,157.0,211.2575
3600.0,140.26,215.17,158.75,215.86
3750.0,141.32,220.43,160.65,221.13833333333332
3900.0,142.4,222.54,162.33,223.2275
4050.0,143.51,226.12,164.08,226.83874999999998
4200.0,144.67,229.58,165.88,230.28666666666666
4350.0,145.87,231.85,167.58,232.58458333333334
4500.0,147.12,235.54,169.4,236.29000000000002
4650.0,148.4,238.86,171.24,239.62333333333333
4800.0,149.72,242.84,173.15,243.66333333333333
4950.0,151.07,247.85,175.26,248.6875
5100.0,152.47,250.7,177.29,251.4875
5250.0,153.9,252.7,179.15,253.51375000000002
5400.0,155.36,257.5,181.2,258.4
5550.0,156.87,262.44,183.46,263.335
5700.0,158.4,265.29,185.57,266.1375
5850.0,159.94,268.17,187.55,269.0375
6000.0,161.5,271.48,189.58,272.36
6150.0,163.1,274.52,191.63,275.4075
6300.0,164.73,279.55,193.82,280.52
6450.0,166.39,283.29,196.09,284.22208333333333
6600.0,168.08,286.21,198.26,287.145
6750.0,169.8,289.87,200.48,290.83875
6900.0,171.55,291.75,202.61,292.66583333333335
7050.0,173.33,295.03,204.76,295.99083333333334
7200.0,175.15,298.74,207.0,299.72
7350.0,176.99,302.37,209.28,303.36625000000004
7500.0,178.86,305.6,211.56,306.6033333333333
7650.0,180.76,309.82,213.93,310.86125
7800.0,182.6,314.35,216.29,315.35833333333335
7950.0,184.47,316.83,218.53,317.84166666666664
8100.0,186.35,320.4,220.82,321.43
8250.0,188.26,324.48,223.19,325.54083333333335
8400.0,190.2,328.82,225.65,329.9
8550.0,192.16,332.62,228.12,333.69374999999997
8700.0,194.14,334.99,230.49,336.025
8850.0,196.15,337.71,232.79,338.79625
9000.0,198.19,342.15,235.27,343.265
9150.0,200.25,346.17,237.8,347.2895833333333
9300.0,202.34,349.56,240.31,350.67083333333335
9450.0,204.45,352.9,242.8,354.025
9600.0,206.56,355.77,245.25,356.8433333333333
9750.0,208.64,360.32,247.69,361.4691666666667
9900.0,210.73,363.23,250.16,364.325
10050.0,212.85,365.65,252.52,366.745
10200.0,214.98,370.51,255.04,371.68666666666667
10350.0,217.13,372.43,257.49,373.52375
10500.0,219.31,377.91,260.07,379.12333333333333
10650.0,221.5,379.32,262.54,380.42499999999995
10800.0,223.7,384.36,265.13,385.57
10950.0,225.93,388.83,267.82,390.0179166666667
11100.0,228.18,389.9,270.28,391.0741666666667
11250.0,230.44,394.98,272.93,396.20375
11400.0,232.73,399.25,275.67,400.4416666666667
11550.0,235.02,401.42,278.19,402.60833333333335
11700.0,237.26,406.27,280.82,407.4625
11850.0,239.52,409.32,283.4,410.48791666666665
12000.0,241.79,412.34,285.91,413.57
12150.0,244.09,416.64,288.6,417.83375
12300.0,246.39,419.44,291.16,420.66083333333336
12450.0,248.72,422.67,293.79,423.8675
12600.0,251.06,426.19,296.37,427.45
12750.0,253.41,430.43,299.12,431.6716666666666
12900.0,255.79,433.41,301.77,434.64916666666664
13050.0,258.18,436.84,304.44,438.09499999999997
13200.0,260.58,441.27,307.2,442.56
13350.0,263.0,444.69,309.97,445.95166666666665
13500.0,265.38,447.3,312.61,448.53249999999997
13650.0,267.75,451.04,315.24,452.3066666666667
13800.0,270.12,453.68,317.86,454.91499999999996
13950.0,272.52,457.94,320.53,459.23375
14100.0,274.92,460.67,323.19,461.9266666666667
14250.0,277.34,464.97,325.91,466.27916666666664
14400.0,279.77,470.04,328.77,471.38
