Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,324.0,324.0,324.0,324.0
150.0,324.0,343.0,326.96,343.0
300.0,324.0,362.0,330.87,362.0
450.0,324.0,381.0,335.3,381.0
600.0,324.02,400.0,340.16,400.0
750.0,324.07,419.0,345.35,419.0
900.0,324.19,438.0,350.82,438.0
1050.0,324.41,457.0,356.58,457.0
1200.0,324.76,476.0,362.57,476.0
1350.0,325.27,495.0,368.8,495.0
1500.0,325.96,514.0,375.26,514.0
1650.0,326.83,533.0,381.91,533.0
1800.0,327.9,552.0,388.77,552.0
1950.0,329.17,552.0,392.91,552.0
2100.0,330.65,552.0,396.32,552.0
2250.0,332.34,552.0,399.37,552.0
2400.0,334.24,552.0,402.17,552.0
2550.0,336.33,552.0,404.79,552.0
2700.0,338.59,552.0,407.27,552.0
2850.0,340.98,552.0,409.63,552.0
3000.0,343.48,552.0,411.9,552.0
3150.0,346.05,552.0,414.09,552.0
3300.0,348.67,552.0,416.21,552.0
3450.0,351.27,552.0,418.28,552.0
3600.0,353.86,552.0,420.29,552.0
3750.0,356.45,552.0,422.24,552.0
3900.0,359.04,552.0,424.14,552.0
4050.0,361.63,552.0,426.0,552.0
4200.0,364.2,552.0,427.82,552.0
4350.0,366.76,552.0,429.61,552.0
4500.0,369.3,552.0,431.36,552.0
4650.0,371.82,552.0,433.09,552.0
4800.0,374.32,552.0,434.78,552.0
4950.0,376.79,552.0,436.45,552.0
5100.0,379.23,552.0,438.09,552.0
5250.0,381.64,552.0,439.7,552.0
5400.0,384.03,552.0,441.29,552.0
5550.0,386.38,552.0,442.86,552.0
5700.0,388.71,552.0,444.4,552.0
5850.0,391.0,552.0,445.92,552.0
6000.0,393.26,552.0,447.42,552.0
6150.0,395.44,552.0,448.9,552.0
6300.0,397.53,552.0,450.34,552.0
6450.0,399.6,552.0,451.77,552.0
6600.0,401.67,552.0,453.17,552.0
6750.0,403.71,552.0,454.55,552.0
6900.0,405.73,552.0,455.91,552.0
7050.0,407.73,552.0,457.24,552.0
7200.0,409.71,552.0,458.56,552.0
7350.0,411.66,533.0,456.95,533.0
7500.0,413.59,514.0,454.41,514.0
7650.0,415.49,495.0,451.31,495.0
7800.0,417.36,476.0,447.77,476.0
7950.0,419.18,457.0,443.87,457.0
8100.0,420.93,438.0,439.63,438.0
8250.0,422.58,419.0,435.11,419.0
8400.0,424.09,400.0,430.31,400.0
8550.0,425.45,381.0,425.26,381.0
8700.0,426.64,362.0,419.97,362.0
8850.0,427.63,343.0,414.45,343.0
9000.0,428.41,324.0,408.68,324.0
9150.0,428.97,324.0,405.6,324.0
9300.0,429.3,324.0,403.26,324.0
9450.0,429.41,324.0,401.28,324.0
9600.0,429.28,324.0,399.55,324.0
9750.0,428.93,324.0,397.98,324.0
9900.0,428.39,324.0,396.56,324.0
10050.0,427.69,324.0,395.23,324.0
10200.0,426.85,324.0,393.99,324.0
10350.0,425.91,324.0,392.82,324.0
10500.0,424.88,324.0,391.7,324.0
10650.0,423.78,324.0,390.63,324.0
10800.0,422.64,324.0,389.6,324.0
10950.0,421.46,324.0,388.61,324.0
11100.0,420.26,324.0,387.65,324.0
11250.0,419.05,324.0,386.71,324.0
11400.0,417.82,324.0,385.79,324.0
11550.0,416.59,324.0,384.9,324.0
11700.0,415.36,324.0,384.02,324.0
11850.0,414.14,324.0,383.16,324.0
12000.0,412.92,324.0,382.29,324.0
12150.0,411.71,324.0,381.44,324.0
12300.0,410.5,324.0,380.6,324.0
12450.0,409.31,324.0,379.78,324.0
12600.0,408.12,324.0,378.98,324.0
12750.0,406.95,324.0,378.19,324.0
12900.0,405.79,324.0,377.41,324.0
13050.0,404.64,324.0,376.64,324.0
13200.0,403.5,324.0,375.89,324.0
13350.0,402.38,324.0,375.15,324.0
13500.0,401.27,324.0,374.41,324.0
13650.0,400.18,324.0,373.69,324.0
13800.0,399.1,324.0,372.99,324.0
13950.0,398.04,324.0,372.29,324.0
14100.0,396.99,324.0,371.6,324.0
14250.0,395.95,324.0,370.92,324.0
14400.0,394.93,324.0,370.25,324.0
