Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,172.0,172.0,172.0,172.0
150.0,172.0,176.25,172.71,176.25
300.0,172.0,180.49,173.65,180.5
450.0,172.0,184.74,174.72,184.75
600.0,172.01,188.99,175.89,189.0
750.0,172.04,193.24,177.16,193.25
900.0,172.1,197.49,178.5,197.5
1050.0,172.2,201.74,179.91,201.75
1200.0,172.35,205.99,181.39,206.0
1350.0,172.55,210.24,182.93,210.25
1500.0,172.82,214.48,184.52,214.5
1650.0,173.15,218.73,186.15,218.75
1800.0,173.54,222.98,187.81,223.0
1950.0,173.99,222.99,188.83,223.0
2100.0,174.51,222.99,189.68,223.0
2250.0,175.09,222.99,190.44,223.0
2400.0,175.72,222.99,191.14,223.0
2550.0,176.4,222.99,191.81,223.0
2700.0,177.12,222.99,192.44,223.0
2850.0,177.85,222.99,193.04,223.0
3000.0,178.6,222.99,193.62,223.0
3150.0,179.36,222.99,194.19,223.0
3300.0,180.12,222.99,194.73,223.0
3450.0,180.87,222.99,195.26,223.0
3600.0,181.62,222.99,195.78,223.0
3750.0,182.37,222.99,196.29,223.0
3900.0,183.1,222.99,196.79,223.0
4050.0,183.82,222.99,197.27,223.0
4200.0,184.54,222.99,197.75,223.0
4350.0,185.24,222.99,198.21,223.0
4500.0,185.93,222.99,198.67,223.0
4650.0,186.61,222.99,199.12,223.0
4800.0,187.27,222.99,199.56,223.0
4950.0,187.93,222.99,199.99,223.0
5100.0,188.57,222.99,200.41,223.0
5250.0,189.2,222.99,200.83,223.0
5400.0,189.82,222.99,201.24,223.0
5550.0,190.43,222.99,201.64,223.0
5700.0,191.03,222.99,202.03,223.0
5850.0,191.62,222.99,202.42,223.0
6000.0,192.19,222.99,202.79,223.0
6150.0,192.76,222.99,203.17,223.0
6300.0,193.32,222.99,203.53,223.0
6450.0,193.86,222.99,203.89,223.0
6600.0,194.4,222.99,204.24,223.0
6750.0,194.92,222.99,204.58,223.0
6900.0,195.44,222.99,204.92,223.0
7050.0,195.95,222.99,205.25,223.0
7200.0,196.44,222.99,205.58,223.0
7350.0,196.93,218.75,205.2,218.75
7500.0,197.41,214.5,204.59,214.5
7650.0,197.88,210.25,203.84,210.25
7800.0,198.33,206.0,202.98,206.0
7950.0,198.76,201.75,202.03,201.75
8100.0,199.15,197.51,200.99,197.5
8250.0,199.49,193.26,199.88,193.25
8400.0,199.77,189.01,198.7,189.0
8550.0,200.0,184.76,197.46,184.75
8700.0,200.16,180.51,196.15,180.5
8850.0,200.25,176.26,194.79,176.25
9000.0,200.27,172.01,193.37,172.0
9150.0,200.22,172.01,192.58,172.0
9300.0,200.1,172.01,191.97,172.0
9450.0,199.92,172.01,191.45,172.0
9600.0,199.68,172.01,190.99,172.0
9750.0,199.38,172.01,190.56,172.0
9900.0,199.04,172.01,190.17,172.0
10050.0,198.67,172.01,189.79,172.0
10200.0,198.28,172.01,189.44,172.0
10350.0,197.87,172.01,189.1,172.0
10500.0,197.45,172.01,188.77,172.0
10650.0,197.03,172.01,188.46,172.0
10800.0,196.61,172.01,188.15,172.0
10950.0,196.19,172.01,187.85,172.0
11100.0,195.76,172.01,187.56,172.0
11250.0,195.35,172.01,187.28,172.0
11400.0,194.94,172.01,187.0,172.0
11550.0,194.53,172.01,186.72,172.0
11700.0,194.13,172.0,186.46,172.0
11850.0,193.73,172.0,186.2,172.0
12000.0,193.35,172.0,185.94,172.0
12150.0,192.96,172.0,185.69,172.0
12300.0,192.59,172.0,185.44,172.0
12450.0,192.22,172.0,185.2,172.0
12600.0,191.85,172.0,184.96,172.0
12750.0,191.5,172.0,184.73,172.0
12900.0,191.15,172.0,184.5,172.0
13050.0,190.8,172.0,184.27,172.0
13200.0,190.46,172.0,184.05,172.0
13350.0,190.13,172.0,183.83,172.0
13500.0,189.81,172.0,183.62,172.0
13650.0,189.49,172.0,183.41,172.0
13800.0,189.17,172.0,183.21,172.0
13950.0,188.86,172.0,183.0,172.0
14100.0,188.56,172.0,182.81,172.0
14250.0,188.26,172.0,182.61,172.0
14400.0,187.97,172.0,182.42,172.0
