Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,300.0,300.0,300.0,300.0
150.0,300.0,302.0,300.24,302.0833333333333
300.0,300.0,304.06,300.6,304.1666666666667
450.0,300.0,306.11,301.02,306.25
600.0,300.0,308.17,301.49,308.3333333333333
750.0,300.01,310.23,302.0,310.4166666666667
900.0,300.02,312.3,302.54,312.5
1050.0,300.05,314.36,303.12,314.5833333333333
1200.0,300.09,316.43,303.73,316.6666666666667
1350.0,300.16,318.49,304.36,318.75
1500.0,300.24,320.56,305.02,320.8333333333333
1650.0,300.35,322.62,305.71,322.9166666666667
1800.0,300.48,324.69,306.42,325.0
1950.0,300.64,326.76,307.15,327.0833333333333
2100.0,300.83,328.83,307.9,329.1666666666667
2250.0,301.04,330.89,308.68,331.25
2400.0,301.28,332.96,309.47,333.3333333333333
2550.0,301.55,335.03,310.29,335.4166666666667
2700.0,301.84,337.1,311.13,337.5
2850.0,302.16,339.17,311.99,339.5833333333333
3000.0,302.51,341.24,312.86,341.6666666666667
3150.0,302.88,343.31,313.76,343.75
3300.0,303.28,345.38,314.67,345.8333333333333
3450.0,303.71,347.46,315.58,347.9166666666667
3600.0,304.16,349.53,316.51,350.0
3750.0,304.63,351.6,317.46,352.0833333333333
3900.0,305.12,353.67,318.43,354.1666666666667
4050.0,305.64,355.74,319.41,356.25
4200.0,306.18,357.81,320.42,358.3333333333333
4350.0,306.75,359.88,321.44,360.4166666666667
4500.0,307.33,361.95,322.48,362.5
4650.0,307.94,364.02,323.53,364.5833333333333
4800.0,308.57,366.09,324.6,366.66666666666663
4950.0,309.23,368.17,325.69,368.75
5100.0,309.9,370.24,326.79,370.8333333333333
5250.0,310.59,372.31,327.91,372.91666666666663
5400.0,311.31,374.38,329.04,375.0
5550.0,312.05,376.46,330.19,377.0833333333333
5700.0,312.81,378.53,331.35,379.16666666666663
5850.0,313.58,380.6,332.52,381.25
6000.0,314.38,382.67,333.71,383.3333333333333
6150.0,315.2,384.75,334.92,385.41666666666663
6300.0,316.03,386.82,336.13,387.5
6450.0,316.89,388.89,337.36,389.5833333333333
6600.0,317.76,390.97,338.6,391.66666666666663
6750.0,318.64,393.06,339.82,393.75
6900.0,319.53,395.13,341.04,395.8333333333333
7050.0,320.44,397.21,342.29,397.91666666666663
7200.0,321.37,399.28,343.55,400.0
7350.0,322.3,399.35,344.58,400.0
7500.0,323.26,399.37,345.52,400.0
7650.0,324.22,399.39,346.41,400.0
7800.0,325.21,399.4,347.27,400.0
7950.0,326.2,399.41,348.09,400.0
8100.0,327.2,399.43,348.89,400.0
8250.0,328.21,399.44,349.68,400.0
8400.0,329.21,399.45,350.44,400.0
8550.0,330.21,399.46,351.2,400.0
8700.0,331.21,399.46,351.93,400.0
8850.0,332.21,399.47,352.65,400.0
9000.0,333.19,399.48,353.36,400.0
9150.0,334.16,399.49,354.06,400.0
9300.0,335.13,399.5,354.75,400.0
9450.0,336.08,399.51,355.42,400.0
9600.0,337.02,399.51,356.09,400.0
9750.0,337.95,399.52,356.74,400.0
9900.0,338.86,399.53,357.39,400.0
10050.0,339.76,399.54,358.02,400.0
10200.0,340.66,399.54,358.64,400.0
10350.0,341.53,399.55,359.26,400.0
10500.0,342.4,399.56,359.86,400.0
10650.0,343.25,399.56,360.46,400.0
10800.0,344.09,399.57,361.05,400.0
10950.0,344.92,399.58,361.63,400.0
11100.0,345.74,399.58,362.19,400.0
11250.0,346.54,399.59,362.76,400.0
11400.0,347.34,399.59,363.31,400.0
11550.0,348.12,399.6,363.85,400.0
11700.0,348.89,399.61,364.39,400.0
11850.0,349.65,399.61,364.92,400.0
12000.0,350.39,399.62,365.44,400.0
12150.0,351.13,399.62,365.95,400.0
12300.0,351.86,399.63,366.46,400.0
12450.0,352.57,399.63,366.96,400.0
12600.0,353.27,399.64,367.45,400.0
12750.0,353.97,399.65,367.93,400.0
12900.0,354.65,399.65,368.41,400.0
13050.0,355.32,399.66,368.87,400.0
13200.0,355.99,399.66,369.34,400.0
13350.0,356.64,399.67,369.79,400.0
13500.0,357.28,399.67,370.24,400.0
13650.0,357.92,399.68,370.68,400.0
13800.0,358.54,399.68,371.12,400.0
13950.0,359.16,399.69,371.55,400.0
14100.0,359.76,399.69,371.97,400.0
14250.0,360.36,399.69,372.38,400.0
14400.0,360.95,399.7,372.79,400.0
