Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,305.0,305.0,305.0,305.0
150.0,305.0,302.92,304.89,302.9166666666667
300.0,305.0,300.83,304.71,300.8333333333333
450.0,305.0,298.75,304.49,298.75
600.0,305.0,296.67,304.23,296.6666666666667
750.0,305.0,294.58,303.95,294.5833333333333
900.0,305.0,292.5,303.64,292.5
1050.0,305.0,290.42,303.31,290.4166666666667
1200.0,305.0,288.33,302.96,288.3333333333333
1350.0,305.0,286.25,302.59,286.25
1500.0,305.0,284.17,302.2,284.1666666666667
1650.0,305.0,282.08,301.8,282.0833333333333
1800.0,305.0,280.0,301.38,280.0
1950.0,304.99,277.92,300.95,277.9166666666667
2100.0,304.99,275.83,300.5,275.8333333333333
2250.0,304.98,273.75,300.04,273.75
2400.0,304.97,271.67,299.57,271.6666666666667
2550.0,304.96,269.58,299.09,269.5833333333333
2700.0,304.94,267.5,298.59,267.5
2850.0,304.92,265.42,298.08,265.4166666666667
3000.0,304.9,263.33,297.56,263.3333333333333
3150.0,304.87,261.25,297.03,261.25
3300.0,304.83,259.17,296.49,259.1666666666667
3450.0,304.79,257.08,295.94,257.0833333333333
3600.0,304.75,255.0,295.38,255.0
3750.0,304.69,252.92,294.81,252.91666666666669
3900.0,304.64,250.83,294.23,250.83333333333334
4050.0,304.57,248.75,293.64,248.75
4200.0,304.5,246.67,293.05,246.66666666666669
4350.0,304.42,244.58,292.44,244.58333333333334
4500.0,304.33,242.5,291.82,242.5
4650.0,304.24,240.42,291.2,240.41666666666669
4800.0,304.14,238.33,290.56,238.33333333333334
4950.0,304.03,236.25,289.92,236.25
5100.0,303.91,234.17,289.27,234.16666666666669
5250.0,303.78,232.08,288.61,232.08333333333334
5400.0,303.65,230.0,287.95,230.0
5550.0,303.51,227.92,287.27,227.91666666666669
5700.0,303.36,225.83,286.59,225.83333333333334
5850.0,303.2,223.75,285.9,223.75
6000.0,303.03,221.67,285.2,221.66666666666669
6150.0,302.85,219.58,284.5,219.58333333333334
6300.0,302.67,217.5,283.78,217.5
6450.0,302.47,215.42,283.06,215.41666666666669
6600.0,302.27,213.33,282.33,213.33333333333334
6750.0,302.06,211.25,281.6,211.25
6900.0,301.84,209.17,280.86,209.16666666666669
7050.0,301.61,207.08,280.11,207.08333333333334
7200.0,301.37,205.0,279.35,205.0
7350.0,301.12,202.92,278.59,202.91666666666669
7500.0,300.87,200.83,277.82,200.83333333333334
7650.0,300.6,198.75,277.04,198.75
7800.0,300.33,196.67,276.25,196.66666666666669
7950.0,300.04,194.58,275.46,194.58333333333334
8100.0,299.75,192.5,274.66,192.5
8250.0,299.45,190.42,273.85,190.41666666666669
8400.0,299.14,188.33,273.04,188.33333333333334
8550.0,298.82,186.25,272.22,186.25
8700.0,298.5,184.17,271.39,184.16666666666669
8850.0,298.16,182.08,270.55,182.08333333333334
9000.0,297.82,180.0,269.71,180.0
9150.0,297.46,177.92,268.84,177.91666666666669
9300.0,297.1,175.83,267.97,175.83333333333334
9450.0,296.73,173.75,267.09,173.75
9600.0,296.35,171.67,266.22,171.66666666666669
9750.0,295.96,169.58,265.34,169.58333333333334
9900.0,295.57,167.5,264.43,167.5
10050.0,295.16,165.42,263.5,165.41666666666669
10200.0,294.75,163.33,262.57,163.33333333333334
10350.0,294.33,161.25,261.65,161.25
10500.0,293.9,159.17,260.72,159.16666666666669
10650.0,293.46,157.08,259.79,157.08333333333334
10800.0,293.01,155.0,258.81,155.0
10950.0,292.55,152.92,257.83,152.91666666666669
11100.0,292.09,150.83,256.85,150.83333333333334
11250.0,291.61,148.75,255.88,148.75
11400.0,291.13,146.67,254.9,146.66666666666669
11550.0,290.64,144.58,253.89,144.58333333333334
11700.0,290.14,142.5,252.86,142.5
11850.0,289.64,140.42,251.83,140.41666666666669
12000.0,289.12,138.33,250.8,138.33333333333334
12150.0,288.59,136.25,249.78,136.25
12300.0,288.06,134.17,248.75,134.16666666666669
12450.0,287.52,132.08,247.66,132.08333333333334
12600.0,286.97,130.0,246.58,130.0
12750.0,286.41,127.92,245.5,127.91666666666669
12900.0,285.84,125.83,244.42,125.83333333333334
13050.0,285.26,123.75,243.34,123.75
13200.0,284.67,121.67,242.23,121.66666666666669
13350.0,284.08,119.58,241.1,119.58333333333334
13500.0,283.47,117.5,239.96,117.5
13650.0,282.86,115.42,238.84,115.41666666666669
13800.0,282.24,113.33,237.71,113.33333333333334
13950.0,281.61,111.25,236.58,111.25
14100.0,280.96,109.17,235.39,109.16666666666669
14250.0,280.31,107.08,234.21,107.08333333333334
14400.0,279.65,105.0,233.03,105.0
