Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,500.0,500.0,500.0,500.0
150.0,500.0,498.75,499.93,498.75
300.0,500.0,497.5,499.83,497.5
450.0,500.0,496.25,499.69,496.25
600.0,500.0,495.0,499.54,495.0
750.0,500.0,493.75,499.37,493.75
900.0,500.0,492.5,499.18,492.5
1050.0,500.0,491.25,498.99,491.25
1200.0,500.0,490.0,498.78,490.0
1350.0,500.0,488.75,498.55,488.75
1500.0,500.0,487.5,498.32,487.5
1650.0,500.0,486.25,498.08,486.25
1800.0,500.0,485.0,497.83,485.0
1950.0,500.0,483.75,497.57,483.75
2100.0,499.99,482.5,497.3,482.5
2250.0,499.99,481.25,497.03,481.25
2400.0,499.98,480.0,496.74,480.0
2550.0,499.97,478.75,496.45,478.75
2700.0,499.96,477.5,496.15,477.5
2850.0,499.95,476.25,495.85,476.25
3000.0,499.94,475.0,495.54,475.0
3150.0,499.92,473.75,495.22,473.75
3300.0,499.9,472.5,494.9,472.5
3450.0,499.88,471.25,494.57,471.25
3600.0,499.85,470.0,494.23,470.0
3750.0,499.82,468.75,493.89,468.75
3900.0,499.78,467.5,493.54,467.5
4050.0,499.74,466.25,493.19,466.25
4200.0,499.7,465.0,492.83,465.0
4350.0,499.65,463.75,492.46,463.75
4500.0,499.6,462.5,492.09,462.5
4650.0,499.54,461.25,491.72,461.25
4800.0,499.48,460.0,491.34,460.0
4950.0,499.42,458.75,490.95,458.75
5100.0,499.35,457.5,490.56,457.5
5250.0,499.27,456.25,490.17,456.25
5400.0,499.19,455.0,489.77,455.0
5550.0,499.1,453.75,489.36,453.75
5700.0,499.01,452.5,488.95,452.5
5850.0,498.92,451.25,488.54,451.25
6000.0,498.82,450.0,488.12,450.0
6150.0,498.71,448.75,487.7,448.75
6300.0,498.6,447.5,487.27,447.5
6450.0,498.48,446.25,486.84,446.25
6600.0,498.36,445.0,486.4,445.0
6750.0,498.23,443.75,485.96,443.75
6900.0,498.1,442.5,485.51,442.5
7050.0,497.96,441.25,485.06,441.25
7200.0,497.82,440.0,484.61,440.0
7350.0,497.67,438.75,484.15,438.75
7500.0,497.52,437.5,483.69,437.5
7650.0,497.36,436.25,483.22,436.25
7800.0,497.2,435.0,482.75,435.0
7950.0,497.03,433.75,482.28,433.75
8100.0,496.85,432.5,481.8,432.5
8250.0,496.67,431.25,481.31,431.25
8400.0,496.49,430.0,480.83,430.0
8550.0,496.29,428.75,480.34,428.75
8700.0,496.1,427.5,479.84,427.5
8850.0,495.9,426.25,479.34,426.25
9000.0,495.69,425.0,478.84,425.0
9150.0,495.48,423.75,478.33,423.75
9300.0,495.26,422.5,477.82,422.5
9450.0,495.04,421.25,477.31,421.25
9600.0,494.81,420.0,476.79,420.0
9750.0,494.58,418.75,476.27,418.75
9900.0,494.34,417.5,475.74,417.5
10050.0,494.1,416.25,475.21,416.25
10200.0,493.85,415.0,474.68,415.0
10350.0,493.6,413.75,474.14,413.75
10500.0,493.34,412.5,473.6,412.5
10650.0,493.07,411.25,473.06,411.25
10800.0,492.81,410.0,472.51,410.0
10950.0,492.53,408.75,471.95,408.75
11100.0,492.26,407.5,471.4,407.5
11250.0,491.97,406.25,470.84,406.25
11400.0,491.68,405.0,470.28,405.0
11550.0,491.39,403.75,469.71,403.75
11700.0,491.09,402.5,469.14,402.5
11850.0,490.79,401.25,468.57,401.25
12000.0,490.48,400.0,467.99,400.0
12150.0,490.17,398.75,467.41,398.75
12300.0,489.85,397.5,466.83,397.5
12450.0,489.53,396.25,466.24,396.25
12600.0,489.2,395.0,465.65,395.0
12750.0,488.87,393.75,465.06,393.75
12900.0,488.54,392.5,464.46,392.5
13050.0,488.2,391.25,463.86,391.25
13200.0,487.85,390.0,463.26,390.0
13350.0,487.5,388.75,462.65,388.75
13500.0,487.14,387.5,462.04,387.5
13650.0,486.79,386.25,461.42,386.25
13800.0,486.42,385.0,460.81,385.0
13950.0,486.05,383.75,460.19,383.75
14100.0,485.68,382.5,459.56,382.5
14250.0,485.3,381.25,458.94,381.25
14400.0,484.92,380.0,458.31,380.0
