Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,428.0,428.0,428.0,428.0
150.0,426.25,428.0,427.76,425.7395833333333
300.0,424.33,427.98,427.35,423.4791666666667
450.0,422.38,427.91,426.85,421.21875
600.0,420.4,427.77,426.25,418.9583333333333
750.0,418.41,427.54,425.59,416.6979166666667
900.0,416.41,427.23,424.85,414.4375
1050.0,414.39,426.84,424.06,412.1770833333333
1200.0,412.37,426.37,423.2,409.9166666666667
1350.0,410.33,425.83,422.28,407.65625
1500.0,408.29,425.22,421.3,405.3958333333333
1650.0,406.24,424.53,420.27,403.1354166666667
1800.0,404.18,423.78,419.19,400.875
1950.0,402.11,422.97,418.06,398.6145833333333
2100.0,400.03,422.09,416.88,396.3541666666667
2250.0,397.94,421.16,415.66,394.09375
2400.0,395.85,420.17,414.39,391.8333333333333
2550.0,393.75,419.13,413.08,389.5729166666667
2700.0,391.64,418.04,411.73,387.3125
2850.0,389.53,416.89,410.35,385.0520833333333
3000.0,387.41,415.71,408.92,382.7916666666667
3150.0,385.28,414.47,407.46,380.53125
3300.0,383.15,413.19,405.97,378.2708333333333
3450.0,381.01,411.87,404.44,376.0104166666667
3600.0,378.87,410.52,402.89,373.75
3750.0,376.73,409.12,401.3,371.4895833333333
3900.0,374.57,407.69,399.69,369.2291666666667
4050.0,372.42,406.22,398.05,366.96875
4200.0,370.26,404.72,396.38,364.7083333333333
4350.0,368.09,403.19,394.69,362.4479166666667
4500.0,365.92,401.62,392.97,360.1875
4650.0,363.75,400.03,391.23,357.9270833333333
4800.0,361.57,398.41,389.47,355.6666666666667
4950.0,359.39,396.76,387.69,353.40625
5100.0,357.21,395.09,385.89,351.1458333333333
5250.0,355.03,393.39,384.07,348.8854166666667
5400.0,352.84,391.67,382.23,346.625
5550.0,350.64,389.93,380.37,344.3645833333333
5700.0,348.45,388.16,378.5,342.1041666666667
5850.0,346.25,386.38,376.61,339.84375
6000.0,344.05,384.57,374.7,337.5833333333333
6150.0,341.85,382.74,372.78,335.3229166666667
6300.0,339.64,380.9,370.85,333.0625
6450.0,337.43,379.04,368.9,330.8020833333333
6600.0,335.22,377.16,366.94,328.5416666666667
6750.0,333.01,375.27,364.96,326.28125
6900.0,330.8,373.36,362.98,324.0208333333333
7050.0,328.58,371.43,360.98,321.7604166666667
7200.0,326.36,369.49,358.97,319.5
7350.0,324.14,367.54,356.95,317.2395833333333
7500.0,321.92,365.58,354.92,314.9791666666667
7650.0,319.7,363.6,352.88,312.71875
7800.0,317.47,361.61,350.83,310.4583333333333
7950.0,315.25,359.61,348.77,308.1979166666667
8100.0,313.02,357.6,346.71,305.9375
8250.0,310.79,355.58,344.63,303.6770833333333
8400.0,308.56,353.54,342.55,301.4166666666667
8550.0,306.33,351.5,340.46,299.15625
8700.0,304.09,349.45,338.37,296.89583333333337
8850.0,301.86,347.39,336.26,294.63541666666663
9000.0,299.62,345.32,334.15,292.375
9150.0,297.39,343.25,332.03,290.11458333333337
9300.0,295.15,341.16,329.91,287.85416666666663
9450.0,292.91,339.07,327.78,285.59375
9600.0,290.67,336.97,325.65,283.33333333333337
9750.0,288.43,334.87,323.51,281.07291666666663
9900.0,286.19,332.76,321.37,278.8125
10050.0,283.95,330.64,319.22,276.55208333333337
10200.0,281.71,328.52,317.06,274.29166666666663
10350.0,279.47,326.39,314.91,272.03125
10500.0,277.22,324.25,312.74,269.77083333333337
10650.0,274.98,322.11,310.58,267.51041666666663
10800.0,272.73,319.96,308.41,265.25
10950.0,270.49,317.81,306.23,262.98958333333337
11100.0,268.24,315.66,304.05,260.72916666666663
11250.0,265.99,313.5,301.87,258.46875
11400.0,263.74,311.34,299.69,256.20833333333337
11550.0,261.5,309.17,297.5,253.94791666666666
11700.0,259.25,307.0,295.31,251.6875
11850.0,257.0,304.82,293.11,249.42708333333334
12000.0,254.75,302.64,290.92,247.16666666666666
12150.0,252.5,300.46,288.72,244.90625
12300.0,250.25,298.28,286.52,242.64583333333334
12450.0,248.0,296.09,284.31,240.38541666666666
12600.0,245.75,293.89,282.1,238.125
12750.0,243.49,291.7,279.9,235.86458333333334
12900.0,241.24,289.5,277.68,233.60416666666666
13050.0,238.99,287.3,275.47,231.34375
13200.0,236.74,285.1,273.26,229.08333333333334
13350.0,234.48,282.89,271.04,226.82291666666666
13500.0,232.23,280.69,268.82,224.5625
13650.0,229.98,278.48,266.6,222.30208333333334
13800.0,227.72,276.27,264.38,220.04166666666666
13950.0,225.47,274.05,262.15,217.78125
14100.0,223.21,271.84,259.93,215.52083333333334
14250.0,220.96,269.62,257.7,213.26041666666666
14400.0,218.7,267.4,255.47,211.0
