Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,350.0,350.0,350.0,350.0
150.0,350.0,347.67,349.79,347.6041666666667
300.0,350.0,345.3,349.46,345.2083333333333
450.0,350.0,342.93,349.05,342.8125
600.0,350.0,340.55,348.59,340.4166666666667
750.0,349.99,338.17,348.07,338.0208333333333
900.0,349.98,335.79,347.52,335.625
1050.0,349.95,333.41,346.92,333.2291666666667
1200.0,349.91,331.03,346.29,330.8333333333333
1350.0,349.85,328.65,345.63,328.4375
1500.0,349.77,326.27,344.94,326.0416666666667
1650.0,349.66,323.89,344.22,323.6458333333333
1800.0,349.53,321.5,343.47,321.25
1950.0,349.37,319.12,342.69,318.8541666666667
2100.0,349.18,316.74,341.89,316.4583333333333
2250.0,348.96,314.35,341.06,314.0625
2400.0,348.72,311.97,340.21,311.6666666666667
2550.0,348.44,309.58,339.33,309.2708333333333
2700.0,348.14,307.2,338.43,306.875
2850.0,347.81,304.82,337.51,304.4791666666667
3000.0,347.44,302.44,336.54,302.0833333333333
3150.0,347.05,300.05,335.55,299.6875
3300.0,346.62,297.67,334.54,297.2916666666667
3450.0,346.17,295.28,333.51,294.8958333333333
3600.0,345.68,292.9,332.47,292.5
3750.0,345.17,290.51,331.4,290.1041666666667
3900.0,344.63,288.13,330.32,287.7083333333333
4050.0,344.06,285.74,329.21,285.3125
4200.0,343.46,283.35,328.09,282.9166666666667
4350.0,342.83,280.97,326.95,280.52083333333337
4500.0,342.18,278.58,325.79,278.125
4650.0,341.5,276.19,324.61,275.7291666666667
4800.0,340.79,273.81,323.41,273.33333333333337
4950.0,340.06,271.42,322.2,270.9375
5100.0,339.3,269.03,320.96,268.5416666666667
5250.0,338.52,266.65,319.71,266.14583333333337
5400.0,337.71,264.26,318.45,263.75
5550.0,336.88,261.87,317.16,261.3541666666667
5700.0,336.03,259.5,315.85,258.95833333333337
5850.0,335.14,257.11,314.48,256.5625
6000.0,334.22,254.73,313.11,254.16666666666669
6150.0,333.28,252.34,311.72,251.77083333333334
6300.0,332.31,249.95,310.32,249.375
6450.0,331.32,247.56,308.91,246.97916666666669
6600.0,330.31,245.17,307.48,244.58333333333334
6750.0,329.27,242.78,306.03,242.1875
6900.0,328.21,240.4,304.58,239.79166666666669
7050.0,327.13,238.01,303.11,237.39583333333334
7200.0,326.03,235.62,301.62,235.0
7350.0,324.9,233.23,300.12,232.60416666666669
7500.0,323.76,230.84,298.61,230.20833333333334
7650.0,322.59,228.45,297.09,227.8125
7800.0,321.41,226.06,295.55,225.41666666666669
7950.0,320.21,223.67,294.0,223.02083333333334
8100.0,318.99,221.28,292.43,220.625
8250.0,317.75,218.9,290.85,218.22916666666669
8400.0,316.49,216.51,289.26,215.83333333333334
8550.0,315.21,214.14,287.65,213.4375
8700.0,313.88,211.75,285.97,211.04166666666669
8850.0,312.53,209.36,284.28,208.64583333333334
9000.0,311.16,206.97,282.59,206.25
9150.0,309.77,204.57,280.89,203.85416666666669
9300.0,308.37,202.18,279.18,201.45833333333334
9450.0,306.94,199.79,277.46,199.0625
9600.0,305.5,197.4,275.73,196.66666666666669
9750.0,304.04,195.01,273.99,194.27083333333334
9900.0,302.57,192.62,272.24,191.875
10050.0,301.08,190.23,270.48,189.47916666666669
10200.0,299.57,187.84,268.71,187.08333333333334
10350.0,298.05,185.45,266.93,184.6875
10500.0,296.51,183.06,265.14,182.29166666666669
10650.0,294.97,180.67,263.34,179.89583333333334
10800.0,293.4,178.28,261.53,177.5
10950.0,291.83,175.89,259.72,175.10416666666669
11100.0,290.23,173.49,257.89,172.70833333333334
11250.0,288.63,171.1,256.05,170.3125
11400.0,287.0,168.74,254.19,167.91666666666669
11550.0,285.31,166.34,252.26,165.52083333333334
11700.0,283.61,163.95,250.32,163.12500000000003
11850.0,281.89,161.56,248.38,160.72916666666669
12000.0,280.16,159.17,246.44,158.33333333333334
12150.0,278.41,156.78,244.49,155.93750000000003
12300.0,276.66,154.38,242.54,153.54166666666669
12450.0,274.88,151.99,240.58,151.14583333333334
12600.0,273.1,149.6,238.61,148.75000000000003
12750.0,271.31,147.21,236.63,146.35416666666669
12900.0,269.5,144.81,234.65,143.95833333333334
13050.0,267.69,142.42,232.66,141.56250000000003
13200.0,265.86,140.03,230.67,139.16666666666669
13350.0,264.03,137.64,228.67,136.77083333333334
13500.0,262.18,135.24,226.66,134.37500000000003
13650.0,260.33,132.85,224.64,131.97916666666669
13800.0,258.46,130.46,222.62,129.58333333333334
13950.0,256.59,128.07,220.6,127.18750000000003
14100.0,254.71,125.67,218.56,124.79166666666669
14250.0,252.79,123.31,216.49,122.39583333333334
14400.0,250.81,120.91,214.35,120.0
