Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,590.0,590.0,590.0,590.0
150.0,590.0,519.17,579.16,519.1666666666666
300.0,590.0,468.33,567.86,468.3333333333333
450.0,590.0,433.75,558.02,433.75
600.0,589.97,406.67,549.3,406.6666666666667
750.0,589.85,380.83,540.61,380.8333333333333
900.0,589.59,360.0,532.59,360.0
1050.0,589.11,339.17,524.57,339.1666666666667
1200.0,588.37,325.0,517.42,325.0
1350.0,587.33,312.5,510.73,312.5
1500.0,585.99,301.67,504.42,301.6666666666667
1650.0,584.36,293.33,498.7,293.3333333333333
1800.0,582.43,285.0,493.13,285.0
1950.0,580.22,278.75,487.81,278.75
2100.0,577.77,272.5,482.73,272.5
2250.0,575.09,267.5,477.95,267.5
2400.0,572.2,263.33,473.45,263.3333333333333
2550.0,569.14,259.33,469.09,259.3333333333333
2700.0,565.92,256.0,464.94,256.0
2850.0,562.57,252.67,460.88,252.66666666666666
3000.0,559.11,249.67,456.83,249.66666666666666
3150.0,555.56,246.75,452.84,246.75
3300.0,551.93,244.17,448.99,244.16666666666666
3450.0,548.24,242.08,445.31,242.08333333333334
3600.0,544.49,240.0,441.71,240.0
3750.0,540.71,237.92,438.17,237.91666666666666
3900.0,536.9,235.83,434.68,235.83333333333334
4050.0,533.06,234.0,431.27,234.0
4200.0,529.21,232.33,427.93,232.33333333333334
4350.0,525.35,230.75,424.65,230.75
4500.0,521.49,229.5,421.48,229.5
4650.0,517.63,228.25,418.32,228.25
4800.0,513.79,227.0,415.13,227.0
4950.0,509.96,225.75,412.0,225.75
5100.0,506.14,224.67,408.94,224.66666666666666
5250.0,502.34,223.83,405.97,223.83333333333334
5400.0,498.55,223.0,403.06,223.0
5550.0,494.78,222.17,400.19,222.16666666666666
5700.0,491.04,221.33,397.36,221.33333333333334
5850.0,487.32,220.75,394.61,220.75
6000.0,483.62,220.33,391.93,220.33333333333334
6150.0,479.96,219.92,389.31,219.91666666666666
6300.0,476.33,219.5,386.72,219.5
6450.0,472.72,219.08,384.17,219.08333333333334
6600.0,469.16,218.67,381.61,218.66666666666666
6750.0,465.63,218.25,379.08,218.25
6900.0,462.13,217.83,376.59,217.83333333333334
7050.0,458.66,217.42,374.13,217.41666666666666
7200.0,455.23,217.0,371.71,217.0
7350.0,451.83,216.58,369.32,216.58333333333334
7500.0,448.46,216.17,366.97,216.16666666666666
7650.0,445.14,215.75,364.64,215.75
7800.0,441.85,215.33,362.34,215.33333333333334
7950.0,438.6,214.92,360.08,214.91666666666666
8100.0,435.38,214.5,357.84,214.5
8250.0,432.21,214.08,355.63,214.08333333333334
8400.0,429.07,213.67,353.44,213.66666666666666
8550.0,425.98,213.25,351.28,213.25
8700.0,422.91,212.83,349.12,212.83333333333334
8850.0,419.88,212.42,346.98,212.41666666666666
9000.0,416.87,212.0,344.87,212.0
9150.0,413.89,211.58,342.78,211.58333333333334
9300.0,410.94,211.17,340.71,211.16666666666666
9450.0,408.03,210.75,338.67,210.75
9600.0,405.15,210.33,336.66,210.33333333333334
9750.0,402.31,209.92,334.67,209.91666666666666
9900.0,399.5,209.5,332.7,209.5
10050.0,396.73,209.08,330.76,209.08333333333334
10200.0,393.99,208.67,328.83,208.66666666666666
10350.0,391.29,208.25,326.94,208.25
10500.0,388.62,207.83,325.06,207.83333333333334
10650.0,385.98,207.42,323.21,207.41666666666666
10800.0,383.37,207.0,321.37,207.0
10950.0,380.73,206.58,319.55,206.58333333333334
11100.0,378.11,206.17,317.73,206.16666666666666
11250.0,375.51,205.75,315.93,205.75
11400.0,372.95,205.33,314.14,205.33333333333334
11550.0,370.42,204.92,312.37,204.91666666666666
11700.0,367.92,204.5,310.62,204.5
11850.0,365.46,204.08,308.89,204.08333333333334
12000.0,363.02,203.67,307.18,203.66666666666666
12150.0,360.63,203.25,305.48,203.25
12300.0,358.26,202.83,303.81,202.83333333333334
12450.0,355.92,202.42,302.15,202.41666666666666
12600.0,353.62,202.0,300.52,202.0
12750.0,351.34,201.58,298.9,201.58333333333334
12900.0,349.09,201.17,297.3,201.16666666666666
13050.0,346.87,200.75,295.72,200.75
13200.0,344.68,200.33,294.15,200.33333333333334
13350.0,342.52,199.92,292.61,199.91666666666666
13500.0,340.38,199.5,291.08,199.5
13650.0,338.27,199.08,289.56,199.08333333333334
13800.0,336.08,198.67,288.05,198.66666666666666
13950.0,333.91,198.25,286.55,198.25
14100.0,331.77,197.83,285.05,197.83333333333334
14250.0,329.67,197.42,283.56,197.41666666666666
14400.0,327.59,197.0,282.09,197.0
