Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,253.0,253.0,253.0,253.0
180,252.39,253.802,253.002,253.22266666666667
330,252.992,257.07,253.338,257.1526666666667
480,253.0,257.7,253.596,257.78266666666667
630,253.0,259.592,253.926,259.696
780,253.002,261.56600000000003,254.3,261.70933333333335
930,253.014,264.326,254.82,264.4643333333333
1080,253.038,265.846,255.266,266.036
1230,253.08,270.142,255.958,270.40766666666667
1380,253.134,274.426,256.86,274.6793333333333
1530,253.21,274.884,257.534,275.0593333333333
1680,253.314,274.642,257.946,274.856
1830,253.442,276.752,258.538,276.986
1980,253.61,278.752,259.178,278.9993333333333
2130,253.814,280.578,259.834,280.8293333333333
2280,254.04,283.724,260.598,284.04266666666666
2430,254.294,287.35,261.526,287.6893333333333
2580,254.57,288.956,262.39,289.25266666666664
2730,254.876,291.522,263.232,291.8826666666667
2880,255.212,294.842,264.22200000000004,295.22933333333333
3030,255.578,295.454,265.082,295.7676666666667
3180,255.974,295.346,265.766,295.6393333333333
3330,256.4,298.226,266.59,298.60266666666666
3480,256.854,301.548,267.56,301.9493333333333
3630,257.332,302.574,268.444,302.9293333333333
3780,257.844,305.786,269.432,306.1926666666667
3930,258.37,306.17,270.286,306.53933333333333
4080,258.924,307.612,271.136,308.00266666666664
4230,259.498,310.22,272.1,310.6493333333333
4380,260.09200000000004,313.048,273.164,313.4626666666666
4530,260.708,313.958,274.098,314.3843333333333
4680,261.35,316.374,275.108,316.82266666666663
4830,262.00600000000003,319.104,276.204,319.5693333333333
4980,262.688,322.668,277.386,323.216
5130,263.382,325.654,278.722,326.10433333333333
5280,264.098,327.148,279.774,327.7093333333333
5430,264.842,331.192,281.16400000000004,331.72266666666667
5580,265.608,333.82,282.452,334.386
5730,266.402,336.16,283.786,336.69933333333336
5880,267.218,337.56,284.998,338.096
6030,268.064,338.482,286.156,338.99266666666665
6180,268.938,341.912,287.404,342.5226666666667
6330,269.83,343.76,288.694,344.28600000000006
6480,270.736,345.786,289.9,346.34933333333333
6630,271.668,348.42,291.196,349.0043333333333
6780,272.61400000000003,348.192,292.332,348.6926666666667
6930,273.586,353.404,293.714,354.0726666666667
7080,274.57,355.148,295.108,355.736
7230,275.572,354.91200000000003,296.274,355.44100000000003
7380,276.586,359.478,297.694,360.11266666666666
7530,277.62,359.528,298.93600000000004,360.1176666666667
7680,278.674,361.732,300.23,362.3226666666666
7830,279.746,362.966,301.468,363.60266666666666
7980,280.83,366.592,302.946,367.166
8130,281.932,365.306,304.03,365.9043333333333
8280,283.044,368.44,305.354,369.076
8430,284.168,371.448,306.782,372.0976666666666
8580,285.308,373.62,308.218,374.2526666666667
8730,286.452,374.894,309.558,375.5243333333333
8880,287.614,377.29,310.938,377.9626666666666
9030,288.786,381.404,312.512,382.13433333333336
9180,289.968,384.926,314.188,385.63933333333335
9330,291.16200000000003,385.598,315.676,386.236
9480,292.372,386.098,316.992,386.7493333333333
9630,293.58,389.404,318.44800000000004,390.11266666666666
9780,294.784,390.636,319.88,391.25933333333336
9930,296.006,393.376,321.294,394.0893333333333
10080,297.238,394.978,322.75800000000004,395.636
10230,298.48,397.6,324.22200000000004,398.30766666666665
10380,299.732,400.572,325.78200000000004,401.2960000000001
10530,300.994,402.62,327.324,403.33433333333335
10680,302.268,403.8,328.784,404.4893333333333
10830,303.558,405.302,330.226,405.9943333333334
10980,304.852,408.364,331.774,409.0993333333333
11130,306.164,410.518,333.34,411.221
11280,307.48600000000005,410.198,334.692,410.876
11430,308.818,411.688,336.072,412.38933333333335
11580,310.162,414.47,337.572,415.2193333333333
11730,311.522,418.26,339.238,419.02433333333335
11880,312.884,421.224,340.926,421.996
12030,314.254,423.156,342.57,423.8926666666666
12180,315.62800000000004,424.284,344.088,425.0393333333333
12330,317.01800000000003,426.844,345.692,427.6193333333333
12480,318.412,429.54,347.354,430.316
12630,319.81800000000004,432.15,349.028,432.946
12780,321.208,434.472,350.692,435.24266666666665
12930,322.598,435.656,352.244,436.3976666666667
13080,323.99,437.66,353.784,438.436
13230,325.392,440.086,355.402,440.866
13380,326.804,442.65,357.042,443.446
13530,328.228,446.52,358.804,447.36766666666665
13680,329.668,447.978,360.5100000000001,448.756
13830,331.11,447.718,361.994,448.4443333333333
13980,332.562,451.734,363.66,452.5826666666666
14130,334.026,455.654,365.5,456.5126666666666
14280,335.508,457.16,367.232,457.976
