Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,160.0,160.0,160.0,160.0
200,160.0,161.38666666666666,160.25666666666666,161.38888888888889
350,160.0,162.43,160.49666666666667,162.43055555555557
500,160.0,163.47666666666666,160.76666666666665,163.47222222222223
650,160.00333333333333,164.51666666666665,161.06333333333333,164.51388888888889
800,160.01666666666665,165.55666666666667,161.38,165.55555555555557
950,160.03666666666666,166.59666666666666,161.71666666666667,166.59722222222223
1100,160.06333333333333,167.63666666666666,162.07,167.63888888888889
1250,160.10666666666663,168.68,162.43666666666667,168.68055555555557
1400,160.16333333333333,169.72666666666666,162.82333333333332,169.72222222222223
1550,160.24,170.76666666666665,163.22333333333333,170.76388888888889
1700,160.33333333333334,171.80666666666667,163.63,171.80555555555557
1850,160.43666666666667,172.84666666666666,164.05666666666667,172.84722222222223
2000,160.55666666666667,173.88666666666666,164.49666666666667,173.88888888888889
2150,160.69666666666666,174.93,164.94333333333333,174.93055555555557
2300,160.84666666666666,175.97666666666666,165.40333333333334,175.97222222222223
2450,161.02,177.01666666666665,165.87,177.01388888888889
2600,161.20666666666665,178.05666666666667,166.35333333333332,178.05555555555557
2750,161.41333333333333,179.09666666666666,166.84666666666666,179.09722222222223
2900,161.63666666666666,180.13666666666666,167.35,180.13888888888889
3050,161.87,181.18,167.86333333333334,181.18055555555557
3200,162.11666666666667,182.22666666666663,168.38666666666668,182.2222222222222
3350,162.38333333333333,183.26666666666665,168.92000000000002,183.26388888888889
3500,162.66666666666666,184.30666666666667,169.46333333333334,184.30555555555557
3650,162.96,185.34666666666664,170.01666666666668,185.3472222222222
3800,163.26666666666665,186.38666666666663,170.57999999999998,186.38888888888889
3950,163.59,187.43,171.15333333333334,187.43055555555557
4100,163.92666666666668,188.47666666666663,171.73666666666665,188.4722222222222
4250,164.28,189.51666666666665,172.32666666666665,189.51388888888889
4400,164.64333333333337,190.55666666666667,172.92333333333335,190.55555555555557
4550,165.01666666666665,191.59666666666664,173.53333333333333,191.5972222222222
4700,165.40333333333334,192.63666666666663,174.14666666666668,192.63888888888889
4850,165.80666666666667,193.68,174.77,193.68055555555551
5000,166.22,194.72666666666663,175.4,194.7222222222222
5150,166.64666666666668,195.76666666666665,176.03666666666666,195.76388888888889
5300,167.08666666666667,196.80666666666667,176.68666666666667,196.80555555555551
5450,167.53333333333333,197.84666666666664,177.34,197.8472222222222
5600,167.99666666666667,198.88666666666663,178.00333333333333,198.88888888888889
5750,168.47,199.93,178.67333333333332,199.93055555555551
5900,168.95333333333332,200.97666666666663,179.34666666666666,200.9722222222222
6050,169.44666666666666,202.01666666666665,180.03,202.01388888888889
6200,169.95,203.05666666666667,180.72,203.05555555555551
6350,170.46333333333334,204.09666666666664,181.41333333333333,204.0972222222222
6500,170.98333333333335,205.13666666666663,182.11,205.13888888888889
6650,171.5066666666667,206.18,182.8,206.18055555555551
6800,172.04000000000002,207.22666666666663,183.4933333333333,207.2222222222222
6950,172.58,208.26666666666665,184.19666666666663,208.26388888888889
7100,173.1233333333333,209.30666666666667,184.90666666666667,209.30555555555551
7250,173.67666666666668,210.34666666666664,185.62,210.3472222222222
7400,174.24,211.38666666666663,186.34333333333333,211.38888888888889
7550,174.81333333333333,212.43,187.07333333333332,212.43055555555551
7700,175.39333333333332,213.47666666666663,187.80666666666667,213.4722222222222
7850,175.97666666666666,214.51666666666665,188.54666666666668,214.51388888888889
8000,176.57,215.55666666666667,189.29,215.55555555555551
8150,177.17333333333335,216.59666666666664,190.0433333333333,216.5972222222222
8300,177.78333333333333,217.63666666666663,190.8033333333333,217.63888888888889
8450,178.39666666666668,218.68,191.56666666666663,218.68055555555551
8600,179.02,219.72666666666663,192.33666666666667,219.7222222222222
8750,179.65333333333334,220.76666666666665,193.11,220.76388888888889
8900,180.29666666666668,221.80666666666667,193.89,221.80555555555551
9050,180.94666666666663,222.84666666666664,194.67,222.8472222222222
9200,181.6,223.88666666666663,195.4533333333333,223.88888888888889
9350,182.2633333333333,224.93,196.24666666666667,224.93055555555551
9500,182.9333333333333,225.97666666666663,197.04666666666668,225.9722222222222
9650,183.60666666666663,227.01666666666665,197.85,227.01388888888889
9800,184.29,228.05666666666667,198.65666666666667,228.05555555555551
9950,184.98,229.09666666666664,199.4633333333333,229.0972222222222
10100,185.6733333333333,230.13666666666663,200.28333333333333,230.13888888888889
10250,186.3766666666667,231.18,201.10333333333332,231.18055555555551
