Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
190,100.0,101.70266666666669,100.24933333333334,101.75925925925924
340,100.0,103.06533333333331,100.52,103.14814814814814
490,100.00266666666668,104.438,100.83333333333331,104.53703703703704
640,100.01266666666668,105.81533333333331,101.18866666666666,105.92592592592592
790,100.028,107.18533333333332,101.56666666666666,107.3148148148148
940,100.06066666666666,108.558,101.97466666666666,108.7037037037037
1090,100.10866666666666,109.93533333333332,102.41,110.0925925925926
1240,100.184,111.308,102.86533333333333,111.48148148148148
1390,100.27933333333333,112.688,103.34066666666666,112.87037037037037
1540,100.39466666666668,114.06533333333331,103.836,114.25925925925924
1690,100.53266666666669,115.438,104.35133333333332,115.64814814814812
1840,100.698,116.818,104.88666666666668,117.03703703703702
1990,100.886,118.198,105.43933333333334,118.42592592592592
2140,101.10133333333334,119.578,106.00733333333334,119.8148148148148
2290,101.33666666666666,120.95533333333331,106.6,121.2037037037037
2440,101.59466666666668,122.328,107.20266666666669,122.5925925925926
2590,101.88,123.708,107.82066666666668,123.98148148148148
2740,102.18533333333332,125.088,108.46333333333334,125.37037037037037
2890,102.51333333333334,126.468,109.116,126.75925925925924
3040,102.86866666666668,127.848,109.78133333333334,128.14814814814812
3190,103.24133333333332,129.228,110.46666666666668,129.53703703703704
3340,103.62933333333334,130.608,111.16933333333334,130.92592592592592
3490,104.04466666666669,131.988,111.882,132.3148148148148
3640,104.48,133.368,112.60733333333332,133.7037037037037
3790,104.93533333333332,134.748,113.35,135.0925925925926
3940,105.41066666666669,136.128,114.10266666666666,136.4814814814815
4090,105.906,137.50799999999998,114.868,137.87037037037038
4240,106.41866666666668,138.888,115.65066666666668,139.25925925925927
4390,106.94666666666666,140.268,116.44333333333334,140.64814814814815
4540,107.49933333333333,141.648,117.24866666666668,142.03703703703704
4690,108.06466666666668,143.028,118.06866666666666,143.42592592592592
4840,108.64733333333334,144.41066666666666,118.894,144.8148148148148
4990,109.24266666666666,145.80066666666667,119.72866666666668,146.2037037037037
5140,109.85533333333332,147.188,120.554,147.5925925925926
5290,110.478,148.56799999999998,121.39666666666666,148.9814814814815
5440,111.11066666666666,149.948,122.24933333333333,150.37037037037038
5590,111.756,151.328,123.11466666666666,151.75925925925927
5740,112.41866666666668,152.708,123.99466666666667,153.14814814814815
5890,113.094,154.09066666666666,124.88,154.53703703703704
6040,113.78666666666666,155.478,125.78266666666669,155.92592592592592
6190,114.48933333333332,156.858,126.69266666666668,157.3148148148148
6340,115.202,158.238,127.608,158.7037037037037
6490,115.92733333333334,159.62066666666666,128.54066666666665,160.0925925925926
6640,116.67,161.00799999999998,129.48066666666665,161.4814814814815
6790,117.42533333333331,162.388,130.42333333333332,162.87037037037038
6940,118.19533333333334,163.77066666666667,131.37866666666667,164.25925925925927
7090,118.97066666666667,165.158,132.34866666666667,165.64814814814815
