Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,125.0,125.0,125.0,125.0
180,125.0,127.41,125.286,127.5
330,125.0,129.46200000000002,125.632,129.58333333333331
480,125.002,131.52200000000002,126.052,131.66666666666666
630,125.014,133.582,126.524,133.75
780,125.036,135.642,127.05,135.83333333333331
930,125.072,137.702,127.608,137.91666666666666
1080,125.138,139.76399999999998,128.20600000000002,140.0
1230,125.234,141.832,128.842,142.08333333333331
1380,125.36,143.892,129.508,144.16666666666666
1530,125.518,145.954,130.204,146.25
1680,125.714,148.024,130.93,148.33333333333331
1830,125.942,149.692,131.644,150.0
1980,126.208,149.744,132.194,150.0
2130,126.504,149.762,132.654,150.0
2280,126.83,149.77200000000002,133.068,150.0
2430,127.186,149.78,133.454,150.0
2580,127.568,149.782,133.82,150.0
2730,127.96,149.792,134.168,150.0
2880,128.36,149.8,134.506,150.0
3030,128.76000000000002,149.80200000000002,134.83200000000002,150.0
3180,129.162,149.81,135.142,150.0
3330,129.57,149.81,135.45,150.0
3480,129.968,149.812,135.748,150.0
3630,130.358,149.82,136.036,150.0
3780,130.748,149.822,136.316,150.0
3930,131.134,149.83,136.594,150.0
4080,131.50400000000002,149.83,136.864,150.0
4230,131.874,149.83200000000002,137.132,150.0
4380,132.242,149.84,137.39,150.0
4530,132.6,149.84,137.64,150.0
4680,132.948,149.842,137.89,150.0
4830,133.288,149.85,138.138,150.0
4980,133.626,149.85,138.376,150.0
5130,133.95399999999998,149.852,138.606,150.0
5280,134.274,149.86,138.83599999999998,150.0
5430,134.592,149.86,139.06400000000002,150.0
5580,134.9,149.86,139.282,150.0
5730,135.2,149.86200000000002,139.494,150.0
5880,135.498,149.87,139.70999999999998,150.0
6030,135.78799999999998,149.87,139.912,150.0
6180,136.07600000000002,149.87,140.12,150.0
6330,136.35600000000002,149.872,140.318,150.0
6480,136.634,149.88,140.508,150.0
6630,136.902,149.88,140.698,150.0
6780,137.162,149.88,140.888,150.0
6930,137.42000000000002,149.882,141.076,150.0
7080,137.67000000000002,149.89,141.254,150.0
7230,137.92000000000002,149.48999999999998,141.38199999999998,149.58333333333334
7380,138.166,147.48,141.316,147.5
7530,138.398,145.43,141.132,145.41666666666669
7680,138.634,143.378,140.88,143.33333333333334
7830,138.852,141.31799999999998,140.57,141.25
7980,139.056,139.25799999999998,140.20999999999998,139.16666666666669
8130,139.23,137.198,139.802,137.08333333333334
8280,139.376,135.138,139.35399999999998,135.0
8430,139.49599999999998,133.078,138.868,132.91666666666669
8580,139.572,131.018,138.35,130.83333333333334
8730,139.622,128.95600000000002,137.794,128.75
8880,139.624,126.888,137.208,126.66666666666669
9030,139.588,125.228,136.634,125.0
9180,139.51999999999998,125.176,136.22199999999998,125.0
9330,139.412,125.158,135.892,125.0
9480,139.264,125.148,135.608,125.0
9630,139.08,125.14,135.35,125.0
9780,138.878,125.138,135.104,125.0
9930,138.66400000000002,125.13,134.878,125.0
10080,138.432,125.13,134.668,125.0
10230,138.192,125.128,134.46,125.0
10380,137.95,125.12,134.26000000000002,125.0
10530,137.702,125.12,134.064,125.0
10680,137.462,125.118,133.88199999999998,125.0
10830,137.222,125.11,133.696,125.0
10980,136.982,125.11,133.524,125.0
11130,136.744,125.11,133.346,125.0
11280,136.514,125.108,133.178,125.0
11430,136.28400000000002,125.1,133.01600000000002,125.0
11580,136.05599999999998,125.1,132.84799999999998,125.0
11730,135.83599999999998,125.1,132.69,125.0
11880,135.618,125.1,132.54,125.0
12030,135.408,125.098,132.39,125.0
12180,135.198,125.09,132.24,125.0
12330,134.99,125.09,132.092,125.0
12480,134.79000000000002,125.09,131.952,125.0
12630,134.59199999999998,125.09,131.812,125.0
12780,134.402,125.088,131.67399999999998,125.0
12930,134.212,125.08,131.542,125.0
13080,134.024,125.08,131.404,125.0
13230,133.844,125.08,131.276,125.0
13380,133.666,125.08,131.154,125.0
13530,133.496,125.08,131.026,125.0
13680,133.32600000000002,125.08,130.906,125.0
13830,133.158,125.078,130.788,125.0
13980,132.996,125.07,130.676,125.0
14130,132.83,125.07,130.55800000000002,125.0
14280,132.678,125.07,130.448,125.0
