Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,119.824674565858,119.824674565858,119.824674565858,119.824674565858
190,119.82,125.88666666666668,120.50133333333332,126.0787562439866
340,119.82266666666666,126.96533333333332,120.954,127.08100873782824
490,119.83533333333332,128.382,121.30066666666666,128.57982111835065
640,119.86066666666666,132.58866666666668,122.00466666666668,132.8668866790582
790,119.906,137.89266666666668,122.97266666666668,138.27235667839193
940,119.97666666666667,144.848,124.27333333333333,145.36416717636058
1090,120.08733333333332,151.34133333333332,125.80466666666666,151.89469633414893
1240,120.24333333333333,158.06933333333333,127.466,158.7263757482738
1390,120.462,168.89266666666666,129.66066666666669,169.76661656295795
1540,120.75866666666668,175.83733333333333,131.8733333333333,176.65005569674588
1690,121.15266666666666,178.24133333333333,133.68933333333334,178.9129356559619
1840,121.64466666666668,179.798,135.18066666666667,180.48857616637295
1990,122.254,189.20533333333333,137.30133333333333,190.19598827930116
2140,122.97066666666667,198.6413333333333,139.84266666666667,199.743208000864
2290,123.78466666666668,207.13933333333333,142.53133333333335,208.2805146114577
2440,124.68866666666668,213.26533333333333,145.068,214.3973528325516
2590,125.688,215.722,147.27333333333334,216.7459005348266
2740,126.79466666666669,218.45,149.3,219.5245250608676
2890,128.00133333333332,228.5593333333333,151.856,230.0455891423971
3040,129.30533333333332,242.54066666666668,155.362,244.1358913862532
3190,130.69933333333333,241.444,157.90666666666667,242.6028956422587
3340,132.18333333333334,244.33066666666667,160.208,245.6219442450646
3490,133.75199999999998,254.714,163.1266666666667,256.3499230528224
3640,135.39066666666668,269.4746666666667,166.886,271.2618614623622
3790,137.102,273.534,170.172,275.0391858159593
3940,138.89600000000002,271.434,172.64733333333334,272.6915249805014
4090,140.78,273.844,174.926,275.35845427158733
4240,142.75400000000002,284.102,178.11466666666666,285.762535493443
4390,144.81,291.0313333333333,181.34866666666667,292.6791731012028
4540,146.91533333333334,301.696,184.94066666666663,303.4723493252065
4690,149.04866666666666,305.6046666666667,188.30133333333333,307.0524348607896
4840,151.2373333333333,304.7493333333333,190.86266666666663,306.1871246953492
4990,153.49333333333334,318.3773333333333,194.47,320.28603603806306
5140,155.812,321.7246666666667,197.846,323.3627705254251
5290,158.20066666666668,325.1333333333333,200.81666666666663,326.92639130330866
5440,160.654,333.7286666666667,204.33733333333333,335.6130375447282
5590,163.15733333333333,339.636,207.81733333333332,341.48786700127647
5740,165.692,347.75866666666667,211.43666666666667,349.6609695376926
5890,168.228,351.55266666666665,214.87,353.2487045813258
