Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,150.0,150.0,150.0,150.0
210,150.0,155.516,150.58599999999998,155.64966666666666
360,150.0,157.646,151.05599999999998,157.773
510,150.004,159.144,151.488,159.2725
660,150.022,160.472,151.90800000000002,160.60316666666668
810,150.06,161.624,152.316,161.75875
960,150.118,162.584,152.70600000000002,162.72333333333333
1110,150.2,163.544,153.1,163.68791666666667
1260,150.31199999999998,164.50400000000002,153.496,164.6525
1410,150.45,165.43200000000002,153.89399999999998,165.58108333333334
1560,150.60399999999998,166.256,154.292,166.4016666666667
1710,150.77599999999998,166.992,154.67600000000002,167.14125
1860,150.974,167.726,155.066,167.88083333333336
2010,151.188,168.46599999999998,155.45600000000002,168.6204166666667
2160,151.416,169.178,155.846,169.3325
2310,151.66,169.828,156.23600000000002,169.985
2460,151.914,170.44799999999998,156.626,170.61
2610,152.178,171.072,157.01600000000002,171.235
2760,152.452,171.69799999999998,157.406,171.86
2910,152.736,172.298,157.796,172.461
3060,153.03,172.856,158.186,173.02
3210,153.334,173.4,158.576,173.57000000000002
3360,153.644,173.95,158.966,174.12
3510,153.96200000000002,174.5,159.36,174.67
3660,154.28799999999998,175.03,159.756,175.19916666666666
3810,154.612,175.53,160.14600000000002,175.69708333333332
3960,154.946,176.026,160.536,176.195
4110,155.286,176.51999999999998,160.92600000000002,176.69291666666663
4260,155.63,177.016,161.32,177.18749999999997
4410,155.98,177.49,161.716,177.66375
4560,156.32999999999998,177.944,162.106,178.12
4710,156.684,178.404,162.496,178.57625000000002
4860,157.044,178.86,162.886,179.0325
5010,157.404,179.31,163.28,179.48375
5160,157.768,179.74800000000002,163.67600000000002,179.92000000000002
5310,158.134,180.172,164.066,180.345
5460,158.498,180.598,164.45600000000002,180.77
5610,158.868,181.018,164.846,181.195
5760,159.242,181.438,165.23600000000002,181.614
5910,159.618,181.85,165.626,182.02
6060,159.992,182.25,166.012,182.42
6210,160.368,182.65,166.39600000000002,182.82
6360,160.742,183.046,166.786,183.22
6510,161.122,183.436,167.172,183.61333333333332
6660,161.50199999999998,183.822,167.556,183.995
6810,161.882,184.202,167.94199999999998,184.37416666666664
6960,162.262,184.582,168.326,184.7533333333333
7110,162.642,184.962,168.712,185.1325
7260,163.022,185.33,169.09199999999998,185.50333333333333
7410,163.406,185.684,169.47199999999998,185.86166666666668
7560,163.792,186.044,169.852,186.22
7710,164.172,186.404,170.232,186.5783333333333
7860,164.552,186.764,170.612,186.9355
8010,164.932,187.116,170.988,187.28625
8160,165.316,187.456,171.362,187.63
8310,165.702,187.8,171.738,187.97375
8460,166.082,188.146,172.108,188.3175
8610,166.462,188.486,172.478,188.65891666666667
8760,166.84199999999998,188.822,172.84799999999998,188.9933333333333
8910,167.22199999999998,189.152,173.218,189.3225
9060,167.602,189.482,173.588,189.65166666666667
9210,167.982,189.812,173.958,189.9808333333333
9360,168.362,190.138,174.324,190.307
9510,168.742,190.458,174.688,190.6266666666667
9660,169.118,190.778,175.054,190.9433333333333
9810,169.492,191.094,175.41400000000002,191.26
9960,169.868,191.408,175.774,191.57666666666665
10110,170.242,191.724,176.134,191.89
10260,170.618,192.034,176.48999999999998,192.1975
10410,170.988,192.34,176.844,192.50375
10560,171.358,192.644,177.2,192.81
10710,171.732,192.954,177.554,193.11625
10860,172.104,193.256,177.91,193.41833333333332
11010,172.468,193.55,178.26,193.71416666666667
11160,172.838,193.85,178.61,194.01
11310,173.208,194.146,178.95999999999998,194.3058333333333
11460,173.574,194.44,179.30599999999998,194.601
11610,173.938,194.736,179.65,194.8925
11760,174.304,195.022,179.996,195.18
11910,174.66,195.31,180.328,195.4675
12060,175.006,195.602,180.652,195.755
12210,175.346,195.886,180.978,196.04083333333327
12360,175.69,196.168,181.298,196.32166666666663
12510,176.036,196.442,181.622,196.59875
12660,176.376,196.722,181.948,196.8758333333333
12810,176.71200000000002,197.002,182.268,197.1529166666666
12960,177.046,197.278,182.588,197.4285
13110,177.382,197.548,182.904,197.7008333333333
13260,177.716,197.818,183.218,197.97166666666664
13410,178.052,198.092,183.538,198.2425
13560,178.382,198.368,183.854,198.5133333333333
13710,178.71200000000002,198.634,184.168,198.78216666666663
13860,179.042,198.898,184.484,199.0475
14010,179.372,199.164,184.794,199.31208333333333
14160,179.702,199.428,185.104,199.57666666666665
14310,180.032,199.694,185.414,199.84125
