Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,450.0,450.0,450.0,450.0
170,450.0,456.57,451.1373333333333,456.5726666666667
320,450.0,459.57,451.874,459.576
470,450.0,462.45,452.642,462.4577037037037
620,450.0013333333333,464.4873333333333,453.3226666666667,464.488
770,450.014,466.1186666666666,453.9413333333334,466.123
920,450.04533333333336,467.74,454.55,467.7412
1070,450.088,469.208,455.1446666666666,469.2166
1220,450.15066666666667,470.468,455.7046666666666,470.4736
1370,450.2346666666666,471.7266666666667,456.2646666666666,471.7306
1520,450.3473333333333,472.9513333333333,456.8206666666667,472.9612
1670,450.48,474.0113333333333,457.35066666666665,474.0202
1820,450.6326666666667,475.0713333333333,457.8806666666667,475.0792
1970,450.8053333333333,476.1166666666667,458.4093333333333,476.123
2120,450.9980000000001,477.0573333333333,458.9266666666667,477.0604
2270,451.21066666666667,477.9386666666667,459.4266666666667,477.9484
2420,451.442,478.82866666666666,459.928,478.8364
2570,451.68466666666666,479.7186666666667,460.438,479.7244
2720,451.946,480.6086666666667,460.948,480.6124
2870,452.21866666666665,481.4973333333333,461.458,481.5004
3020,452.5100000000001,482.36,461.9666666666666,482.37
3170,452.81,483.11,462.4653333333333,483.12
3320,453.11266666666666,483.86,462.9553333333333,483.87
3470,453.434,484.61,463.44666666666666,484.62
3620,453.7653333333333,485.36,463.9453333333333,485.37
3770,454.1053333333333,486.11,464.43666666666667,486.12
3920,454.448,486.856,464.93666666666667,486.866
4070,454.808,487.568,465.43533333333335,487.578
4220,455.1693333333333,488.228,465.92533333333336,488.238
4370,455.5393333333333,488.888,466.41533333333336,488.898
4520,455.91066666666666,489.548,466.9053333333333,489.5580000000001
4670,456.292,490.208,467.3953333333333,490.218
4820,456.682,490.868,467.8853333333333,490.878
4970,457.0733333333333,491.5226666666667,468.3753333333333,491.53226666666666
5120,457.47333333333336,492.14,468.864,492.1464
5270,457.87466666666666,492.7386666666667,469.344,492.7419
5420,458.2846666666667,493.33,469.8253333333333,493.3374
5570,458.69466666666665,493.9286666666667,470.314,493.9329
5720,459.106,494.52,470.79533333333336,494.5284
5870,459.526,495.1186666666667,471.2840000000001,495.1239000000001
6020,459.946,495.7033333333333,471.7653333333333,495.7132
6170,460.36733333333336,496.2533333333333,472.2526666666666,496.2622
6320,460.79733333333337,496.8033333333333,472.7240000000001,496.8112
6470,461.2286666666667,497.3533333333333,473.204,497.3602
6620,461.6673333333334,497.9033333333333,473.684,497.9092
6770,462.0986666666667,498.4533333333333,474.16533333333336,498.4582
6920,462.5386666666667,499.002,474.654,499.00613333333337
7070,462.98,499.5393333333333,475.1326666666666,499.545
7220,463.4286666666667,499.7166666666667,475.5493333333334,499.726
7370,463.87,497.6813333333333,475.606,497.68646666666666
7520,464.32,495.7493333333333,475.568,495.7552
7670,464.76866666666666,493.8693333333333,475.47133333333335,493.8742
7820,465.21,491.9893333333333,475.326,491.9932
7970,465.6586666666667,490.1093333333333,475.1406666666667,490.1122
8120,466.0986666666667,488.2293333333333,474.9166666666666,488.2312
8270,466.5346666666667,486.3493333333333,474.66133333333335,486.3502
8420,466.94466666666665,484.508,474.374,484.5078
8570,467.35066666666665,482.918,474.10266666666666,482.9163
8720,467.7293333333333,481.328,473.82,481.3248
8870,468.0953333333333,479.7366666666667,473.51866666666666,479.7333
9020,468.4313333333333,478.138,473.2046666666667,478.1418
9170,468.74,476.548,472.8633333333333,476.5503000000001
9320,469.036,474.97133333333335,472.512,474.9716666666666
9470,469.302,473.50666666666666,472.1546666666667,473.5024
9620,469.5393333333333,472.2053333333333,471.81466666666665,472.2004
9770,469.7553333333333,470.89666666666665,471.4733333333333,470.8984
9920,469.9426666666667,469.5966666666666,471.1206666666667,469.5964
10070,470.11,468.2966666666667,470.7506666666667,468.2944
10220,470.256,466.9966666666666,470.378,466.9924
10370,470.3733333333333,465.722,469.992,465.7161333333333
10520,470.47066666666666,464.6253333333333,469.632,464.62
10670,470.548,463.614,469.2733333333333,463.6075
10820,470.604,462.5953333333334,468.922,462.595
10970,470.6326666666666,461.5853333333334,468.5606666666667,461.5825
11120,470.65,460.5753333333333,468.1906666666667,460.57
11270,470.6473333333333,459.564,467.81933333333336,459.5575
11420,470.626,458.584,467.4433333333333,458.5836
11570,470.59333333333336,457.864,467.096,457.8606
11720,470.54066666666665,457.144,466.7646666666667,457.1376
11870,470.4693333333333,456.42266666666666,466.42466666666667,456.4146
12020,470.38666666666666,455.694,466.0846666666667,455.6916
12170,470.28533333333337,454.974,465.74466666666666,454.9686
12320,470.174,454.2633333333334,465.4046666666667,454.2552
12470,470.05266666666665,453.632,465.0686666666667,453.6234
12620,469.9213333333333,453.122,464.7586666666666,453.1164
12770,469.78,452.6133333333333,464.45,452.6094
12920,469.6273333333333,452.1306666666667,464.15133333333335,452.122
13070,469.4573333333333,451.762,463.86266666666666,451.762
13220,469.286,451.402,463.584,451.4020000000001
13370,469.106,451.0553333333333,463.3153333333333,451.0545333333333
13520,468.92333333333335,450.8006666666666,463.0566666666666,450.7948
13670,468.7246666666667,450.5806666666667,462.808,450.5758
13820,468.532,450.3673333333333,462.56933333333336,450.3629777777778
13970,468.322,450.20933333333335,462.342,450.2026666666667
14120,468.112,450.1293333333333,462.1333333333333,450.12266666666665
14270,467.902,450.052,461.93466666666666,450.0462222222222
