Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,180.0,180.0,180.0,180.0
150.0,180.0,180.0,180.0,180.0
300.0,180.0,180.0,180.0,180.0
450.0,180.0,180.0,180.0,180.0
600.0,180.0,180.0,180.0,180.0
750.0,180.0,180.0,180.0,180.0
900.0,180.0,180.0,180.0,180.0
1050.0,180.0,180.0,180.0,180.0
1200.0,180.0,180.0,180.0,180.0
1350.0,180.0,180.0,180.0,180.0
1500.0,180.0,181.04,180.17,181.04166666666666
1650.0,180.0,182.08,180.4,182.08333333333334
1800.0,180.0,183.13,180.66,183.125
1950.0,180.0,184.17,180.95,184.16666666666666
2100.0,180.01,185.21,181.26,185.20833333333334
2250.0,180.02,186.25,181.59,186.25
2400.0,180.05,187.29,181.93,187.29166666666666
2550.0,180.08,188.33,182.29,188.33333333333334
2700.0,180.13,189.38,182.67,189.375
2850.0,180.19,190.42,183.06,190.41666666666666
3000.0,180.27,191.46,183.46,191.45833333333334
3150.0,180.36,192.5,183.87,192.5
3300.0,180.47,193.54,184.3,193.54166666666666
3450.0,180.6,194.58,184.74,194.58333333333334
3600.0,180.74,195.63,185.19,195.625
3750.0,180.9,196.67,185.65,196.66666666666666
3900.0,181.07,197.71,186.12,197.70833333333334
4050.0,181.26,198.75,186.61,198.75
4200.0,181.47,199.79,187.1,199.79166666666666
4350.0,181.69,200.83,187.6,200.83333333333334
4500.0,181.92,201.88,188.12,201.875
4650.0,182.17,202.92,188.64,202.91666666666666
4800.0,182.43,203.96,189.17,203.95833333333334
4950.0,182.71,205.0,189.72,205.0
5100.0,183.0,206.04,190.27,206.04166666666666
5250.0,183.31,207.08,190.83,207.08333333333334
5400.0,183.63,208.13,191.4,208.125
5550.0,183.96,209.17,191.98,209.16666666666666
5700.0,184.31,210.21,192.56,210.20833333333334
5850.0,184.67,211.25,193.16,211.25
6000.0,185.04,212.29,193.76,212.29166666666666
6150.0,185.42,213.33,194.37,213.33333333333331
6300.0,185.82,214.38,194.99,214.375
6450.0,186.23,215.42,195.62,215.41666666666666
6600.0,186.65,216.46,196.25,216.45833333333331
6750.0,187.08,217.5,196.9,217.5
6900.0,187.52,218.54,197.55,218.54166666666666
7050.0,187.97,219.58,198.2,219.58333333333331
7200.0,188.44,220.63,198.87,220.625
7350.0,188.91,221.67,199.54,221.66666666666666
7500.0,189.4,222.71,200.22,222.70833333333331
7650.0,189.9,223.75,200.9,223.75
7800.0,190.4,224.79,201.59,224.79166666666666
7950.0,190.91,225.83,202.28,225.83333333333331
8100.0,191.43,226.88,202.96,226.875
8250.0,191.95,227.92,203.65,227.91666666666666
8400.0,192.48,228.96,204.34,228.95833333333331
8550.0,193.02,230.0,205.05,230.0
8700.0,193.56,231.04,205.76,231.04166666666666
8850.0,194.12,232.08,206.48,232.08333333333331
9000.0,194.68,233.13,207.2,233.125
9150.0,195.25,234.17,207.93,234.16666666666666
9300.0,195.83,235.21,208.66,235.20833333333331
9450.0,196.41,236.25,209.41,236.25
9600.0,197.0,237.29,210.15,237.29166666666666
9750.0,197.6,238.33,210.9,238.33333333333331
9900.0,198.21,239.38,211.66,239.375
10050.0,198.83,240.42,212.42,240.41666666666666
10200.0,199.45,241.46,213.19,241.45833333333331
10350.0,200.08,242.5,213.96,242.5
10500.0,200.72,243.54,214.74,243.54166666666666
10650.0,201.37,244.58,215.52,244.58333333333331
10800.0,202.02,245.63,216.31,245.625
10950.0,202.68,246.67,217.1,246.66666666666666
11100.0,203.35,247.71,217.9,247.70833333333331
11250.0,204.02,248.75,218.69,248.75
11400.0,204.7,249.79,219.5,249.79166666666666
11550.0,205.38,250.83,220.31,250.83333333333331
11700.0,206.08,251.88,221.12,251.875
11850.0,206.77,252.92,221.94,252.91666666666666
12000.0,207.48,253.96,222.76,253.95833333333331
12150.0,208.19,255.0,223.58,255.0
12300.0,208.91,256.04,224.41,256.04166666666663
12450.0,209.63,257.08,225.24,257.0833333333333
12600.0,210.36,258.13,226.08,258.125
12750.0,211.09,259.17,226.92,259.16666666666663
12900.0,211.83,260.21,227.76,260.2083333333333
13050.0,212.57,261.25,228.61,261.25
13200.0,213.32,262.29,229.46,262.29166666666663
13350.0,214.08,263.33,230.31,263.3333333333333
13500.0,214.84,264.38,231.17,264.375
13650.0,215.6,265.42,232.03,265.41666666666663
13800.0,216.37,266.46,232.89,266.4583333333333
13950.0,217.15,267.5,233.76,267.5
14100.0,217.93,268.54,234.63,268.54166666666663
14250.0,218.71,269.58,235.5,269.5833333333333
14400.0,219.5,270.63,236.38,270.625
14550.0,220.27,271.67,237.22,271.66666666666663
14700.0,221.03,272.71,238.07,272.7083333333333
14850.0,221.8,273.75,238.93,273.75
15000.0,222.58,274.79,239.78,274.79166666666663
15150.0,223.35,275.83,240.65,275.8333333333333
15300.0,224.13,276.88,241.51,276.875
15450.0,224.91,277.92,242.38,277.91666666666663
15600.0,225.7,278.96,243.25,278.9583333333333
15750.0,226.49,280.0,244.13,280.0
