Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,229.0,229.0,229.0,229.0
150.0,229.0,229.0,229.0,229.0
300.0,229.0,229.0,229.0,229.0
450.0,229.0,229.0,229.0,229.0
600.0,229.0,229.0,229.0,229.0
750.0,229.0,229.0,229.0,229.0
900.0,229.0,229.0,229.0,229.0
1050.0,229.0,229.0,229.0,229.0
1200.0,229.0,229.0,229.0,229.0
1350.0,229.0,229.0,229.0,229.0
1500.0,229.0,231.28,229.38,231.28125
1650.0,229.0,233.56,229.87,233.5625
1800.0,229.0,235.84,230.43,235.84375
1950.0,229.0,238.12,231.04,238.125
2100.0,229.02,240.4,231.71,240.40625
2250.0,229.04,242.68,232.41,242.6875
2400.0,229.08,244.96,233.15,244.96875
2550.0,229.14,247.24,233.92,247.25
2700.0,229.23,249.52,234.72,249.53125
2850.0,229.35,251.8,235.56,251.8125
3000.0,229.5,254.09,236.42,254.09375
3150.0,229.68,256.37,237.31,256.375
3300.0,229.89,258.65,238.22,258.65625
3450.0,230.13,260.93,239.16,260.9375
3600.0,230.4,263.21,240.12,263.21875
3750.0,230.71,265.49,241.1,265.5
3900.0,231.05,267.77,242.11,267.78125
4050.0,231.43,270.05,243.14,270.0625
4200.0,231.83,272.33,244.19,272.34375
4350.0,232.27,274.61,245.26,274.625
4500.0,232.74,276.89,246.33,276.90625
4650.0,233.23,279.17,247.42,279.1875
4800.0,233.76,281.46,248.53,281.46875
4950.0,234.31,283.74,249.67,283.75
5100.0,234.89,286.02,250.83,286.03125
5250.0,235.49,288.3,252.01,288.3125
5400.0,236.13,290.58,253.2,290.59375
5550.0,236.79,292.86,254.42,292.875
5700.0,237.48,295.14,255.65,295.15625
5850.0,238.19,297.42,256.9,297.4375
6000.0,238.93,299.7,258.17,299.71875
6150.0,239.7,301.98,259.46,302.0
6300.0,240.49,304.26,260.76,304.28125
6450.0,241.3,306.55,262.08,306.5625
6600.0,242.14,308.83,263.42,308.84375
6750.0,243.01,311.11,264.77,311.125
6900.0,243.9,313.39,266.14,313.40625
7050.0,244.81,315.67,267.52,315.6875
7200.0,245.74,317.95,268.92,317.96875
7350.0,246.7,320.23,270.31,320.25
7500.0,247.66,322.51,271.69,322.53125
7650.0,248.64,324.79,273.1,324.8125
7800.0,249.64,327.07,274.52,327.09375
7950.0,250.66,329.36,275.95,329.375
8100.0,251.69,331.64,277.4,331.65625
8250.0,252.75,333.92,278.87,333.9375
8400.0,253.82,336.2,280.35,336.21875
8550.0,254.91,338.48,281.84,338.5
8700.0,256.02,340.76,283.35,340.78125
8850.0,257.15,343.04,284.87,343.0625
9000.0,258.3,345.32,286.4,345.34375
9150.0,259.46,347.6,287.95,347.625
9300.0,260.64,349.88,289.51,349.90625
9450.0,261.84,352.16,291.08,352.1875
9600.0,263.06,354.45,292.66,354.46875
9750.0,264.3,356.73,294.25,356.75
9900.0,265.55,359.01,295.85,359.03125
10050.0,266.82,361.29,297.47,361.3125
10200.0,268.1,363.57,299.1,363.59375
10350.0,269.39,365.85,300.7,365.875
10500.0,270.67,368.13,302.29,368.15625
10650.0,271.96,370.41,303.89,370.4375
10800.0,273.27,372.69,305.51,372.71875
10950.0,274.58,374.98,307.14,375.0
11100.0,275.91,377.26,308.79,377.28125
11250.0,277.26,379.54,310.44,379.5625
11400.0,278.61,381.82,312.1,381.84375
11550.0,279.98,384.1,313.78,384.125
11700.0,281.37,386.38,315.46,386.40625
11850.0,282.76,388.66,317.16,388.6875
12000.0,284.17,390.94,318.86,390.96875
12150.0,285.59,393.22,320.58,393.25
12300.0,287.03,395.51,322.3,395.53125
12450.0,288.48,397.79,324.03,397.8125
12600.0,289.94,400.07,325.77,400.09375
12750.0,291.41,402.35,327.52,402.375
12900.0,292.9,404.63,329.28,404.65625
13050.0,294.4,406.91,331.04,406.9375
13200.0,295.91,409.19,332.82,409.21875
13350.0,297.4,411.47,334.56,411.5
13500.0,298.88,413.75,336.28,413.78125
13650.0,300.37,416.04,338.01,416.0625
13800.0,301.87,418.32,339.76,418.34375
13950.0,303.38,420.6,341.52,420.625
14100.0,304.9,422.88,343.28,422.90625
14250.0,306.43,425.16,345.06,425.1875
14400.0,307.97,427.44,346.84,427.46875
14550.0,309.51,429.72,348.63,429.75
14700.0,311.07,432.0,350.43,432.03125
14850.0,312.64,434.28,352.23,434.3125
15000.0,314.21,436.57,354.05,436.59375
15150.0,315.8,438.85,355.87,438.875
15300.0,317.4,441.13,357.7,441.15625
15450.0,319.01,443.41,359.53,443.4375
15600.0,320.62,445.69,361.38,445.71875
15750.0,322.25,447.97,363.22,448.0
