Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,335.0,335.0,335.0,335.0
150.0,335.0,335.0,335.0,335.0
300.0,335.0,335.0,335.0,335.0
450.0,335.0,335.0,335.0,335.0
600.0,335.0,335.0,335.0,335.0
750.0,335.0,335.0,335.0,335.0
900.0,335.0,335.0,335.0,335.0
1050.0,335.0,335.0,335.0,335.0
1200.0,335.0,335.0,335.0,335.0
1350.0,335.0,335.0,335.0,335.0
1500.0,335.0,330.11,334.21,330.1041666666667
1650.0,335.0,325.22,333.19,325.2083333333333
1800.0,335.0,320.32,332.03,320.3125
1950.0,335.0,315.43,330.76,315.4166666666667
2100.0,334.98,310.53,329.39,310.5208333333333
2250.0,334.95,305.64,327.94,305.625
2400.0,334.9,300.74,326.41,300.7291666666667
2550.0,334.8,295.85,324.82,295.8333333333333
2700.0,334.67,290.95,323.17,290.9375
2850.0,334.49,286.06,321.42,286.0416666666667
3000.0,334.26,281.16,319.62,281.1458333333333
3150.0,333.97,276.27,317.77,276.25
3300.0,333.62,271.37,315.88,271.3541666666667
3450.0,333.21,266.48,313.93,266.4583333333333
3600.0,332.73,261.58,311.94,261.5625
3750.0,332.2,256.69,309.9,256.66666666666663
3900.0,331.6,251.79,307.82,251.77083333333331
4050.0,330.93,246.9,305.69,246.875
4200.0,330.21,242.01,303.48,241.97916666666666
4350.0,329.41,237.11,301.21,237.08333333333331
4500.0,328.55,232.22,298.91,232.1875
4650.0,327.62,227.32,296.57,227.29166666666666
4800.0,326.64,222.42,294.19,222.39583333333331
4950.0,325.58,217.53,291.78,217.5
5100.0,324.46,212.63,289.33,212.60416666666666
5250.0,323.29,207.74,286.84,207.70833333333331
5400.0,322.05,202.84,284.31,202.8125
5550.0,320.75,197.95,281.73,197.91666666666666
5700.0,319.38,193.06,279.05,193.02083333333331
5850.0,317.94,188.16,276.34,188.125
6000.0,316.45,183.26,273.61,183.22916666666666
6150.0,314.89,178.37,270.85,178.33333333333331
6300.0,313.28,173.47,268.06,173.4375
6450.0,311.6,168.58,265.23,168.54166666666666
6600.0,309.88,163.68,262.38,163.64583333333331
6750.0,308.1,158.79,259.49,158.75
6900.0,306.26,153.89,256.57,153.85416666666666
7050.0,304.34,149.0,253.52,148.95833333333331
7200.0,302.37,144.1,250.45,144.0625
7350.0,300.33,139.21,247.36,139.16666666666666
7500.0,298.25,134.31,244.24,134.27083333333331
7650.0,296.11,129.42,241.1,129.375
7800.0,293.92,124.52,237.94,124.47916666666666
7950.0,291.68,119.63,234.74,119.58333333333331
8100.0,289.39,114.73,231.52,114.6875
8250.0,287.06,109.84,228.27,109.79166666666666
8400.0,284.64,104.94,224.91,104.89583333333331
8550.0,282.15,100.05,221.49,100.0
8700.0,279.61,100.04,218.9,100.0
8850.0,277.03,100.04,216.53,100.0
9000.0,274.4,100.04,214.3,100.0
9150.0,271.73,100.04,212.17,100.0
9300.0,269.03,100.04,210.11,100.0
9450.0,266.32,100.04,208.12,100.0
9600.0,263.61,100.04,206.19,100.0
9750.0,260.9,100.04,204.3,100.0
9900.0,258.21,100.04,202.46,100.0
10050.0,255.55,100.03,200.66,100.0
10200.0,252.91,100.03,198.9,100.0
10350.0,250.31,100.03,197.17,100.0
10500.0,247.74,100.03,195.48,100.0
10650.0,245.21,100.03,193.82,100.0
10800.0,242.72,100.03,192.19,100.0
10950.0,240.22,100.03,190.58,100.0
11100.0,237.67,100.03,188.97,100.0
11250.0,235.17,100.03,187.38,100.0
11400.0,232.71,100.03,185.81,100.0
11550.0,230.29,100.03,184.26,100.0
11700.0,227.93,100.03,182.75,100.0
11850.0,225.61,100.03,181.25,100.0
12000.0,223.33,100.03,179.79,100.0
12150.0,221.1,100.03,178.35,100.0
12300.0,218.9,100.03,176.93,100.0
12450.0,216.75,100.03,175.54,100.0
12600.0,214.64,100.03,174.18,100.0
12750.0,212.56,100.03,172.84,100.0
12900.0,210.53,100.03,171.52,100.0
13050.0,208.53,100.02,170.23,100.0
13200.0,206.57,100.02,168.96,100.0
13350.0,204.64,100.02,167.71,100.0
13500.0,202.75,100.02,166.49,100.0
13650.0,200.89,100.02,165.29,100.0
13800.0,199.07,100.02,164.11,100.0
13950.0,197.28,100.02,162.95,100.0
14100.0,195.51,100.02,161.81,100.0
14250.0,193.69,100.02,160.68,100.0
14400.0,191.9,100.02,159.55,100.0
14550.0,190.15,100.02,158.44,100.0
14700.0,188.44,100.02,157.35,100.0
14850.0,186.76,100.02,156.27,100.0
15000.0,185.12,100.02,155.22,100.0
15150.0,183.51,100.02,154.18,100.0
15300.0,181.93,100.02,153.16,100.0
15450.0,180.39,100.02,152.17,100.0
15600.0,178.87,100.02,151.18,100.0
15750.0,177.39,100.02,150.22,100.0
