Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,100.0,100.0,100.0,100.0
150.0,100.0,100.0,100.0,100.0
300.0,100.0,100.0,100.0,100.0
450.0,100.0,100.0,100.0,100.0
600.0,100.0,100.0,100.0,100.0
750.0,100.0,100.0,100.0,100.0
900.0,100.0,100.0,100.0,100.0
1050.0,100.0,100.0,100.0,100.0
1200.0,100.0,100.0,100.0,100.0
1350.0,100.0,100.0,100.0,100.0
1500.0,100.0,101.62,100.14,101.66666666666667
1650.0,100.0,103.26,100.39,103.33333333333333
1800.0,100.0,104.91,100.69,105.0
1950.0,100.01,106.56,101.04,106.66666666666667
2100.0,100.02,108.21,101.44,108.33333333333333
2250.0,100.05,109.87,101.87,110.0
2400.0,100.1,111.52,102.33,111.66666666666667
2550.0,100.18,113.17,102.81,113.33333333333333
2700.0,100.28,114.83,103.33,115.0
2850.0,100.4,116.48,103.87,116.66666666666667
3000.0,100.56,118.14,104.44,118.33333333333334
3150.0,100.74,119.8,105.03,120.0
3300.0,100.95,122.26,105.72,122.5
3450.0,101.19,124.74,106.48,125.0
3600.0,101.46,127.22,107.29,127.5
3750.0,101.76,129.7,108.14,130.0
3900.0,102.09,132.18,109.04,132.5
4050.0,102.45,134.67,109.97,135.0
4200.0,102.86,137.15,110.94,137.5
4350.0,103.3,139.64,111.95,140.0
4500.0,103.78,142.12,112.98,142.5
4650.0,104.29,144.61,114.05,145.0
4800.0,104.85,147.1,115.12,147.5
4950.0,105.44,149.58,116.21,150.0
5100.0,106.07,153.69,117.48,154.16666666666666
5250.0,106.73,157.82,118.88,158.33333333333334
5400.0,107.42,161.95,120.37,162.5
5550.0,108.16,166.09,121.94,166.66666666666666
5700.0,108.94,170.23,123.57,170.83333333333334
5850.0,109.76,174.37,125.26,175.0
6000.0,110.64,178.51,127.01,179.16666666666666
6150.0,111.57,182.66,128.81,183.33333333333331
6300.0,112.57,186.8,130.66,187.5
6450.0,113.61,190.96,132.54,191.66666666666666
6600.0,114.7,195.1,134.42,195.83333333333331
6750.0,115.84,199.24,136.35,200.0
6900.0,117.03,207.43,138.67,208.33333333333334
7050.0,118.28,215.69,141.29,216.66666666666666
7200.0,119.58,223.96,144.1,225.0
7350.0,120.94,232.23,147.06,233.33333333333331
7500.0,122.36,240.54,150.08,241.66666666666666
7650.0,123.86,248.81,153.21,250.0
7800.0,125.44,257.09,156.47,258.3333333333333
7950.0,127.12,265.38,159.85,266.66666666666663
8100.0,128.89,273.66,163.34,275.0
8250.0,130.76,281.98,166.87,283.3333333333333
8400.0,132.72,290.27,170.42,291.66666666666663
8550.0,134.77,298.55,174.08,300.0
8700.0,136.92,306.84,177.84,308.3333333333333
8850.0,139.18,315.13,181.7,316.6666666666667
9000.0,141.53,323.42,185.64,325.0
9150.0,143.93,331.76,189.51,333.3333333333333
9300.0,146.43,340.05,193.48,341.6666666666667
9450.0,149.01,348.34,197.54,350.0
9600.0,151.68,356.63,201.69,358.3333333333333
9750.0,154.44,364.93,205.92,366.66666666666663
9900.0,157.26,373.28,210.12,375.0
10050.0,160.12,381.57,214.33,383.3333333333333
10200.0,163.06,389.86,218.63,391.66666666666663
10350.0,166.09,398.16,223.02,400.0
10500.0,169.19,402.41,227.17,404.1666666666667
10650.0,172.37,406.59,231.17,408.3333333333333
10800.0,175.63,410.77,235.1,412.5
10950.0,178.93,415.0,238.94,416.6666666666667
11100.0,182.2,419.16,242.61,420.8333333333333
11250.0,185.51,423.32,246.27,425.0
11400.0,188.87,427.49,249.94,429.1666666666667
11550.0,192.25,431.65,253.61,433.3333333333333
11700.0,195.66,435.81,257.28,437.5
11850.0,199.09,439.98,260.96,441.6666666666667
12000.0,202.55,444.14,264.64,445.8333333333333
12150.0,206.02,448.3,268.33,450.0
12300.0,209.51,450.85,271.9,452.5
12450.0,213.01,453.36,275.4,455.0
12600.0,216.52,455.87,278.84,457.5
12750.0,220.01,458.39,282.25,460.0
12900.0,223.34,460.92,285.51,462.5
13050.0,226.67,463.42,288.73,465.0
13200.0,230.0,465.93,291.93,467.5
13350.0,233.33,468.44,295.1,470.0
13500.0,236.66,470.94,298.26,472.5
13650.0,239.98,473.45,301.41,475.0
13800.0,243.3,475.96,304.54,477.5
13950.0,246.61,478.46,307.66,480.0
14100.0,249.91,480.16,310.71,481.6666666666667
14250.0,253.2,481.84,313.71,483.3333333333333
14400.0,256.49,483.52,316.67,485.0
14550.0,259.76,485.2,319.6,486.6666666666667
14700.0,263.02,486.88,322.5,488.3333333333333
14850.0,266.16,488.57,325.38,490.0
15000.0,269.22,490.25,328.19,491.6666666666667
15150.0,272.27,491.93,330.95,493.3333333333333
15300.0,275.3,493.61,333.69,495.0
15450.0,278.32,495.28,336.4,496.6666666666667
15600.0,281.33,496.96,339.09,498.3333333333333
15750.0,284.32,498.63,341.76,500.0
