Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,297.0,297.0,297.0,297.0
150.0,297.0,297.0,297.0,297.0
300.0,297.0,297.0,297.0,297.0
450.0,297.0,297.0,297.0,297.0
600.0,297.0,297.0,297.0,297.0
750.0,297.0,297.0,297.0,297.0
900.0,297.0,297.0,297.0,297.0
1050.0,297.0,297.0,297.0,297.0
1200.0,297.0,297.0,297.0,297.0
1350.0,297.0,297.0,297.0,297.0
1500.0,297.0,298.79,297.14,298.8366666666667
1650.0,297.0,298.8,297.23,298.84
1800.0,297.0,300.68,297.44,300.76
1950.0,297.0,302.43,297.73,302.5133333333333
2100.0,297.01,303.5,298.0,303.6
2250.0,297.01,305.4,298.35,305.52
2400.0,297.03,308.12,298.79,308.315
2550.0,297.05,311.54,299.45,311.6933333333333
2700.0,297.09,311.76,299.86,311.905
2850.0,297.14,314.21,300.36,314.45
3000.0,297.22,317.45,301.08,317.66166666666663
3150.0,297.31,320.25,301.75,320.53999999999996
3300.0,297.42,323.69,302.61,323.96
3450.0,297.57,323.37,303.23,323.5466666666667
3600.0,297.73,325.97,303.82,326.3
3750.0,297.93,326.21,304.51,326.38666666666666
3900.0,298.16,329.13,305.12,329.4733333333333
4050.0,298.41,331.53,305.96,331.81
4200.0,298.69,331.65,306.59,331.89666666666665
4350.0,299.0,334.72,307.34,335.06666666666666
4500.0,299.34,337.84,308.25,338.19500000000005
4650.0,299.69,339.89,309.13,340.24
4800.0,300.07,341.81,309.99,342.16
4950.0,300.48,344.7,310.9,345.08
5100.0,300.9,344.78,311.66,345.125
5250.0,301.35,349.36,312.69,349.75333333333333
5400.0,301.83,349.69,313.54,350.09000000000003
5550.0,302.33,352.44,314.54,352.76
5700.0,302.85,350.31,315.08,350.7216666666667
5850.0,303.39,356.4,316.22,356.85
6000.0,303.96,358.8,317.32,359.22833333333335
6150.0,304.55,360.32,318.3,360.7733333333333
6300.0,305.16,361.49,319.3,361.86
6450.0,305.79,362.46,320.11,362.94666666666666
6600.0,306.43,365.85,321.27,366.28333333333336
6750.0,307.11,367.63,322.27,368.12
6900.0,307.8,369.52,323.38,369.95666666666665
7050.0,308.51,370.5,324.33,370.96
7200.0,309.23,371.81,325.33,372.255
7350.0,309.98,371.41,326.19,371.8
7500.0,310.75,372.96,327.05,373.42833333333334
7650.0,311.53,377.34,328.22,377.89
7800.0,312.33,380.05,329.46,380.56
7950.0,313.14,379.55,330.45,379.98
8100.0,313.96,381.76,331.48,382.275
8250.0,314.79,386.47,332.79,387.07
8400.0,315.62,389.63,334.11,390.1983333333333
8550.0,316.46,385.79,334.93,386.16
8700.0,317.32,388.61,335.92,389.12166666666667
8850.0,318.19,391.4,337.07,391.9166666666667
9000.0,319.08,392.96,338.17,393.54499999999996
9150.0,319.97,398.33,339.64,398.84000000000003
9300.0,320.88,395.64,340.54,396.1766666666666
9450.0,321.8,399.36,341.75,399.93
9600.0,322.74,401.76,343.02,402.30833333333334
9750.0,323.68,402.33,344.16,402.85333333333335
9900.0,324.64,403.61,345.24,404.19
10050.0,325.61,408.36,346.62,409.02666666666664
10200.0,326.59,411.34,348.12,411.905
10350.0,327.59,412.57,349.35,413.2
10500.0,328.59,413.94,350.68,414.495
10650.0,329.61,416.69,351.94,417.37333333333333
10800.0,330.65,417.91,353.32,418.46000000000004
10950.0,331.7,420.85,354.6,421.5466666666667
11100.0,332.77,422.78,356.04,423.3833333333333
11250.0,333.86,421.92,357.18,422.46999999999997
11400.0,334.96,422.28,358.26,422.84833333333336
11550.0,336.07,428.8,359.77,429.56
11700.0,337.2,426.72,361.03,427.23
11850.0,338.33,432.24,362.46,432.98333333333335
12000.0,339.45,433.73,363.89,434.3616666666667
12150.0,340.57,432.68,365.03,433.24
12300.0,341.69,434.68,366.25,435.32666666666665
12450.0,342.83,440.38,367.83,441.08
12600.0,343.98,442.32,369.32,443.0
12750.0,345.13,443.49,370.73,444.08666666666664
12900.0,346.3,441.62,371.78,442.25666666666666
13050.0,347.47,445.33,373.16,446.01
13200.0,348.66,448.55,374.63,449.2633333333333
13350.0,349.86,450.33,376.13,450.93333333333334
13500.0,351.06,451.01,377.33,451.77
13650.0,352.28,456.71,379.07,457.44
13800.0,353.5,456.89,380.54,457.52666666666664
13950.0,354.74,456.13,381.73,456.78
14100.0,355.98,460.12,383.15,460.9083333333333
14250.0,357.24,462.14,384.75,462.78666666666663
14400.0,358.51,462.95,386.06,463.66499999999996
14550.0,359.78,465.89,387.57,466.62666666666667
14700.0,361.07,466.79,389.01,467.4633333333333
14850.0,362.36,470.27,390.51,471.05
15000.0,363.67,469.15,391.88,469.76166666666666
15150.0,364.98,474.79,393.44,475.64
15300.0,366.3,476.1,395.06,476.81
15450.0,367.63,476.85,396.49,477.56333333333333
15600.0,368.92,478.67,397.95,479.40000000000003
15750.0,370.22,478.65,399.29,479.32
