Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,171.1882167,171.1882167,171.1882167,171.1882167
150.0,171.1882167,171.1882167,171.1882167,171.1882167
300.0,171.1882167,171.1882167,171.1882167,171.1882167
450.0,171.1882167,171.1882167,171.1882167,171.1882167
600.0,171.1882167,171.1882167,171.1882167,171.1882167
750.0,171.1882167,171.1882167,171.1882167,171.1882167
900.0,171.1882167,171.1882167,171.1882167,171.1882167
1050.0,171.1882167,171.1882167,171.1882167,171.1882167
1200.0,171.1882167,171.1882167,171.1882167,171.1882167
1350.0,171.1882167,171.1882167,171.1882167,171.1882167
1500.0,171.19,175.27,171.56,175.43948694166667
1650.0,171.19,179.69,172.21,179.90696643333334
1800.0,171.19,181.06,172.75,181.1619298625
1950.0,171.2,177.97,172.75,178.06043929999998
2100.0,171.23,181.06,173.14,181.25851619583332
2250.0,171.28,183.66,173.69,183.83940842500002
2400.0,171.35,184.63,174.1,184.852214925
2550.0,171.45,187.43,174.72,187.67023473333333
2700.0,171.56,187.69,175.22,187.8286637375
2850.0,171.7,187.5,175.47,187.73486275833335
3000.0,171.86,187.74,175.9,187.82268740833334
3150.0,172.05,190.59,176.24,191.01990065
3300.0,172.26,194.31,177.23,194.510933175
3450.0,172.48,192.33,177.51,192.52356576666665
3600.0,172.73,194.72,178.01,195.044522475
3750.0,172.99,195.03,178.57,195.2220949
3900.0,173.28,198.11,179.16,198.4972781875
4050.0,173.58,199.69,179.92,199.972860525
4200.0,173.9,206.92,181.03,207.53014212083335
4350.0,174.24,207.75,182.08,208.10171951666666
4500.0,174.6,199.51,182.06,199.49759746249998
4650.0,174.99,207.12,182.78,207.672760775
4800.0,175.41,204.39,183.32,204.57718616666668
4950.0,175.85,208.79,184.09,209.2348345
5100.0,176.31,211.58,185.01,212.02446177916667
5250.0,176.79,214.49,186.01,214.904673525
5400.0,177.28,213.79,186.67,214.24936435
5550.0,177.78,219.12,187.83,219.53361508333333
5700.0,178.3,215.96,188.3,216.35413597916667
5850.0,178.84,219.52,189.18,219.98545289999998
6000.0,179.41,221.27,190.1,221.69543339166665
6150.0,179.99,222.23,190.87,222.71799666666666
6300.0,180.59,224.69,191.85,225.140401275
6450.0,181.21,223.8,192.56,224.1687735666667
6600.0,181.84,221.97,193.02,222.2850407125
6750.0,182.49,226.89,193.82,227.57982935
6900.0,183.15,230.15,195.17,230.53153720416668
7050.0,183.83,229.34,195.8,229.841883575
7200.0,184.51,232.5,196.83,233.0472177625
7350.0,185.2,233.64,197.8,234.1236943
7500.0,185.9,232.57,198.51,232.96852086666667
7650.0,186.62,234.01,199.27,234.519097575
7800.0,187.36,236.58,200.25,237.1193981375
7950.0,188.1,242.1,201.55,242.80161794999998
8100.0,188.86,238.57,202.36,238.919968225
8250.0,189.62,243.36,203.39,244.02596769166666
8400.0,190.4,244.0,204.45,244.52704173333333
8550.0,191.2,243.81,205.3,244.2984199
8700.0,192.0,242.91,206.0,243.38401910416667
8850.0,192.83,246.53,207.03,247.11360644166666
9000.0,193.66,248.09,208.08,248.59641489999998
9150.0,194.5,246.69,208.77,247.25593678333334
9300.0,195.35,251.67,210.02,252.23416617916666
9450.0,196.21,251.25,210.91,251.8291597
9600.0,197.06,254.67,212.08,255.302258725
9750.0,197.93,255.9,213.22,256.4344392666667
9900.0,198.81,255.52,214.04,256.1044852125
10050.0,199.69,258.87,215.2,259.51646315
10200.0,200.58,258.65,216.24,259.08621235416666
10350.0,201.45,260.56,217.04,261.30017515
10500.0,202.33,268.51,218.74,269.3225495375
10650.0,203.22,269.52,220.16,270.1261939583333
10800.0,204.12,266.85,220.99,267.3622530625
10950.0,205.03,268.22,221.9,268.87480666666664
11100.0,205.96,267.48,222.83,267.9652438708334
11250.0,206.91,273.83,224.08,274.69820872500003
11400.0,207.87,275.48,225.49,276.1161722
11550.0,208.84,275.96,226.58,276.6053832833333
11700.0,209.82,273.14,227.36,273.6210847125
11850.0,210.81,277.02,228.44,277.74422488333335
12000.0,211.81,276.42,229.43,276.97656419583336
12150.0,212.82,278.42,230.48,279.0657117
12300.0,213.83,279.09,231.5,279.6913381708334
12450.0,214.85,279.27,232.44,279.86871286666667
12600.0,215.87,281.25,233.49,281.9108313
12750.0,216.89,283.86,234.72,284.45915794999996
12900.0,217.9,282.93,235.57,283.63661478333336
13050.0,218.92,289.32,237.12,290.02875255
13200.0,219.94,289.84,238.3,290.5697772375
13350.0,220.97,292.63,239.67,293.33463596666667
13500.0,221.99,293.47,240.85,294.1866641375
13650.0,223.03,293.04,241.97,293.5944344083333
13800.0,224.09,291.59,242.71,292.2287314375
13950.0,225.15,294.59,243.86,295.29911089999996
14100.0,226.23,297.78,245.17,298.52191043333335
14250.0,227.31,301.71,246.62,302.52902873333335
14400.0,228.39,301.96,247.94,302.6011478375
14550.0,229.48,304.73,249.17,305.56647176666667
14700.0,230.54,306.23,250.51,306.9058012583333
14850.0,231.6,308.47,251.76,309.248331325
15000.0,232.68,308.1,252.91,308.74365559583333
15150.0,233.76,306.98,253.83,307.58810036666665
15300.0,234.86,305.92,254.65,306.490021475
15450.0,235.96,311.32,255.93,312.1405783166667
15600.0,237.07,315.11,257.42,315.9144379708334
15750.0,238.19,313.49,258.51,314.1222356
