Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,480.0,480.0,480.0,480.0
150.0,480.0,480.0,480.0,480.0
300.0,480.0,480.0,480.0,480.0
450.0,480.0,480.0,480.0,480.0
600.0,480.0,480.0,480.0,480.0
750.0,480.0,480.0,480.0,480.0
900.0,480.0,480.0,480.0,480.0
1050.0,480.0,480.0,480.0,480.0
1200.0,480.0,480.0,480.0,480.0
1350.0,480.0,480.0,480.0,480.0
1500.0,480.0,481.6,480.15,481.6666666666667
1650.0,480.0,483.25,480.39,483.3333333333333
1800.0,480.0,484.89,480.67,485.0
1950.0,480.0,486.54,480.99,486.6666666666667
2100.0,480.0,488.19,481.35,488.3333333333333
2250.0,480.01,489.84,481.73,490.0
2400.0,480.02,491.49,482.14,491.6666666666667
2550.0,480.05,493.15,482.57,493.3333333333333
2700.0,480.08,494.8,483.03,495.0
2850.0,480.13,496.45,483.5,496.6666666666667
3000.0,480.19,498.11,484.0,498.3333333333333
3150.0,480.27,499.76,484.51,500.0
3300.0,480.37,499.81,484.89,500.0
3450.0,480.48,499.82,485.2,500.0
3600.0,480.62,499.83,485.48,500.0
3750.0,480.77,499.84,485.74,500.0
3900.0,480.94,499.84,485.98,500.0
4050.0,481.12,499.85,486.21,500.0
4200.0,481.31,499.85,486.43,500.0
4350.0,481.52,499.85,486.64,500.0
4500.0,481.73,499.86,486.84,500.0
4650.0,481.95,499.86,487.04,500.0
4800.0,482.17,499.86,487.23,500.0
4950.0,482.4,499.87,487.41,500.0
5100.0,482.62,499.87,487.59,500.0
5250.0,482.85,499.87,487.77,500.0
5400.0,483.07,499.87,487.94,500.0
5550.0,483.3,499.87,488.11,500.0
5700.0,483.52,499.88,488.28,500.0
5850.0,483.74,499.88,488.44,500.0
6000.0,483.96,499.88,488.61,500.0
6150.0,484.18,499.88,488.76,500.0
6300.0,484.4,499.88,488.92,500.0
6450.0,484.61,499.89,489.08,500.0
6600.0,484.82,499.89,489.23,500.0
6750.0,485.03,499.89,489.38,500.0
6900.0,485.24,499.89,489.52,500.0
7050.0,485.44,499.89,489.67,500.0
7200.0,485.64,499.89,489.81,500.0
7350.0,485.84,499.89,489.95,500.0
7500.0,486.03,499.9,490.09,500.0
7650.0,486.23,499.9,490.23,500.0
7800.0,486.42,499.9,490.36,500.0
7950.0,486.6,499.9,490.5,500.0
8100.0,486.79,499.9,490.63,500.0
8250.0,486.97,499.9,490.76,500.0
8400.0,487.15,499.9,490.89,500.0
8550.0,487.33,499.91,491.01,500.0
8700.0,487.5,498.3,490.98,498.3333333333333
8850.0,487.68,496.66,490.87,496.6666666666667
9000.0,487.85,495.02,490.71,495.0
9150.0,488.01,493.37,490.51,493.3333333333333
9300.0,488.18,491.72,490.27,491.6666666666667
9450.0,488.33,490.07,490.0,490.0
9600.0,488.48,488.42,489.71,488.3333333333333
9750.0,488.62,486.77,489.39,486.6666666666667
9900.0,488.74,485.12,489.04,485.0
10050.0,488.84,483.47,488.68,483.3333333333333
10200.0,488.93,481.81,488.29,481.6666666666667
10350.0,489.0,480.16,487.89,480.0
10500.0,489.05,480.11,487.61,480.0
10650.0,489.09,480.1,487.4,480.0
10800.0,489.1,480.09,487.22,480.0
10950.0,489.09,480.09,487.07,480.0
11100.0,489.06,480.08,486.92,480.0
11250.0,489.02,480.08,486.79,480.0
11400.0,488.96,480.08,486.67,480.0
11550.0,488.89,480.07,486.56,480.0
11700.0,488.81,480.07,486.45,480.0
11850.0,488.72,480.07,486.35,480.0
12000.0,488.63,480.07,486.25,480.0
12150.0,488.53,480.07,486.15,480.0
12300.0,488.43,480.07,486.06,480.0
12450.0,488.33,480.06,485.97,480.0
12600.0,488.22,480.06,485.88,480.0
12750.0,488.12,480.06,485.8,480.0
12900.0,488.01,480.06,485.72,480.0
13050.0,487.91,480.06,485.64,480.0
13200.0,487.8,480.06,485.56,480.0
13350.0,487.7,480.06,485.48,480.0
13500.0,487.6,480.06,485.4,480.0
13650.0,487.49,480.06,485.33,480.0
13800.0,487.39,480.06,485.25,480.0
13950.0,487.29,480.05,485.18,480.0
14100.0,487.19,480.05,485.11,480.0
14250.0,487.09,480.05,485.04,480.0
14400.0,487.0,480.05,484.97,480.0
14550.0,486.9,480.05,484.9,480.0
14700.0,486.8,480.05,484.83,480.0
14850.0,486.71,480.05,484.76,480.0
15000.0,486.62,480.05,484.7,480.0
15150.0,486.53,480.05,484.63,480.0
15300.0,486.44,480.05,484.57,480.0
15450.0,486.35,480.05,484.5,480.0
15600.0,486.26,480.05,484.44,480.0
15750.0,486.17,480.05,484.38,480.0
